Model,Scaler,Parameters,Mean Accuracy,Mean Recall,Mean Precision,Mean F1 Score
Logistic Regression,No Scaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.4926829268292683,0.5,0.24634146341463414,0.32991154886952806
Logistic Regression,No Scaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.7560975609756098,0.7557953854664119,0.7576604723774183,0.7549204069523663
Logistic Regression,No Scaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.4926829268292683,0.5,0.24634146341463414,0.32991154886952806
Logistic Regression,No Scaler,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.9073170731707318,0.9079450537575617,0.9072185640813812,0.9072238216580152
Logistic Regression,No Scaler,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.4926829268292683,0.5,0.24634146341463414,0.32991154886952806
Logistic Regression,No Scaler,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.7602787456445993,0.7599879345494098,0.7617901238827163,0.7591149069356111
Logistic Regression,No Scaler,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.4926829268292683,0.5,0.24634146341463414,0.32991154886952806
Logistic Regression,No Scaler,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.9066202090592335,0.9069046402823023,0.9066422369743815,0.906481468106659
Logistic Regression,No Scaler,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.4926829268292683,0.5,0.24634146341463414,0.32991154886952806
Logistic Regression,No Scaler,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.7616724738675958,0.761431996691001,0.7632977092434071,0.760499958527926
Logistic Regression,No Scaler,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.4926829268292683,0.5,0.24634146341463414,0.32991154886952806
Logistic Regression,No Scaler,"{'classifier__C': 100, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.8912891986062718,0.8917013514536599,0.891335758306456,0.8911277898106148
Logistic Regression,No Scaler,"{'classifier__C': 100, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.4926829268292683,0.5,0.24634146341463414,0.32991154886952806
Logistic Regression,No Scaler,"{'classifier__C': 100, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.759581881533101,0.7594621544527025,0.7613747325653366,0.7584303807671182
Logistic Regression,No Scaler,"{'classifier__C': 100, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.4926829268292683,0.5,0.24634146341463414,0.32991154886952806
