Step,Selected_Feature,Recall,Precision,F1_Score,Accuracy
1,A/D_Oscillator,0.8530023864750305,0.8543674069063154,0.8533557896218451,0.8538461538461538
2,Stochastic_K,0.8583603275118937,0.8603147819237277,0.8588774833444924,0.8594405594405595
3,Stochastic_D,0.8641592477199362,0.8656514701943232,0.8645584196457274,0.8650349650349651
4,MACD_Signal,0.8717971901953158,0.8736398726318276,0.8722329037080623,0.8727272727272727
5,day_of_week,0.872909973068477,0.8757780261776794,0.873543619618458,0.874125874125874
6,Close,0.8729070603312609,0.8773504124864389,0.8733503675420635,0.8741258741258742
7,Low,0.9101466532873893,0.9184318292264738,0.9098032625625574,0.9104895104895105
8,High,0.952540931549677,0.9541711748820134,0.9529769671305912,0.9531468531468532
9,SMA,0.9561350647207296,0.9577356268260857,0.9564934499661399,0.9566433566433565
10,WMA,0.9568531256102502,0.9582150403603091,0.9572008815486098,0.9573426573426573
11,Volume,0.9589327868621929,0.9603581489653656,0.9593052629946832,0.9594405594405593
12,MACD,0.95887512690254,0.960624032966793,0.9592936820423106,0.9594405594405593
13,Williams_R,0.9567169765654855,0.9584916301402678,0.9571917146201745,0.9573426573426573
14,day,0.9566418488483664,0.9586086207211914,0.9571798487385209,0.9573426573426573
15,month,0.955698291793855,0.9570037962656457,0.9558175604964878,0.955944055944056
16,CCI,0.954239784414295,0.956070717241069,0.9543824283091811,0.9545454545454545
17,year,0.9525282640062642,0.9531931181902948,0.9523279462559995,0.9524475524475523
18,Momentum,0.947655069595335,0.9484428255022834,0.9474243247608376,0.9475524475524475
19,Open,0.9448551774152593,0.9460418998294019,0.9446081385097858,0.9447552447552446
20,RSI,0.9432631043496944,0.9449925697413958,0.9431650227412047,0.9433566433566434
