Model,Scaler,Parameters,Mean Accuracy,Mean Recall,Mean Precision,Mean F1 Score
Logistic Regression,No Scaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.5296167247386759,0.5,0.26480836236933797,0.3460409756128354
Logistic Regression,No Scaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.6780487804878049,0.671691967749835,0.6789426856488611,0.6716749568403593
Logistic Regression,No Scaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.5296167247386759,0.5,0.26480836236933797,0.3460409756128354
Logistic Regression,No Scaler,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.8717770034843205,0.8716897809628315,0.8734568504573327,0.8708857781911388
Logistic Regression,No Scaler,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.5296167247386759,0.5,0.26480836236933797,0.3460409756128354
Logistic Regression,No Scaler,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.6780487804878049,0.671691967749835,0.6789426856488611,0.6716749568403593
Logistic Regression,No Scaler,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.5296167247386759,0.5,0.26480836236933797,0.3460409756128354
Logistic Regression,No Scaler,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.8689895470383275,0.868797455808562,0.871118000561195,0.8680376934806591
Logistic Regression,No Scaler,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.5296167247386759,0.5,0.26480836236933797,0.3460409756128354
Logistic Regression,No Scaler,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.6780487804878049,0.671691967749835,0.6789426856488611,0.6716749568403593
Logistic Regression,No Scaler,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.5296167247386759,0.5,0.26480836236933797,0.3460409756128354
Logistic Regression,No Scaler,"{'classifier__C': 100, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.8613240418118467,0.8616492216559493,0.8638743632425576,0.8604260753432754
Logistic Regression,No Scaler,"{'classifier__C': 100, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.5296167247386759,0.5,0.26480836236933797,0.3460409756128354
Logistic Regression,No Scaler,"{'classifier__C': 100, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.6780487804878049,0.671691967749835,0.6789426856488611,0.6716749568403593
Logistic Regression,No Scaler,"{'classifier__C': 100, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.5296167247386759,0.5,0.26480836236933797,0.3460409756128354
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 0.6}",0.8564459930313589,0.8543897583924339,0.8579849961545147,0.855115094999368
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 0.8}",0.8557491289198607,0.8535457473919503,0.8579768144527474,0.8542776476611731
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}",0.8515679442508711,0.8484688741114843,0.8543728815054934,0.8497201989827747
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 1.0}",0.8494773519163763,0.8460883243786151,0.8522360762373701,0.8475508238353721
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 0.6}",0.8578397212543555,0.8562024594532185,0.8585561686537728,0.8566870489982998
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8}",0.8585365853658538,0.8571024437071715,0.8592917550916264,0.8574071928671337
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 0.9}",0.8543554006968641,0.8519248603303338,0.8563380641000323,0.852834447961824
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 1.0}",0.8557491289198607,0.8525860943095896,0.8582427824801202,0.8539347193468654
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__subsample': 0.6}",0.8655052264808363,0.864278286549701,0.8658666555765375,0.8645537368323353
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__subsample': 0.8}",0.8620209059233449,0.8606620423901958,0.8626559381660851,0.8609826548561573
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__subsample': 0.9}",0.8613240418118467,0.8594169567738588,0.8625637629425246,0.8600689268026998
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__subsample': 1.0}",0.8550522648083623,0.852113290194913,0.8573139646083184,0.853353653855363
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 100, 'classifier__subsample': 0.6}",0.8571428571428571,0.8551664300661127,0.85826633964733,0.8559042977421042
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 100, 'classifier__subsample': 0.8}",0.8543554006968641,0.8513890650819873,0.8562051180511713,0.8526528554287591
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}",0.8529616724738676,0.8501187527749924,0.8557172578557859,0.85116144658677
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 100, 'classifier__subsample': 1.0}",0.8522648083623693,0.8490153866256829,0.8550183939454279,0.850272012865061
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 200, 'classifier__subsample': 0.6}",0.8606271777003485,0.8590311772287448,0.8613148818748029,0.859513363977368
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8}",0.8578397212543554,0.8556197867172409,0.8589209778009149,0.8564549871790952
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 200, 'classifier__subsample': 0.9}",0.8529616724738676,0.850789165752753,0.8546084099900149,0.8514794777000523
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 200, 'classifier__subsample': 1.0}",0.8522648083623693,0.8502327208410693,0.8532331624857239,0.8508537158440994
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 300, 'classifier__subsample': 0.6}",0.8599303135888501,0.8585184664767244,0.8611137697222041,0.8588164008043894
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 300, 'classifier__subsample': 0.8}",0.8627177700348432,0.8611338859859453,0.8637799355602725,0.8615880060474179
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 300, 'classifier__subsample': 0.9}",0.8599303135888501,0.8585958852700977,0.8606991110125305,0.8588773749207664
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 300, 'classifier__subsample': 1.0}",0.8564459930313589,0.8541893984959976,0.8574074956215523,0.8550075177805428
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'classifier__subsample': 0.6}",0.8578397212543554,0.8553472762032495,0.8593685836836619,0.8563801698319995
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'classifier__subsample': 0.8}",0.8557491289198607,0.8529040342082428,0.8575112991293917,0.8541176530390387
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}",0.8543554006968641,0.8515196634382735,0.8561744839280134,0.8527083261792632
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'classifier__subsample': 1.0}",0.8606271777003484,0.8571501801115277,0.8628465285336423,0.8586736274660758
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 200, 'classifier__subsample': 0.6}",0.8613240418118467,0.8597059041333184,0.8620432337823122,0.8602020287246013
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8}",0.8550522648083623,0.852824758188724,0.8563733900927788,0.853663492219573
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 200, 'classifier__subsample': 0.9}",0.8571428571428571,0.8551242488190972,0.8581023127543628,0.8558488893191651
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 200, 'classifier__subsample': 1.0}",0.8599303135888501,0.8576726022085308,0.860669497027709,0.85848875326169
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 300, 'classifier__subsample': 0.6}",0.8592334494773519,0.8577453994575496,0.8601989830576888,0.8581226916351875
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 300, 'classifier__subsample': 0.8}",0.8571428571428571,0.8553919060065998,0.8583545981131632,0.8559171922026756
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 300, 'classifier__subsample': 0.9}",0.8585365853658538,0.8571986159498184,0.8595964362775537,0.8574234239865204
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 300, 'classifier__subsample': 1.0}",0.8592334494773519,0.8572237949606567,0.8604686716664555,0.8578755748924063
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 0.6}",0.8592334494773519,0.8586931768465302,0.8601333140837969,0.858318232412518
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 0.8}",0.8599303135888501,0.8592917648641822,0.8604070525579836,0.8590821003990572
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}",0.8585365853658538,0.8582512931110884,0.8595908219282166,0.8576572938667152
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 1.0}",0.8529616724738677,0.8516545535119547,0.8540795753290537,0.8518139990817378
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 0.6}",0.8578397212543555,0.8575753414072382,0.8585037626224377,0.8570302893030028
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8}",0.8571428571428573,0.8563837835060149,0.858287650509768,0.8561320808081729
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 0.9}",0.8564459930313589,0.8564808715289528,0.8577076340644461,0.8555769935705794
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 1.0}",0.8550522648083623,0.8536925257899494,0.8565549778824572,0.8538586928130506
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__subsample': 0.6}",0.8550522648083623,0.8545990879662098,0.8562880166430628,0.854108585189876
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__subsample': 0.8}",0.8571428571428573,0.8565696156352333,0.85809636043166,0.8562324828625348
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__subsample': 0.9}",0.8564459930313589,0.8566393132479011,0.8577866702210717,0.8555981487544667
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__subsample': 1.0}",0.8550522648083623,0.8537605530008339,0.8562619273605,0.8539119988707379
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 4, 'classifier__n_estimators': 100, 'classifier__subsample': 0.6}",0.8592334494773519,0.8584533078746098,0.8600972212638194,0.8583031963783154
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 4, 'classifier__n_estimators': 100, 'classifier__subsample': 0.8}",0.8627177700348432,0.8619988815326709,0.8631141503265667,0.8618603582931519
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 4, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}",0.8529616724738677,0.8524756133062686,0.854244325132694,0.851955448020108
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 4, 'classifier__n_estimators': 100, 'classifier__subsample': 1.0}",0.8557491289198607,0.8556004070027233,0.8571317575007626,0.8548446252366425
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 4, 'classifier__n_estimators': 200, 'classifier__subsample': 0.6}",0.8557491289198605,0.8549695149532275,0.856305994555305,0.8548268264477897
