Company,Net_Profit_Margin,ROE,Debt_to_Equity,EBITDA_Margin,free_cash_flow,Debt_to_Equity_Score,Net_Profit_Margin_Score,ROE_Score,EBITDA_Margin_Score,free_cash_flow_Score,Total_Score
AAL,-0.112656440566145,0.2809357787634124,-6.884085574206199,-0.0334572488554084,-1631200.0,0.45969378606427347,0.7688206820462393,0.58694095115141,0.5290067109049119,0.07614564305466306,0.528583311090267
AAPL,0.2435281990082162,1.4774314312573298,2.161000229287554,0.326607865793772,94336250.0,0.40044072135054765,0.8773985135801798,0.6422245727772897,0.6966998976267604,1.0,0.7441248181311123
ABBV,0.1383096156399838,0.5225840418792542,5.197398934585537,0.3512625445197103,20574000.0,0.3805497072805428,0.8453241219588906,0.5981062162460236,0.7081823253181635,0.2899094845117675,0.6194445592855888
ABNB,-0.1768245914475406,-0.1815798781007595,0.5031247669435696,-0.1944253125738463,2239974.25,0.4113012266228826,0.7492599320807988,0.5655705930420192,0.4540390273744189,0.11341245797323282,0.5003593794825824
ABT,0.14639949946753,0.1642590934657661,0.5005762188555005,0.2671619668902991,6577800.0,0.41131792179726445,0.8477902082123745,0.5815499497640566,0.6690141490799152,0.15517160879788405,0.5889961102634955
ACN,0.1127384049905684,0.2869613216116957,0.1597223177723973,0.1805634334841368,8457565.75,0.41355080700118396,0.8375291013613461,0.5872193590421705,0.6286825994754307,0.1732676380054343,0.5807029913706704
ADBE,0.3039857937942075,0.351042909252038,0.3112194009077212,0.3956829354138894,6615600.0,0.4125583712558546,0.8958281531891898,0.5901802241626665,0.7288702414794745,0.15553549983273526,0.6183058168083284
ADI,0.2153360655894761,0.0722381049486792,0.239995955421469,0.4346845994737475,2902802.6,0.4130249458706472,0.8688045418789289,0.5772981553674665,0.7470344930760919,0.11979333877244536,0.6075557929835534
ADM,0.0336854480553104,0.1277990666131196,0.4552984782151467,0.057871480034859,2100200.0,0.41161452980680024,0.8134309295518222,0.5798653282405352,0.5715412552519438,0.11206688663783455,0.5491808642374305
ADP,0.1864236401359079,0.8110562822225589,0.8592940598064451,0.2846649583864623,3191580.0,0.40896801247571624,0.8599909993750002,0.6114349652067642,0.6771658202686578,0.12257332572820323,0.5964307463194077
