Company,Net_Profit_Margin,ROE,Debt_to_Equity,EBITDA_Margin,free_cash_flow,Debt_to_Equity_Score,Net_Profit_Margin_Score,ROE_Score,EBITDA_Margin_Score,free_cash_flow_Score,Total_Score
AAPL,0.2435281990082162,1.4774314312573298,2.161000229287554,0.326607865793772,94336250.0,0.40044072135054765,0.8773985135801798,0.6422245727772897,0.6966998976267604,1.0,0.7441248181311123
MSFT,0.3583925202899812,0.3995122296123971,0.3426114250945482,0.5186885061096784,65776800.0,0.41235272659077926,0.9124132714885937,0.5924197304756903,0.7861576467162024,0.725065401712117,0.722742745086017
VICI,0.6457168008138632,0.0953229506512253,0.6260614198255838,0.8885834881558029,1634472.8,0.4104958861753555,1.0000000000000002,0.5783647817880901,0.9584288992427675,0.10758344873396244,0.6913855261853443
PLD,0.4727669068924661,0.0572832722241236,0.473510306272179,0.9210123236456118,3858133.75,0.41149522672335115,0.9472786797643757,0.5766071730708745,0.9735319862781864,0.1289900700105172,0.6848524929522719
GOOG,0.2469713017368097,0.2647075829326921,0.1122828498451852,0.3424870655632898,60029400.0,0.4138615761773028,0.878448094574088,0.5861911336020471,0.7040953200201177,0.6697366362702132,0.6840302901073253
GOOGL,0.2469713017368097,0.2647075829326921,0.1122828498451852,0.3424870655632898,60029400.0,0.4138615761773028,0.878448094574088,0.5861911336020471,0.7040953200201177,0.6697366362702132,0.6840302901073253
V,0.5189145320599375,0.4019797157820716,0.5951861021376358,0.6963146994434021,16152200.0,0.410698145969985,0.9613461282571373,0.592533739725525,0.868883523768816,0.2473419348317365,0.6838619527596286
PSA,0.5423142993073578,0.2217340978513051,0.6691299347428218,0.8536572494303393,2469583.2,0.4102137504878721,0.9684792151559994,0.5842055602451921,0.9421626961761707,0.11562284523319591,0.6820766697281071
MTD,0.208505830084879,9.220714715736156,20.70569975880651,0.3029780616447017,786108.8,0.278957044446703,0.8667224415366976,1.0,0.6856947849453179,0.09941646318130293,0.6809124805423696
CME,0.5304220232684822,0.1029837326649372,0.1281094152062837,0.795911832191526,2925780.0,0.4137578986089623,0.9648540236097072,0.578718745275815,0.9152689132425083,0.12001453638790013,0.6740883908510887
ESS,0.3039502304922188,0.0795472310283558,1.0431180123741002,0.9778435436944533,805885.4,0.4077638080276813,0.8958173122213796,0.5776358707279549,0.9999999999999998,0.09960684750510819,0.6740807036658679
SPG,0.3715820989842939,0.4976318147589439,6.790950854898467,0.8547118989580597,2801534.0,0.37011057634134137,0.9164339273349157,0.5969533081849144,0.9426538782790257,0.11881845158588622,0.668844103821731
MA,0.4472219866967329,1.421745952205571,2.064245393076624,0.5930750315847299,9430200.0,0.4010745484579873,0.9394916734384581,0.6396516466262112,0.8208016958022439,0.18263094180872136,0.6674883500838351
KIM,0.4206648958236704,0.0729024932419441,0.8091483641584254,0.8347410656274175,816597.4,0.4092965097629613,0.931396121248749,0.5773288531731301,0.9333528586954727,0.09970996921847661,0.6664056046384055
GDDY,0.1461135382281114,5.853514467228921,-51.95118493841036,0.129162478415919,859940.0,0.7549219146969113,0.8477030369875965,0.8444198070515023,0.6047436239811392,0.10012721746099362,0.6647278910938997
META,0.3010116805394074,0.2737897155164854,0.1629622748625563,0.4362995205077983,35001600.0,0.41352958250521965,0.8949215369793262,0.5866107700464186,0.7477866105223154,0.42880033886149277,0.6630027384667609
EQR,0.3586449261890747,0.0833242289083317,0.7051251279513384,0.8083000355427753,1173199.6,0.40997795112024826,0.9124902138441728,0.577810385462917,0.9210384732837618,0.10314288836102226,0.659303996513891
O,0.2129114845056747,0.0281751650288121,0.6844909876969296,0.8777496824140698,2242571.6,0.41011312242479625,0.8680654427510947,0.5752622441686448,0.9533832690629964,0.11343746200443311,0.6572046705388286
VRSN,0.5639391295145233,-0.5393082000853262,-1.2489899280881855,0.7066060286556644,763172.0,0.4227790796434129,0.9750712376923714,0.5490418934548252,0.8736765062628,0.09919565641177447,0.6566046657786065
AVB,0.3727153132638416,0.0845973296819342,0.7298789633829563,0.7691175802118011,1230076.8,0.4098157922812269,0.9167793716226975,0.5778692085947126,0.902790021737881,0.1036904307728593,0.6558947943328745
