ticker,pe_ratio,profitability,leverage,operating_efficiency
AAL,-63.9444457160102,2,0,1
AAPL,34.52054840970438,5,2,2
ABBV,64.97993086492735,5,0,1
ABNB,17.666667497076958,5,1,1
ABT,35.533122835851245,3,2,2
ACGL,8.077355879771558,5,1,2
ACN,33.17216027787317,5,1,2
ADBE,42.948348960262756,3,2,2
ADI,68.74397461672864,3,2,0
ADM,11.798804689688513,3,2,0
ADP,31.336264138693338,3,2,0
ADSK,55.56557452092405,5,1,2
AEE,19.805868592273033,5,1,1
AEP,20.055999755859375,5,0,2
AES,17.839622497558594,5,0,1
AFL,12.145416452711324,4,1,1
AIG,-62.851242191535384,2,1,0
AIZ,13.177451552988451,5,1,1
AJG,56.566405296325684,5,2,1
AKAM,25.181142272191956,5,2,1
ALB,36.98912910793139,2,2,0
ALGN,40.97623193608075,5,1,1
ALLE,23.14944365824349,5,1,2
ALL,41.700220421054425,5,1,2
AMAT,22.693258564123944,5,2,2
AMCR,24.888888465033638,3,1,0
AMD,203.45237368629094,5,1,2
AME,29.635888608075184,5,2,1
AMGN,55.113793734846446,3,1,1
AMP,16.658912160157588,5,1,2
AMT,41.96247723491733,5,0,2
AMZN,44.513125180629096,5,2,2
ANET,51.35797681202375,5,1,2
ANSS,63.399600599664275,3,2,2
AON,27.979904125741058,3,2,1
AOS,22.583979722449328,4,1,1
APA,2.910173094117796,5,1,1
APD,24.740034662045062,5,2,1
APH,37.142858051118395,5,2,2
APTV,5.307924666494693,4,2,2
ARE,141.85185373565295,5,1,2
ATO,20.655834023322104,5,1,2
AVB,37.397631856592376,3,0,1
AVGO,152.27586154280038,3,1,1
AVY,27.582261740088768,5,2,2
AWK,29.095919862085456,5,0,2
AXON,111.29287276859334,5,2,1
AXP,20.594776210500232,5,1,1
AZO,21.012537771870885,5,0,2
A,30.139293393077576,5,2,1
BAC,14.073684424684759,3,1,0
BALL,4.949025235612174,4,0,2
BAX,7.412244835678411,2,1,2
BA,-43.78531073446327,0,1,0
BBWI,7.262135940848045,3,1,1
BBY,17.203799759991636,4,1,1
BDX,49.32091122581845,3,2,1
BEN,12.36024821026725,3,2,1
BF-B,22.879227347995926,3,2,1
BG,11.15568161010742,3,2,0
BIIB,23.414879278156526,3,2,1
BIO,-7.260245293769143,2,2,1
BKNG,29.38943220796196,5,1,2
BKR,19.25380726151055,4,2,1
BK,17.056872833396586,4,1,0
BLDR,16.940969055444658,3,2,1
BLK,23.564796485635707,3,2,1
BMY,-16.6030766413762,2,1,0
BRO,30.44668631869709,5,2,2
BR,36.74573410086257,4,0,1
BSX,68.73170806140435,5,2,1
BWA,13.306818586407285,5,2,2
BXP,76.16980930544295,3,1,1
BX,57.984732125551645,5,1,1
CAG,14.829145843659214,4,0,1
CAH,49.548674051740534,3,2,0
CAT,18.09890594065135,5,1,1
CBOE,28.206434070904198,5,2,2
CBRE,40.68686745383523,3,2,1
CB,12.2923010295216,5,1,2
CCI,40.83516606481084,3,0,1
CCL,25.380282334878412,5,0,2
CDNS,69.59844401463326,5,1,1
CDW,27.676654487066948,5,1,2
CEG,37.968083645435094,3,2,1
CFG,15.539622756670108,3,1,1
CF,21.51551349066322,5,2,2
CHD,31.97468383402764,5,1,2
CHRW,38.392087538465326,5,2,2
CHTR,10.415576358896226,5,0,2
CINF,10.17754961267081,5,1,2
CI,26.969219590136642,3,1,2
CLX,71.80889214409723,3,0,0
CL,28.874635835430713,5,1,2
CMCSA,10.95478686880558,3,1,1
CME,24.744210879358462,5,2,2
CMG,55.99019667681526,5,0,2
CMI,23.746599157793487,5,2,2
CMS,21.846626141319977,5,1,2
CNC,13.574388292100695,5,2,1
CNP,18.839506455409673,5,0,2
COF,14.434619232493532,3,1,1
COO,58.84444342719184,5,2,2
COP,12.755011237809281,4,2,1
COR,24.063457597528036,5,1,1
COST,54.74953411974969,5,1,2
CPAY,24.055232558139537,5,1,2
CPB,25.052909245566717,3,0,0
CPT,33.1123289343429,4,0,1
CRL,22.815790130761254,3,2,1
CRM,50.13066202090592,5,2,2
CRWD,423.5362177309783,5,1,2
CSCO,20.76771653543307,3,2,0
CSGP,142.4999970656175,3,1,1
CSX,18.846995452714097,3,1,1
CTAS,13.525412782977517,4,2,1
CTLT,-10.519097248713177,2,1,1
CTRA,14.293103930593908,3,2,1
CTSH,17.57175384730033,4,1,0
CTVA,44.869232177734375,5,1,1
CVS,11.492881910656696,3,1,1
CZR,-34.47286916333575,2,1,0
C,17.303867234709514,1,1,1
DAL,7.07030111611146,3,0,2
DAY,206.20000203450522,3,2,2
DD,105.46988062111728,5,2,1
DECK,5.3345058381385915,5,1,2
DE,13.915074701035982,3,1,1
DFS,12.788172938186094,4,1,1
DGX,20.349526759262186,3,2,0
DG,13.118195719147916,3,1,1
DHI,12.425302785306087,4,2,1
DIS,36.455939281945945,5,2,2
DLR,45.639534883720934,5,0,2
DLTR,-14.740125057355284,2,1,2
DOC,46.08333508173625,3,0,2
DOV,17.58938581583886,4,2,2
DOW,34.16049392135055,5,2,1
DPZ,26.17292292668269,5,1,2
DRI,19.370152331126985,3,0,0
DTE,18.98056851374194,3,0,1
DUK,21.042435987409192,5,0,2
DVA,17.0946811107879,5,1,2
DVN,7.670885744836403,4,2,1
DXCM,42.3043482051873,5,1,1
D,30.647368180124385,3,1,1
EA,33.576469870174634,3,1,1
EBAY,12.947265803813934,2,2,1
ED,20.029126509879397,3,1,2
EFX,60.59829190246061,5,0,1
EG,5.984122442589267,5,1,2
EIX,34.610441889628824,3,0,2
ELV,17.229341993144914,4,1,2
EL,53.8539329271638,4,1,1
EMN,14.670255720053836,3,2,1
EMR,37.023256625051914,3,2,2
ENPH,113.92472790133569,3,1,1
EOG,10.279536302485521,4,2,1
EPAM,28.416906318555245,4,1,1
EQIX,80.3003667475103,5,1,2
EQR,29.178570944165426,5,1,2
EQT,24.143789952097375,3,1,0
ESS,35.3943839905754,5,1,1
ETN,36.63916257348391,5,2,2
ETR,15.830346475507767,3,0,1
ETSY,24.558139180028164,3,1,1
EVRG,18.85312557220459,5,0,1
EW,26.950616404843426,4,1,1
EXC,16.61570210102176,4,1,0
EXPD,25.790150415718685,2,1,0
EXPE,27.156756976703267,5,1,2
EXR,46.30600976162269,4,0,1
FANG,10.072981398051322,5,1,1
FAST,34.91542303740089,4,2,1
FCX,38.00751822335379,5,2,2
FDS,34.43858327053504,5,1,1
FDX,16.111179514384844,3,1,1
FE,28.592104660837272,3,0,2
FFIV,23.697198670485925,5,1,2
FICO,100.54545480203954,5,1,1
