Company,Net_Profit_Margin,ROE,Debt_to_Equity,EBITDA_Margin,free_cash_flow
AAL,-0.11265644056614506,0.28093577876341247,-6.884085574206199,-0.033457248855408406,-1631200.0
AAPL,0.2435281990082162,1.4774314312573298,2.161000229287554,0.32660786579377205,94336250.0
ABBV,0.13830961563998387,0.5225840418792542,5.197398934585537,0.35126254451971034,20574000.0
ABNB,-0.1768245914475406,-0.1815798781007595,0.5031247669435696,-0.19442531257384638,2239974.25
ABT,0.14639949946753,0.1642590934657661,0.5005762188555005,0.26716196689029914,6577800.0
ACN,0.11273840499056849,0.2869613216116957,0.15972231777239734,0.18056343348413684,8457565.75
ADBE,0.3039857937942075,0.351042909252038,0.31121940090772127,0.39568293541388944,6615600.0
ADI,0.21533606558947613,0.0722381049486792,0.239995955421469,0.4346845994737475,2902802.6
ADM,0.033685448055310444,0.12779906661311963,0.45529847821514674,0.05787148003485909,2100200.0
ADP,0.18642364013590798,0.8110562822225589,0.8592940598064451,0.28466495838646233,3191580.0
ADSK,0.1654985881331951,0.25332024976240936,-2.544927133309599,0.1845313686050773,1547975.0
AEE,0.15130600156442703,0.10241225221594512,1.3802434256910021,0.447336355443288,-1416800.0
AEP,0.13286489097964158,0.10240113719293693,1.6809838057501083,0.3895841470701463,-1824440.0
AES,0.0010192224004468766,-0.0013846441620293244,4.502532555500086,0.1846811541779048,-2304000.0
AJG,0.11158356254247101,0.11585194277584691,0.7541064412914048,0.23022632343911323,1670060.0
AKAM,0.16220594746030034,0.1311806027109643,0.7502959675781632,0.35528350261069325,727981.4
ALB,0.12280317074254272,0.10355682098910288,0.5196720956853099,0.1356254652065218,-420834.4
ALGN,0.24783279692765112,0.2224335164131292,0.032876878520183096,0.218706854072395,513664.0
ALLE,0.1445573792040656,0.4960753525975764,1.8328498535595958,0.2162405457257365,460120.0
AMAT,0.24432210778032734,0.4443370152994915,0.4635548513265241,0.3097606129510808,5090500.0
AMCR,0.061088483745684874,0.1994947501683699,1.6643126793005094,0.13917436223188823,877000.0
AMD,0.13525867450816087,0.22193669131697136,0.07129021177734027,0.21064637151617652,2058250.0
AME,0.18956325863291912,0.14905699878025347,0.38022679235377754,0.3015248222199314,1216495.5
AMGN,0.24993378251794782,1.1297695268441958,7.370757102192442,0.48333073848006025,8603500.0
AMT,0.20042965958057574,0.23676267987760827,5.294611133212863,0.5848347288841704,2893440.0
AMZN,0.04948086255641766,0.1816707389768319,0.8397612069331085,0.13941455828844987,14972400.0
ANET,0.3227984549233551,0.2951914347139664,0.012974686234550045,0.36602846653964743,1363415.8
ANSS,0.24262424698541446,0.10193322809028418,0.18804205728624915,0.34221623742505275,584210.25
AON,0.1720110037324307,-1.0002327256324317,-3.9764340763861177,0.28038832909470157,2762200.0
AOS,0.12215215715235003,0.2412362060068614,0.12313273021819784,0.17865063766167716,494180.0
APD,0.19779829815461086,0.15922818670389882,0.6411755721260635,0.3768715426460015,-394960.0
APH,0.14948328748040252,0.2548873464520508,0.6528880711018541,0.2347528656323265,1749960.0
APTV,0.10584262882847537,0.19530333232457844,0.6039075480597349,0.14872783481507218,840000.0
ARE,0.1893429028000104,0.024018182289021927,0.5125091213990673,0.6764452554523313,1283407.8
ATO,0.20859499547677837,0.09011933257069563,0.7975270261538949,0.4229576505660808,-1194971.8
AVB,0.37271531326384166,0.08459732968193426,0.7298789633829563,0.7691175802118011,1230076.8
AVGO,0.2371930448595232,0.33269460972183085,1.6704669818391806,0.5238581502001767,15503800.0
AVY,0.07700338978099483,0.34022554062397853,1.5236504717468884,0.14704138342101072,639080.0
AWK,0.23707272600041523,0.12146547518533861,1.527993963072381,0.5749740044441211,-776500.0
AXON,0.04076201580356961,0.04125775545304395,0.3783452309057772,0.03375248783037854,87018.0
AZO,0.14496741171965155,-1.1122519582022243,-4.794566610077912,0.22746047927138247,2460505.75
A,0.1816463654518753,0.2169142408524865,0.4950111133800488,0.26506072787411816,1202200.0
BAX,0.052924493286011925,0.041998008905261536,1.850424533006441,0.1071333746834526,1078750.0
BA,-0.08420932331836836,0.3177680234999862,-3.529717904306561,-0.027275224432181933,-4618000.0
BBWI,0.13107580604754734,-0.7645871050134183,-5.363499669185185,0.2579748200724501,1126250.0
BBY,0.03616574577390288,0.529684460137833,1.2253969419082043,0.06594700556745842,2074500.0
BDX,0.07732837776604237,0.05924082091103796,0.6868340715958935,0.22096461513983634,2644200.0
BEN,0.14086047700648627,0.08418537284606672,0.6768927530232427,0.2599801190373769,1218900.0
BF-B,0.226065861902497,0.2942282257604608,0.8913231722583774,0.33120301947890773,607250.0
BG,0.029318255258660587,0.1824623737259097,0.7651290994144924,0.053325726351789574,-1974000.0
BIIB,0.2142021750362092,0.20559787207340563,0.6040455686956372,0.3310813512747588,2349975.0
BIO,0.18072654167613486,0.02405171053024443,0.08433397057801889,0.2895651364197097,297620.4
BKNG,0.14384882661647005,0.30958741355566927,1.6576219696665895,0.2853641802222403,4601200.0
BKR,-0.07386026163559596,-0.07032508347355178,0.4164551840376419,-0.040184487988217735,1239400.0
BLDR,0.0833869828193754,0.3739847717467417,0.9296192170624427,0.14455823148949695,1671430.2
BLK,0.30606718555818135,0.14082027008903947,0.22671469760604884,0.4346373792061934,4130800.0
BMY,0.0226986924184853,0.047444762379821405,1.3358862823277675,0.30141662169387395,13215400.0
BRO,0.19540109209784473,0.15482195892329145,0.6966704048531852,0.3462810642499936,817420.0
BR,0.10453716250177122,0.3060157011509815,1.9236234345275451,0.22401228466852774,708860.0
