Date,Total Revenue,Credit Losses Provision,Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Interest Income after Provision for Loan Loss,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,17492000.0,-114000.0,12015000.0,82000.0,-1100000.0,4263000.0,833000.0,3200000.0,3200000.0,4.25,4.22,762293.5,766654.5,4073000.0,3425000.0,4310057.47,14791000.0,1872000.0,3425000.0,-1100000.0,-1100000.0,0.0,-214942.53,432451750.0,389609250.0,42842500.0,71512000.0,4640000.0,37970750.0,20649000.0,66872000.0,16009000.0,28901250.0,1392464.7225,814674.3975,23300.0,577790.3275,2421000.0,-2029000.0,-2526000.0,7478000.0,1119000.0,19706000.0,-1286000.0,16000.0,4488000.0,-6169000.0,-2989000.0,1135000.0
12/31/2023,17293000.0,-119000.0,11949000.0,82000.0,-1137000.0,4088000.0,800000.0,3051000.0,3051000.0,4.01,4.0,784069.0,787798.0,4226000.0,3286000.0,4200148.0,12205000.0,1748000.0,3286000.0,-1137000.0,-1137000.0,0.0,-222852.0,409953000.0,368944000.0,41009000.0,72610000.0,4343000.0,36531000.0,19329000.0,68267000.0,14986000.0,31736000.0,1402429.45,759344.09,23300.0,643085.36,5912000.0,-5810000.0,-3519000.0,8342000.0,882000.0,16021000.0,-1220000.0,16000.0,6487000.0,-6059000.0,-3104000.0,4692000.0
12/31/2022,16034000.0,-39000.0,11638000.0,82000.0,-1029000.0,3328000.0,768000.0,2362000.0,2362000.0,2.91,2.9,811047.0,814795.0,3465000.0,2573000.0,3364301.0,2440000.0,1636000.0,2573000.0,-1029000.0,-1029000.0,0.0,-237699.0,405783000.0,364933000.0,40850000.0,71589000.0,4838000.0,35896000.0,19423000.0,66751000.0,14585000.0,30855000.0,1395725.2,808444.6,23300.0,587280.6,15068000.0,19874000.0,-33654000.0,11529000.0,449000.0,3307000.0,-1346000.0,14000.0,9929000.0,-4000000.0,-124000.0,13722000.0
12/31/2021,15633000.0,231000.0,11216000.0,82000.0,-1088666.6666666667,4648000.0,877000.0,3550000.0,3550000.0,4.17,4.14,851798.56,856359.0,2849000.0,3759000.0,3759000.0,91000.0,1867000.0,3759000.0,-1088666.6666666667,-1088666.6666666667,0.0,-225164.51,444438000.0,401047000.0,43391000.0,69714000.0,4838000.0,38196000.0,20435000.0,64876000.0,15597000.0,26680000.0,1389397.91,804145.37,23300.0,585252.55,2838000.0,19672000.0,-21962000.0,9883000.0,473000.0,233000.0,-1215000.0,1300000.0,5186000.0,-4650000.0,-5567000.0,1623000.0
12/31/2020,15472000.0,-336000.0,10668000.0,85000.0,-1088666.6666666667,4468000.0,842000.0,3417000.0,3417000.0,3.84,3.83,890839.0,892514.0,2641000.0,3617000.0,3617000.0,729000.0,1630000.0,3617000.0,-1088666.6666666667,-1088666.6666666667,0.0,-225164.51,469633000.0,423513000.0,46120000.0,72135000.0,4541000.0,41260000.0,23409000.0,67594000.0,18868000.0,26334000.0,1382306.33,886763.53,23300.0,495542.8,5038000.0,-78455000.0,75508000.0,9419000.0,1341000.0,1236000.0,-1222000.0,1579000.0,2993000.0,-5200000.0,-1572000.0,3816000.0
12/31/2019,16384800.0,-75400.0,11497200.0,79000.0,-1088666.6666666667,4159000.0,824000.0,3116000.0,3116000.0,3.836,3.817999999999999,820009.412,823624.1,3450800.0,3332000.0,3850101.2939999998,6051200.0,1750600.0,3332000.0,-1088666.6666666667,-1088666.6666666667,0.0,-225164.51,432451750.0,389609250.0,42842500.0,71512000.0,4640000.0,37970750.0,20649000.0,66872000.0,16009000.0,28901250.0,1392464.7225,814674.3975,23300.0,577790.3275,6255400.0,-9349600.0,2769400.0,9330200.0,852800.0,8100600.0,-1257800.0,585000.0,5816600.0,-5215600.0,-2671200.0,4997600.0
