Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"1,810,578.00","727,638.00","1,082,940.00","935,864.00","147,076.00","42,939.00","151,520.00","341,535.00","50,852.00","290,683.00","290,683.00",3.88,3.79,"75,194.00","76,712.00","147,076.00","1,663,502.00","290,683.00","161,410.84","50,100.00","7,161.00","42,939.00","348,696.00","391,729.00","727,638.00","43,033.00","290,683.00","151,887.00","151,887.00","239,842.00",0.00,"22,614.84",,,,,,,,,,,,,,,,"269,755.00","-160,685.00","-15,835.00","569,436.00","86,839.00",--,"-65,945.00",-101.00,--,--,"203,810.00"
12/31/2023,"1,563,391.00","608,009.00","955,382.00","800,593.00","154,789.00","42,112.00","-41,901.00","155,000.00","-19,227.00","174,227.00","174,227.00",2.35,2.31,"74,195.00","75,456.00","154,789.00","1,408,602.00","174,227.00","207,635.31","49,107.00","6,995.00","42,112.00","161,995.00","194,633.00","608,009.00","32,638.00","174,227.00","-42,289.00","-42,289.00","236,922.00",0.00,"-8,880.69","3,436,845.00","1,824,811.00","1,612,034.00","2,289,147.00","1,612,034.00","33,550.00","1,534,550.00","1,596,680.00","2,289,147.00","1,534,550.00","710,663.00","78,568.00","95,521.65","75,301.42","20,220.23","189,263.00","12,476.00","41,314.00","600,670.00","64,492.00","3,508.00","-60,270.00","94,705.00",--,--,"128,993.00"
12/31/2022,"1,189,935.00","461,297.00","728,638.00","635,385.00","93,253.00","4,294.00","98,971.00","196,518.00","49,379.00","147,139.00","147,139.00",2.07,2.03,"71,093.00","72,534.00","93,253.00","1,096,682.00","147,139.00","73,696.55","4,782.00",488.00,"4,294.00","197,006.00","221,387.00","461,297.00","24,381.00","147,139.00","98,054.00","98,054.00","123,333.00",0.00,"24,611.55","2,851,894.00","1,583,403.00","1,268,491.00","1,942,458.00","1,268,491.00","37,143.00","1,211,350.00","1,202,632.00","1,942,458.00","1,211,350.00","711,110.00","320,283.00","91,694.81","71,474.58","20,220.23","235,361.00","-830,967.00","598,100.00","355,552.00","10,508.00",--,"-56,109.00",--,"673,769.00",-74.00,"179,252.00"
12/31/2021,"863,381.00","322,471.00","540,910.00","709,033.00","-168,123.00","1,483.00","25,265.00","-141,375.00","-81,357.00","-60,018.00","-60,018.00",-0.91,-0.91,"66,191.00","66,191.00","-168,123.00","1,031,504.00","-60,018.00","-60,018.00","1,483.00",--,"1,483.00","-168,123.00","-149,429.00","322,471.00","18,694.00","-60,018.00",--,--,"-149,429.00",0.00,--,"1,688,210.00","640,361.00","1,047,849.00","1,047,849.00","1,047,849.00","20,440.00","988,787.00","690,969.00","1,047,849.00","988,787.00","20,440.00",--,"91,117.08","70,896.86","20,220.23","124,494.00","252,556.00","-174,181.00","356,438.00","5,108.00",--,"-50,278.00","105,514.00",--,--,"74,216.00"
12/31/2020,"681,003.00","264,672.00","416,331.00","430,481.00","-14,150.00","7,859.00",--,"-6,291.00","-4,567.00","-1,724.00","-1,724.00",-0.03,-0.03,"61,782.00","61,782.00","-14,150.00","695,153.00","-1,724.00","-1,724.00","7,859.00",--,"7,859.00","-14,150.00","-1,675.00","264,672.00","12,475.00","-1,724.00",--,--,"-1,675.00",0.00,--,"1,381,023.00","404,768.00","976,255.00","976,255.00","976,255.00",--,"941,602.00","725,621.00","976,255.00","941,602.00",--,--,"83,986.78","63,766.56","20,220.23","38,481.00","-356,526.00","299,265.00","155,551.00","10,893.00",--,"-72,870.00","306,779.00",--,--,"-34,389.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
