Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Interest Expense,Net Interest Income,Net Income from Continuing & Discontinued Operation,Normalized Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"5,635,700.00","2,820,500.00","2,815,200.00","1,584,100.00","1,231,100.00","-545,800.00","65,900.00","751,200.00","7,100.00","7,500.00","739,300.00","739,300.00",3.21,3.20,"230,100.00","230,550.00","1,284,800.00","4,404,600.00","545,800.00","-545,800.00","739,300.00","717,706.04","1,297,000.00","2,453,100.00","2,764,300.00","1,156,100.00","739,300.00","21,800.00","21,800.00","2,431,300.00",0.00,206.04,,,,,,,,,,,,,,"1,899,800.00","-2,434,400.00","538,700.00","35,500.00",--,--,"-2,525,900.00",--,"2,726,300.00","-1,075,200.00",--,"-626,100.00"
12/31/2023,"5,508,200.00","2,742,700.00","2,765,500.00","1,558,200.00","1,207,300.00","-525,800.00","70,300.00","751,800.00","15,600.00","7,400.00","731,300.00","731,300.00",3.18,3.17,"230,000.00","230,500.00","1,282,400.00","4,300,900.00","525,800.00","-525,800.00","731,300.00","702,194.00","1,277,600.00","2,416,500.00","2,680,300.00","1,138,900.00","731,300.00","29,700.00","29,700.00","2,386,800.00",0.00,594.00,"30,976,100.00","21,291,100.00","9,685,000.00","20,716,400.00","9,663,100.00","7,326,500.00","-1,723,500.00","22,810,200.00","7,326,500.00","13,147,100.00","13,119,400.00","229,729.30","229,729.30","1,980,200.00","-2,471,700.00","494,000.00","27,700.00","34,400.00","500,900.00","-2,334,000.00",--,"2,498,000.00","-1,428,200.00",--,"-353,800.00"
12/31/2022,"5,859,100.00","3,229,500.00","2,629,600.00","1,424,800.00","1,204,800.00","-404,000.00","4,400.00","805,200.00","47,500.00","7,300.00","752,700.00","752,700.00",3.27,3.27,"229,900.00","230,300.00","1,267,200.00","4,654,300.00","404,000.00","-404,000.00","752,700.00","776,721.00","1,209,200.00","2,194,100.00","3,174,000.00","984,900.00","752,700.00","-25,500.00","-25,500.00","2,219,600.00",0.00,"-1,479.00","29,489,900.00","19,996,600.00","9,493,300.00","19,389,400.00","9,483,700.00","7,147,100.00","-1,651,800.00","21,519,800.00","7,147,100.00","12,036,100.00","12,010,900.00","229,546.11","229,546.11","1,801,900.00","-2,152,200.00","349,300.00","25,200.00","21,600.00","393,700.00","-2,166,500.00",--,"1,334,100.00","-438,900.00",--,"-364,600.00"
12/31/2021,"5,586,700.00","2,954,900.00","2,631,800.00","1,364,300.00","1,267,500.00","-372,600.00","106,200.00","1,001,100.00","117,400.00","8,200.00","879,700.00","879,700.00",3.84,3.83,"229,000.00","229,600.00","1,354,900.00","4,319,200.00","372,600.00","-372,600.00","879,700.00","826,748.40","1,373,700.00","2,321,500.00","2,903,500.00","947,800.00","879,700.00","59,900.00","59,900.00","2,261,600.00",0.00,"6,948.40","28,520,500.00","19,278,800.00","9,241,700.00","18,542,300.00","9,244,400.00","6,907,800.00","-1,392,600.00","20,409,900.00","6,907,800.00","11,165,500.00","11,139,300.00","229,299.90","229,299.90","1,351,700.00","-1,913,800.00","443,400.00","26,200.00",--,"357,100.00","-1,972,500.00","112,500.00","1,392,200.00","-554,100.00",--,"-620,800.00"
12/31/2020,"4,913,400.00","2,525,200.00","2,388,200.00","1,322,500.00","1,065,700.00","-383,900.00","42,100.00","723,900.00","102,200.00","8,300.00","618,300.00","618,300.00",2.72,2.72,"227,200.00","227,500.00","1,143,900.00","3,847,700.00","383,900.00","-383,900.00","618,300.00","609,012.00","1,107,800.00","2,046,200.00","2,466,900.00","938,400.00","618,300.00","10,800.00","10,800.00","2,035,400.00",0.00,"1,512.00","27,114,800.00","18,396,300.00","8,718,500.00","17,924,300.00","8,733,400.00","6,396,800.00","-731,500.00","19,054,500.00","6,396,800.00","10,321,100.00","10,176,200.00","226,836.67","226,836.67","1,753,800.00","-1,533,700.00","-98,400.00","144,900.00",--,"367,600.00","-1,560,300.00",--,"944,300.00","-338,200.00",--,"193,500.00"
12/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,"-1,628,700.00",--
