Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Repayment of Debt,Free Cash Flow
TTM,"3,857,014.00","267,500.00","3,589,514.00","3,538,574.00","50,940.00","188,806.00","111,319.00","351,137.00","253,842.00","97,295.00","97,295.00",0.42,0.41,"222,740.50","223,822.00","15,743.00","3,806,074.00","97,295.00","9,352.99","191,320.00","2,514.00","188,806.00","353,651.00","440,798.00","267,500.00","87,147.00","97,295.00","111,319.00","111,319.00","329,479.00",0.00,"23,376.99",,,,,,,,,,,,,,"-61,188.00","-30,981.00","-2,046,500.00","994,173.00","470,567.00",--,"-78,335.00","-3,504.00","-139,523.00"
12/31/2023,"3,695,649.00","255,000.00","3,440,649.00","2,790,939.00","649,710.00","169,797.00","14,691.00","834,215.00","236,616.00","597,599.00","597,599.00",2.67,2.65,"223,628.00","225,928.00","620,525.00","3,045,939.00","597,599.00","587,080.24","172,348.00","2,551.00","169,797.00","836,766.00","919,426.00","255,000.00","82,660.00","597,599.00","14,691.00","14,691.00","904,735.00",0.00,"4,172.24","6,782,107.00","1,592,270.00","5,189,837.00","5,189,837.00","5,189,837.00","38,287.00","4,910,699.00","3,405,023.00","5,189,837.00","4,910,699.00","38,287.00","224,286.86","224,286.86","496,487.00","-207,677.00","-20,033.00","3,215,221.00","378,206.00",--,"-47,486.00","-3,360.00","449,001.00"
12/31/2022,"3,394,635.00","207,000.00","3,187,635.00","2,596,009.00","591,626.00","37,266.00","-99,739.00","529,116.00","188,456.00","340,660.00","340,660.00",1.53,1.52,"222,004.00","223,958.00","579,440.00","2,803,009.00","340,660.00","404,891.92","39,932.00","2,666.00","37,266.00","531,782.00","599,637.00","207,000.00","67,855.00","340,660.00","-99,739.00","-99,739.00","699,376.00",0.00,"-35,507.08","5,840,984.00","1,470,865.00","4,370,119.00","4,370,119.00","4,370,119.00","41,457.00","4,085,307.00","2,935,773.00","4,370,119.00","4,085,307.00","41,457.00","222,746.72","222,746.72","969,941.00","-78,542.00",-794.00,"2,953,120.00","136,242.00",--,"-77,833.00","-2,862.00","892,108.00"
12/31/2021,"2,986,267.00","150,991.00","2,835,276.00","2,234,758.00","600,518.00","8,739.00","-38,813.00","570,444.00","-378,137.00","948,581.00","948,581.00",4.30,4.27,"220,428.00","222,074.00","585,777.00","2,385,749.00","948,581.00","976,914.49","10,647.00","1,908.00","8,739.00","572,352.00","630,196.00","150,991.00","57,844.00","948,581.00","-38,813.00","-38,813.00","669,009.00",0.00,"-10,479.51","4,933,352.00","1,163,348.00","3,770,004.00","3,770,004.00","3,770,004.00","44,821.00","3,463,656.00","2,264,366.00","3,770,004.00","3,463,656.00","44,821.00","221,084.43","221,084.43","749,488.00","-207,699.00","6,176.00","2,059,160.00","67,731.00",396.00,"-181,006.00","-2,417.00","568,482.00"
12/31/2020,"2,666,702.00","131,300.00","2,535,402.00","2,775,643.00","-240,241.00","-2,174.00","10,247.00","-232,218.00","63,479.00","-295,697.00","-295,697.00",-1.36,-1.36,"218,073.00","218,073.00","-263,676.00","2,906,943.00","-295,697.00","-286,236.93",--,"2,174.00","-2,174.00","-230,044.00","-178,237.00","131,300.00","51,807.00","-295,697.00","-12,959.00","-12,959.00","-165,278.00",0.00,"-3,498.93","3,560,918.00","949,650.00","2,611,268.00","2,611,268.00","2,611,268.00","47,531.00","2,283,384.00","1,728,699.00","2,611,268.00","2,283,384.00","47,531.00","219,489.33","219,489.33","-124,599.00","-269,001.00","71,709.00","1,514,765.00","70,712.00",194.00,"-187,379.00",-836.00,"-311,978.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,239.00,--,--,--
