Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Rent Expense Supplemental,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,12460067.43,8552265.02,3463478.28,2635285.61,1550863.73,-135746.41,1166184.57,327198.36,837880.81,837880.81,-1.8,-1.82,519323.68,519323.68,1124231.04,19000.0,10909203.7,837880.81,988979.44,12475.025000000001,170829.3725,-135746.41,1362945.75,1362945.75,8552265.02,672185.1475,837880.81,-210025.98,-210025.98,1572971.73,0.0,-58927.34,13313942.012500001,8016477.285,5297464.7275,5282433.475000001,5282433.475000001,2273032.0374999996,1452518.6799999997,5282433.475000001,2273032.0374999996,4118266.0025000004,259100.39,259100.39,1676891.62,-918587.3,-607943.08,3358515.09,-872672.34,399624.55,966112.61,-377523.51,-27522.37,727353.12
12/31/2023,12460067.43,8273918.09,4186149.34,2635273.31,1550876.03,-163599.18,1166196.87,327198.36,837893.11,837893.11,3.24,3.22,258000.0,260000.0,1382855.25,20141.635000000002,10909191.4,837893.11,982913.53,33162.0,196761.18,-163599.18,1362958.05,2064886.97,8273918.09,701928.92,837893.11,-210025.98,-210025.98,2274912.95,0.0,-65005.55,13958989.66,7797490.74,6161498.92,6146023.32,6146023.32,3194605.65,1533189.63,6146023.32,3194605.65,4139722.54,260354.34,260354.34,1676891.62,-918587.3,-607969.93,983805.89,-949538.5,399624.55,966112.61,-50848.39,-30951.2,727353.12
12/31/2022,13742774.72,9385623.44,4357151.28,2574826.54,1782324.74,-159787.24,1386610.04,373194.35,1012343.3,1012343.3,3.92,3.88,258000.0,261000.0,1543180.09,20141.635000000002,11960449.98,1012343.3,1245714.12,9651.58,169438.81,-159787.24,1556048.86,2231659.32,9385623.44,675610.46,1012343.3,-227348.28,-155497.65,2387156.97,0.0,-65828.09,13385666.33,7982927.43,5402738.9,5388797.74,5388797.74,2523351.46,1589293.18,5388797.74,2523351.46,4053662.77,259033.76,259033.76,1557121.26,-1037008.44,-531909.19,826818.52,-954433.83,399624.55,8579.18,-377523.51,-73995.43,602687.43
12/31/2021,11443355.0,7942528.48,3500826.52,2285953.67,1214872.85,-141527.59,1033717.53,264939.65,768777.88,768777.88,2.99,2.96,257000.0,260000.0,1214872.85,20141.635000000002,10228482.14,768777.88,794880.96,3396.66,144924.25,-141527.59,1178641.79,1804759.86,7942528.48,626118.07,768777.88,-35098.84,-35098.84,1839858.7,0.0,-8995.76,13254908.18,8282194.7,4972713.48,4957994.61,4957994.61,1876089.76,1423201.47,4957994.61,1876089.76,4250356.65,259033.76,259033.76,1116369.65,-1137881.84,-15851.09,952197.64,-696315.75,399624.55,1131088.52,-677068.0,-24908.86,420053.89
12/31/2020,10491488.73,6956607.3,3534881.43,2400865.89,1134015.55,-168503.39,920003.94,247220.31,670323.72,670323.72,2.8,2.78,239000.0,241000.0,1095887.04,20141.635000000002,9357473.19,670323.72,699105.91,3689.86,172193.25,-168503.39,1092197.19,1777280.33,6956607.3,685083.14,670323.72,-39358.46,-39358.46,1816638.79,0.0,-10576.27,12656203.88,8003296.27,4652907.61,4636918.23,4636918.23,1498081.28,1264390.44,4636918.23,1498081.28,4029322.05,257979.7,257979.7,1533749.88,-612515.99,-78716.91,1077437.76,-632195.22,797008.76,966112.61,-404654.14,-19679.23,901554.66
12/31/2019,12119550.662,8222188.466,3808497.3699999996,2506441.0039999997,1446590.5799999998,-153832.762,1134542.5900000003,307950.206,825443.7639999999,825443.7639999999,2.2300000000000004,2.2039999999999997,306264.736,308264.736,1272205.2540000002,21283.27,10672960.081999999,825443.7639999999,942318.792,12475.025000000001,170829.3725,-153832.762,1310558.3280000002,1848306.446,8222188.466,672185.1475,825443.7639999999,-144371.50799999997,-130001.38199999998,1978307.8280000002,0.0,-41866.602,13313942.012500001,8016477.285,5297464.7275,5282433.475000001,5282433.475000001,2273032.0374999996,1452518.6799999997,5282433.475000001,2273032.0374999996,4118266.0025000004,259100.39,259100.39,1512204.806,-924916.174,-368478.04,1439754.98,-821031.1279999999,2240.34,1758670.13,-377523.51,-35411.418,675800.444
