Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Rent Expense Supplemental,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"6,608,000.00","1,862,000.00","4,746,000.00","2,488,000.00","2,258,000.00","-880,000.00","-162,000.00","1,216,000.00","26,000.00","1,190,000.00","1,190,000.00",2.73,2.73,"434,500.00","434,500.00","2,097,000.00","1,687,000.00","4,350,000.00","1,190,000.00","1,347,557.57","16,000.00","865,000.00","-880,000.00","2,081,000.00","3,828,000.00","1,862,000.00","1,747,000.00","1,190,000.00","-161,000.00","-161,000.00","3,989,000.00",0.00,"-3,442.43",,,,,,,,,,,,,,,,"2,768,000.00","-1,363,000.00","-1,562,000.00","331,000.00","17,000.00","874,000.00","-1,353,000.00","2,996,000.00","-4,246,000.00","-31,000.00","1,415,000.00"
12/31/2023,"6,981,000.00","1,980,000.00","5,001,000.00","2,513,000.00","2,488,000.00","-835,000.00","-125,000.00","1,528,000.00","26,000.00","1,502,000.00","1,502,000.00",3.46,3.46,"434,000.00","434,000.00","2,369,000.00","1,664,000.00","4,493,000.00","1,502,000.00","1,618,975.13","15,000.00","821,000.00","-835,000.00","2,349,000.00","4,103,000.00","1,980,000.00","1,754,000.00","1,502,000.00","-119,000.00","-119,000.00","4,222,000.00",0.00,"-2,024.87","38,527,000.00","32,146,000.00","6,381,000.00","28,467,000.00","6,381,000.00","5,893,000.00","-6,883,000.00","-1,553,000.00","29,302,000.00","-6,883,000.00","28,814,000.00","22,816,000.00","433,688.86","433,688.86",--,"3,126,000.00","-1,519,000.00","-1,654,000.00","281,000.00","18,000.00","800,000.00","-1,424,000.00","7,456,000.00","-6,318,000.00","-30,000.00","1,702,000.00"
12/31/2022,"6,986,000.00","2,068,000.00","4,918,000.00","2,485,000.00","2,433,000.00","-696,000.00","-46,000.00","1,691,000.00","16,000.00","1,675,000.00","1,675,000.00",3.87,3.86,"433,000.00","434,000.00","2,425,000.00","1,602,000.00","4,553,000.00","1,675,000.00","1,710,659.37","3,000.00","673,000.00","-696,000.00","2,364,000.00","4,071,000.00","2,068,000.00","1,707,000.00","1,675,000.00","-36,000.00","-36,000.00","4,107,000.00",0.00,-340.63,"38,921,000.00","31,472,000.00","7,449,000.00","28,359,000.00","7,449,000.00","6,231,000.00","-6,232,000.00","-1,514,000.00","29,178,000.00","-6,232,000.00","27,960,000.00","21,573,000.00","433,000.00","433,000.00",--,"2,878,000.00","-1,352,000.00","-1,665,000.00","327,000.00","10,000.00","684,000.00","-1,310,000.00","5,219,000.00","-4,203,000.00","-65,000.00","1,568,000.00"
12/31/2021,"6,340,000.00","1,993,000.00","4,347,000.00","2,469,000.00","1,878,000.00","-656,000.00","-43,000.00","1,179,000.00","21,000.00","1,096,000.00","1,096,000.00",2.54,2.53,"432,000.00","434,000.00","2,001,000.00","1,554,000.00","4,462,000.00","1,096,000.00","1,179,608.14","1,000.00","632,000.00","-656,000.00","1,811,000.00","3,455,000.00","1,993,000.00","1,644,000.00","1,158,000.00","-22,000.00","-22,000.00","3,477,000.00",0.00,-391.86,"39,040,000.00","30,782,000.00","8,258,000.00","28,815,000.00","8,258,000.00","6,380,000.00","-5,866,000.00","-772,000.00","28,887,000.00","-5,866,000.00","27,009,000.00","20,337,000.00","432,000.00","432,000.00",--,"2,727,000.00","-1,332,000.00","-1,310,000.00","466,000.00","20,000.00","661,000.00","-1,229,000.00","5,230,000.00","-4,055,000.00","-70,000.00","1,498,000.00"
12/31/2020,"5,840,000.00","1,969,000.00","3,871,000.00","2,019,000.00","1,852,000.00","-687,000.00","-89,000.00","1,076,000.00","20,000.00","999,000.00","999,000.00",2.36,2.35,"423,000.00","425,000.00","1,863,000.00","1,521,000.00","3,988,000.00","1,056,000.00","1,138,438.66","2,000.00","666,000.00","-687,000.00","1,742,000.00","3,350,000.00","1,969,000.00","1,608,000.00","1,056,000.00","-84,000.00","-84,000.00","3,434,000.00",0.00,"-1,561.34","38,768,000.00","29,307,000.00","9,461,000.00","28,612,000.00","9,461,000.00","6,137,000.00","-5,050,000.00","-865,000.00","28,741,000.00","-5,050,000.00","25,417,000.00","19,048,000.00","431,000.00","431,000.00","2,000.00","3,055,000.00","-1,741,000.00","-1,271,000.00","381,000.00",--,--,"-1,624,000.00","6,293,000.00","-5,260,000.00","-76,000.00","1,431,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,000.00",--,--,--,--,--,--,--,--,--,--,--
