Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,4021807.0,2565356.0,1456451.0,1030143.0,426308.0,-96395.0,-5843.0,324070.0,81095.0,238959.0,238959.0,3.93,3.88,60369.46,61123.38,425848.0,3595499.0,238959.0,240776.42,96395.0,-96395.0,420465.0,590651.0,2496689.0,170186.0,238959.0,-2424.0,-2424.0,593075.0,0.0,-606.58,4593994.25,2482021.0,2111973.25,3151806.0,2050425.0,254274.75,-1610.25,1006997.75,3226262.5,-1610.25,1430112.25,891791.5,72576.66750000001,62031.065,10545.6025,646644.0,-176645.0,-443142.0,219625.0,117391.0,47386.5,-129932.0,72729.0,-197789.0,-302122.0,516712.0
12/31/2023,4022667.0,2657236.0,1365431.0,978772.0,386659.0,-97627.0,1268.0,290300.0,73180.0,203089.0,203089.0,3.31,3.27,61265.06,62058.39,386199.0,3636008.0,203089.0,200237.62,97627.0,-97627.0,387927.0,554529.0,2594828.0,166602.0,203089.0,3812.0,3812.0,550717.0,0.0,960.62,5093312.0,2743693.0,2349619.0,3720282.0,2340252.0,229657.0,61792.0,1116921.0,3844161.0,61792.0,1733566.0,1302915.0,73195.06,60137.76,13057.3,521670.0,-178063.0,-277137.0,200994.0,100082.0,84027.0,-129060.0,413084.0,-325803.0,-251513.0,392610.0
12/31/2022,4564737.0,3042733.0,1522004.0,954215.0,567789.0,-54826.0,-4497.0,508466.0,99596.0,350267.0,350267.0,5.55,5.42,63117.01,64681.36,566330.0,3996948.0,350267.0,353541.69,54826.0,-54826.0,563292.0,719433.0,2989912.0,156141.0,350267.0,-4073.0,-4073.0,723506.0,0.0,-798.31,5169462.0,2799736.0,2369726.0,3599046.0,2257381.0,199260.0,-74213.0,1190304.0,3658119.0,-74213.0,1599998.0,1268015.0,72701.26,61416.91,11284.35,58516.0,-134232.0,64043.0,132723.0,150893.0,48912.0,-86188.0,1274493.0,-810324.0,-345840.0,-27672.0
12/31/2021,3737184.0,2377102.0,1360082.0,617481.0,742601.0,-32953.0,-18122.0,691526.0,134957.0,533392.0,533392.0,8.51,8.3,62686.0,64253.41,721136.0,2994583.0,533392.0,550201.21,32953.0,-32953.0,724479.0,816520.0,2334947.0,92041.0,533392.0,-20881.0,-20881.0,837401.0,0.0,-4071.8,4877780.0,2605643.0,2272137.0,3080899.0,2213774.0,380856.0,-237062.0,692557.0,3154655.0,-237062.0,1321737.0,793542.0,72386.02,63718.99,8667.03,411156.0,-817287.0,-102970.0,147339.0,156728.0,27842.0,-109992.0,422906.0,-347669.0,-125992.0,301164.0
12/31/2020,2485200.0,1527546.0,957654.0,477137.0,480517.0,-32991.0,-1335.0,446191.0,98973.0,349329.0,349329.0,5.61,5.48,62280.89,63737.73,479106.0,2004683.0,349329.0,348729.16,32991.0,-32991.0,479182.0,547955.0,1491053.0,68773.0,349329.0,771.0,771.0,547184.0,0.0,171.16,3235423.0,1779012.0,1456411.0,2206997.0,1390293.0,207326.0,243042.0,1028209.0,2248115.0,243042.0,1065148.0,202694.0,72024.33,62850.6,9173.73,486533.0,-124095.0,-30428.0,655128.0,61861.0,28765.0,-62128.0,257870.0,-282477.0,-256366.75,424405.0
12/31/2019,3766319.0,2433994.6,1332324.4,811549.6,520774.8,-62958.4,-5705.8,452110.6,97560.2,335007.2,335007.2,5.382,5.2700000000000005,61943.683999999994,63170.85400000001,515723.8,3245544.2,335007.2,338697.22,62958.4,-62958.4,515069.0,645817.6,2381485.8,130748.6,335007.2,-4559.0,-4559.0,650376.6,0.0,-868.982,4593994.25,2482021.0,2111973.25,3151806.0,2050425.0,254274.75,-1610.25,1006997.75,3226262.5,-1610.25,1430112.25,891791.5,72576.66750000001,62031.065,10545.6025,424903.8,-286064.4,-157926.8,271161.8,117391.0,47386.5,-103460.0,488216.4,-392812.4,-256366.75,321443.8
