Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Interest Income,Interest Expense,Net Interest Income,Net Income from Continuing & Discontinued Operation,Normalized Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"7,187,000.00","3,571,000.00","3,616,000.00","1,686,000.00","1,930,000.00","-587,000.00","23,000.00","1,366,000.00","191,000.00","1,170,000.00","1,170,000.00",4.43,4.43,"264,850.00","265,200.00","1,610,000.00","5,257,000.00","37,000.00","624,000.00","-587,000.00","1,170,000.00","1,121,830.16","1,990,000.00","3,549,000.00","3,481,000.00","1,559,000.00","1,170,000.00","56,000.00","56,000.00","3,493,000.00",0.00,"7,830.16",,,,,,,,,,,,,,"2,502,000.00","-3,841,000.00","1,394,000.00","301,000.00",--,--,"-3,828,000.00","351,000.00","2,768,000.00","-350,000.00",--,"-1,326,000.00"
12/31/2023,"7,500,000.00","4,033,000.00","3,467,000.00","1,614,000.00","1,853,000.00","-533,000.00","20,000.00","1,340,000.00","183,000.00","1,152,000.00","1,152,000.00",4.39,4.38,"262,800.00","263,400.00","1,558,000.00","5,647,000.00","33,000.00","566,000.00","-533,000.00","1,152,000.00","1,105,374.63","1,906,000.00","3,406,000.00","3,920,000.00","1,500,000.00","1,152,000.00","54,000.00","54,000.00","3,352,000.00",0.00,"7,374.63","40,830,000.00","29,352,000.00","11,478,000.00","26,470,000.00","11,349,000.00","10,938,000.00","-1,164,000.00","27,855,000.00","10,938,000.00","16,506,000.00","16,481,000.00","266,300.00","266,300.00","2,564,000.00","-3,798,000.00","1,290,000.00","272,000.00",--,"546,000.00","-3,771,000.00","346,000.00","2,295,000.00","-100,000.00",--,"-1,207,000.00"
12/31/2022,"7,957,000.00","4,614,000.00","3,343,000.00","1,644,000.00","1,699,000.00","-451,000.00","7,000.00","1,255,000.00","176,000.00","1,074,000.00","1,074,000.00",4.16,4.14,"258,400.00","259,500.00","1,515,000.00","6,258,000.00","35,000.00","486,000.00","-451,000.00","1,074,000.00","1,037,030.28","1,741,000.00","3,179,000.00","4,465,000.00","1,438,000.00","1,074,000.00","43,000.00","43,000.00","3,136,000.00",0.00,"6,030.28","37,904,000.00","27,267,000.00","10,637,000.00","24,193,000.00","10,508,000.00","10,097,000.00","-698,000.00","25,603,000.00","10,097,000.00","15,095,000.00","15,085,000.00","262,000.00","262,000.00","2,263,000.00","-3,370,000.00","1,168,000.00","216,000.00",--,"476,000.00","-3,380,000.00","333,000.00","1,467,000.00","-505,000.00",--,"-1,117,000.00"
12/31/2021,"6,394,000.00","3,403,000.00","2,991,000.00","1,522,000.00","1,469,000.00","-356,000.00","39,000.00","1,152,000.00","157,000.00","990,000.00","990,000.00",3.86,3.84,"256,300.00","257,600.00","1,333,000.00","4,925,000.00","27,000.00","383,000.00","-356,000.00","990,000.00","953,020.00","1,535,000.00","2,812,000.00","3,272,000.00","1,277,000.00","990,000.00","43,000.00","43,000.00","2,769,000.00",0.00,"6,020.00","35,735,000.00","25,906,000.00","9,829,000.00","22,262,000.00","9,700,000.00","9,289,000.00","-858,000.00","23,312,000.00","9,289,000.00","13,612,000.00","13,604,000.00","257,700.00","257,700.00","1,661,000.00","-3,528,000.00","1,721,000.00","155,000.00",--,"426,000.00","-3,523,000.00","308,000.00","1,997,000.00","-8,000.00","-13,000.00","-1,862,000.00"
12/31/2020,"5,794,000.00","2,936,000.00","2,858,000.00","1,558,000.00","1,300,000.00","-419,000.00","151,000.00","1,032,000.00","155,000.00","871,000.00","871,000.00",3.53,3.50,"247,000.00","248,700.00","1,300,000.00","4,494,000.00",--,"419,000.00","-419,000.00","871,000.00","871,000.00","1,451,000.00","2,604,000.00","2,858,000.00","1,153,000.00","871,000.00",--,--,"2,604,000.00",0.00,--,"32,030,000.00","22,950,000.00","9,080,000.00","20,016,000.00","8,938,000.00","8,527,000.00","-527,000.00","20,514,000.00","8,527,000.00","11,576,000.00","11,437,000.00","253,300.00","253,300.00","1,727,000.00","-3,329,000.00","1,727,000.00","301,000.00","13,000.00","383,000.00","-3,299,000.00","476,000.00","2,183,000.00","-442,000.00",--,"-1,572,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"33,000.00",--,--,--,--,--,--,--,--,--,"28,000.00","28,000.00",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"13,000.00",--,--,--,--,--,--,--
