Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Interest Expense,Net Interest Income,Net Income from Continuing & Discontinued Operation,Normalized Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,15359000.0,7125000.0,8234000.0,4013000.0,4221000.0,-1845000.0,900000.0,3276000.0,728000.0,2433000.0,2433000.0,1.09,1.09,2222500.0,2222500.0,4300000.0,11138000.0,1801000.0,-1845000.0,2447000.0,2385555.56,4221000.0,6520000.0,7125000.0,2299000.0,2447000.0,79000.0,79000.0,6441000.0,0.0,17555.56,70871750.0,38789250.0,32082500.0,60535750.0,30826750.0,8889750.0,-2917250.0,63695250.0,8889750.0,32868500.0,32080500.0,2249765.0349999997,2249765.0349999997,32000.0,6484000.0,-4261000.0,-2619000.0,124000.0,13000.0,1839000.0,-2503000.0,10414000.0,-10084000.0,-212000.0,3981000.0
12/31/2023,15334000.0,7188000.0,8146000.0,3898000.0,4248000.0,-1797000.0,750000.0,3201000.0,715000.0,2377000.0,2377000.0,1.06,1.06,2234000.0,2234000.0,4263000.0,11086000.0,1801000.0,-1797000.0,2391000.0,2379345.0,4248000.0,6498000.0,7188000.0,2250000.0,2391000.0,15000.0,15000.0,6483000.0,0.0,3345.0,71020000.0,39291000.0,31729000.0,58263000.0,30306000.0,8228000.0,-4679000.0,62312000.0,8228000.0,32006000.0,31923000.0,2219729.64,2219729.64,32000.0,6491000.0,-4175000.0,-3014000.0,96000.0,11000.0,1844000.0,-2345000.0,7590000.0,-7356000.0,-522000.0,4146000.0
12/31/2022,19200000.0,11441000.0,7759000.0,3726000.0,4033000.0,-1513000.0,815000.0,3335000.0,710000.0,2535000.0,2535000.0,1.12,1.12,2258000.0,2258000.0,4065000.0,15167000.0,1801000.0,-1513000.0,2548000.0,2522784.0,4033000.0,6219000.0,11441000.0,2186000.0,2548000.0,32000.0,32000.0,6187000.0,0.0,6784.0,70078000.0,37964000.0,32114000.0,59036000.0,30742000.0,8968000.0,-3127000.0,62421000.0,8968000.0,31679000.0,30934000.0,2247681.63,2247681.63,32000.0,4967000.0,-2175000.0,-3145000.0,794000.0,13000.0,1460000.0,-1621000.0,9058000.0,-9735000.0,-368000.0,3346000.0
12/31/2021,16610000.0,8628000.0,7982000.0,3442000.0,4540000.0,-1492000.0,-829000.0,2219000.0,369000.0,1770000.0,1770000.0,0.78,0.78,2266000.0,2266000.0,2916000.0,12070000.0,1801000.0,-1492000.0,1784000.0,3137943.22,4540000.0,6675000.0,8628000.0,2135000.0,1784000.0,-1624000.0,-1624000.0,8299000.0,0.0,-270056.78,70416000.0,38495000.0,31921000.0,61387000.0,30823000.0,9231000.0,-1992000.0,64033000.0,9231000.0,33210000.0,32070000.0,2267391.53,2267391.53,32000.0,5708000.0,-2305000.0,-3465000.0,1147000.0,10000.0,1529000.0,-1281000.0,5959000.0,-6831000.0,-288000.0,4427000.0
12/31/2020,11700000.0,4709000.0,6991000.0,3499000.0,3492000.0,-1595000.0,-1236000.0,661000.0,481000.0,106000.0,106000.0,0.05,0.05,2263000.0,2263000.0,1560000.0,8208000.0,1801000.0,-1595000.0,119000.0,1529360.0,3492000.0,5656000.0,4709000.0,2164000.0,119000.0,-1932000.0,-1932000.0,7588000.0,0.0,-521640.0,71973000.0,39407000.0,32566000.0,63457000.0,31436000.0,9132000.0,-1871000.0,66015000.0,9132000.0,34579000.0,33395000.0,2264257.34,2264257.34,32000.0,4550000.0,-911000.0,-2638000.0,1209000.0,227000.0,1661000.0,-1707000.0,3888000.0,-3996000.0,-50000.0,2843000.0
12/31/2019,15640600.0,7818200.0,7822400.0,3715600.0,4106800.0,-1648400.0,80000.0,2538400.0,600600.0,1844200.0,1844200.0,0.8200000000000001,0.8200000000000001,2248700.0,2248700.0,3420800.0,11533800.0,1801000.0,-1648400.0,1857800.0,2390997.5560000003,4106800.0,6313600.0,7818200.0,2206800.0,1857800.0,-686000.0,-686000.0,6999600.0,0.0,-152802.444,70871750.0,38789250.0,32082500.0,60535750.0,30826750.0,8889750.0,-2917250.0,63695250.0,8889750.0,32868500.0,32080500.0,2249765.0349999997,2249765.0349999997,32000.0,5640000.0,-2765400.0,-2976200.0,674000.0,54800.0,1666600.0,-1891400.0,7381800.0,-7600400.0,-288000.0,3748600.0
