Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,55821000.0,51982000.0,3839000.0,1830000.0,2009000.0,-362000.0,207000.0,1854000.0,480000.0,1303000.0,1303000.0,8.93,8.8,144911.91,146817.52,53812000.0,1303000.0,1360805.83,144000.0,506000.0,-362000.0,2360000.0,2829000.0,51982000.0,469000.0,1303000.0,-78000.0,-78000.0,2907000.0,0.0,-20194.17,24356500.0,15206250.0,9150250.0,12597750.0,517750.0,8108000.0,879500.0,7516500.0,7038250.0,13804250.0,7171250.0,6575750.0,4456250.0,161941.03499999997,145165.8775,6899.68,16775.155,2356000.0,-1173000.0,-1336000.0,1207000.0,-1114000.0,1710000.0,-1567000.0,-1000000.0,1242000.0
12/31/2023,59540000.0,54695000.0,4845000.0,1715000.0,3130000.0,-368000.0,289000.0,3051000.0,714000.0,2243000.0,2243000.0,15.07,14.87,148804.39,150787.92,56410000.0,2243000.0,2227680.43,148000.0,516000.0,-368000.0,3567000.0,4018000.0,54695000.0,451000.0,2243000.0,20000.0,20000.0,3998000.0,0.0,4680.43,25372000.0,13557000.0,11815000.0,14931000.0,1000.0,10850000.0,874000.0,9964000.0,8663000.0,15732000.0,9963000.0,5756000.0,2280000.0,166017.74,149907.93,6899.68,16109.8,3308000.0,-1009000.0,-856000.0,2623000.0,-1122000.0,2363000.0,-2163000.0,-600000.0,2186000.0
12/31/2022,67232000.0,63550000.0,3682000.0,1369000.0,2313000.0,-332000.0,85000.0,2066000.0,388000.0,1610000.0,1610000.0,10.74,10.51,149907.93,153000.0,64919000.0,1610000.0,1618934.17,71000.0,403000.0,-332000.0,2469000.0,2877000.0,63550000.0,408000.0,1610000.0,-11000.0,-11000.0,2888000.0,0.0,-2065.83,24580000.0,14620000.0,9960000.0,12483000.0,517750.0,9224000.0,972000.0,8394000.0,7158000.0,13875000.0,8394000.0,5623000.0,3547000.0,168743.74,149907.93,6899.68,18835.81,-5549000.0,6499000.0,-769000.0,1152000.0,-555000.0,2177000.0,-2885000.0,-200000.0,-6104000.0
12/31/2021,59152000.0,55789000.0,3363000.0,1234000.0,2129000.0,-195000.0,631000.0,2565000.0,398000.0,2044000.0,2044000.0,14.49,13.64,141057.41,152000.0,57023000.0,2078000.0,2110103.7,48000.0,243000.0,-195000.0,2808000.0,3232000.0,55789000.0,424000.0,2078000.0,-38000.0,-38000.0,3270000.0,0.0,-5896.3,23819000.0,15613000.0,8206000.0,12456000.0,690000.0,6979000.0,856000.0,6754000.0,7136000.0,12943000.0,6064000.0,6820000.0,5062000.0,157784.11,141057.41,6899.68,16726.7,-2894000.0,5113000.0,-1632000.0,905000.0,-399000.0,3530000.0,-4627000.0,-100000.0,-3293000.0
12/31/2020,41404000.0,38619000.0,2785000.0,1358000.0,1427000.0,-243000.0,229000.0,1413000.0,248000.0,1121000.0,1121000.0,8.02,7.71,139790.24,150000.0,39977000.0,1145000.0,1021326.96,22000.0,265000.0,-243000.0,1678000.0,2113000.0,38619000.0,435000.0,1145000.0,150000.0,150000.0,1963000.0,0.0,26326.96,23655000.0,17035000.0,6620000.0,10521000.0,690000.0,5379000.0,816000.0,4954000.0,5196000.0,12667000.0,4264000.0,8104000.0,6936000.0,155218.55,139790.24,6899.68,15428.31,-3536000.0,1813000.0,1763000.0,381000.0,-365000.0,36177000.0,-33975000.0,-100000.0,-3901000.0
12/31/2019,56629800.0,52927000.0,3702800.0,1501200.0,2201600.0,-300000.0,288200.0,2189800.0,445600.0,1664200.0,1664200.0,11.45,11.106,144894.376,150521.088,54428200.0,1675800.0,1667770.2179999999,86600.0,386600.0,-300000.0,2576400.0,3013800.0,52927000.0,437400.0,1675800.0,8600.0,8600.0,3005200.0,0.0,570.2180000000001,24356500.0,15206250.0,9150250.0,12597750.0,690000.0,8108000.0,879500.0,7516500.0,7038250.0,13804250.0,7171250.0,6575750.0,4456250.0,161941.03499999997,145165.8775,6899.68,16775.155,-1263000.0,2248600.0,-566000.0,1253600.0,-711000.0,9191400.0,-9043400.0,-400000.0,-1974000.0
