Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"328,284,000.00","140,023,000.00","188,261,000.00","90,324,000.00","97,937,000.00","3,981,000.00","-443,000.00","101,475,000.00","13,818,000.00","87,657,000.00","87,657,000.00",7.03,6.97,"12,457,000.00","12,580,500.00","97,937,000.00","230,347,000.00","87,657,000.00","88,358,428.77","4,327,000.00","346,000.00","3,981,000.00","101,821,000.00","115,429,000.00","140,023,000.00","13,608,000.00","87,657,000.00","-812,000.00","-812,000.00","116,241,000.00",0.00,"-110,571.23",,,,,,,,,,,,,,"105,059,000.00","-24,662,000.00","-78,293,000.00","28,033,000.00",--,"-44,272,000.00","7,615,000.00","-8,845,000.00","-63,358,000.00","60,787,000.00"
12/31/2023,"307,394,000.00","133,332,000.00","174,062,000.00","89,769,000.00","84,293,000.00","3,557,000.00","-2,133,000.00","85,717,000.00","11,922,000.00","73,795,000.00","73,795,000.00",5.84,5.80,"12,630,000.00","12,722,000.00","84,293,000.00","223,101,000.00","73,795,000.00","75,569,521.00","3,865,000.00","308,000.00","3,557,000.00","86,025,000.00","97,971,000.00","133,332,000.00","11,946,000.00","73,795,000.00","-2,061,000.00","-2,061,000.00","100,032,000.00",0.00,"-286,479.00","402,392,000.00","119,013,000.00","283,379,000.00","295,249,000.00","283,379,000.00","16,634,000.00","254,181,000.00","89,716,000.00","295,249,000.00","254,181,000.00","28,504,000.00","12,460,000.00","12,460,000.00","101,746,000.00","-27,063,000.00","-72,093,000.00","24,048,000.00","19,164,000.00","-32,251,000.00","10,790,000.00","-11,550,000.00","-61,504,000.00","69,495,000.00"
12/31/2022,"282,836,000.00","126,203,000.00","156,633,000.00","81,791,000.00","74,842,000.00","1,817,000.00","-5,331,000.00","71,328,000.00","11,356,000.00","59,972,000.00","59,972,000.00",4.59,4.56,"13,063,000.00","13,159,000.00","74,842,000.00","207,994,000.00","59,972,000.00","65,163,493.00","2,174,000.00","357,000.00","1,817,000.00","71,685,000.00","85,160,000.00","126,203,000.00","13,475,000.00","59,972,000.00","-6,173,000.00","-6,173,000.00","91,333,000.00",0.00,"-981,507.00","365,264,000.00","109,120,000.00","256,144,000.00","269,001,000.00","256,144,000.00","16,822,000.00","227,184,000.00","95,495,000.00","269,001,000.00","227,184,000.00","29,679,000.00","12,849,000.00","12,849,000.00","91,495,000.00","-20,298,000.00","-69,757,000.00","21,879,000.00","18,892,000.00","-31,485,000.00","52,872,000.00","-54,068,000.00","-59,296,000.00","60,010,000.00"
12/31/2021,"257,637,000.00","110,939,000.00","146,698,000.00","67,984,000.00","78,714,000.00","1,153,000.00","10,867,000.00","90,734,000.00","14,701,000.00","76,033,000.00","76,033,000.00",5.69,5.61,"13,352,993.99","13,553,473.90","78,714,000.00","178,923,000.00","76,033,000.00","65,951,860.00","1,499,000.00","346,000.00","1,153,000.00","91,080,000.00","103,521,000.00","110,939,000.00","12,441,000.00","76,033,000.00","12,030,000.00","12,030,000.00","91,491,000.00",0.00,"1,948,860.00","359,268,000.00","107,633,000.00","251,635,000.00","264,479,000.00","251,635,000.00","15,551,000.00","227,262,000.00","123,889,000.00","264,479,000.00","227,262,000.00","28,395,000.00","13,242,420.00","13,242,420.00","91,652,000.00","-35,523,000.00","-61,362,000.00","20,945,000.00","13,412,000.00","-24,640,000.00","20,199,000.00","-21,435,000.00","-50,274,000.00","67,012,000.00"
12/31/2020,"182,527,000.00","84,732,000.00","97,795,000.00","56,571,000.00","41,224,000.00","1,730,000.00","5,128,000.00","48,082,000.00","7,813,000.00","40,269,000.00","40,269,000.00",2.96,2.93,"13,616,313.87","13,740,553.82","41,224,000.00","141,303,000.00","40,269,000.00","35,266,572.13","1,865,000.00","135,000.00","1,730,000.00","48,217,000.00","61,914,000.00","84,732,000.00","13,697,000.00","40,269,000.00","5,973,000.00","5,973,000.00","55,941,000.00",0.00,"970,572.13","319,616,000.00","97,072,000.00","222,544,000.00","235,376,000.00","222,544,000.00","13,940,000.00","199,924,000.00","117,462,000.00","235,376,000.00","199,924,000.00","26,772,000.00","13,504,440.00","13,504,440.00","65,124,000.00","-32,773,000.00","-24,408,000.00","26,465,000.00","4,990,000.00","-22,281,000.00","11,761,000.00","-2,100,000.00","-31,149,000.00","42,843,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
