Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Rent Expense Supplemental,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"150,143,000.00","116,719,000.00","33,424,000.00","30,479,000.00","2,945,000.00","-411,000.00","245,000.00","2,779,000.00","616,000.00","2,131,000.00","2,131,000.00",2.97,2.93,"719,000.00","725,750.00","2,920,000.00","895,000.00","147,198,000.00","2,149,000.00","1,958,307.30","411,000.00","-411,000.00","3,190,000.00","6,960,000.00","116,095,000.00","3,770,000.00","2,149,000.00","245,000.00","245,000.00","6,715,000.00",0.00,"54,307.30",,,,,,,,,,,,,,,,"6,253,000.00","-3,817,000.00","-2,222,000.00","2,846,000.00","778,000.00","394,000.00","-4,180,000.00","112,000.00",--,"-1,293,000.00","-136,000.00","2,073,000.00"
1/31/2024,"150,039,000.00","116,675,000.00","33,364,000.00","30,238,000.00","3,126,000.00","-441,000.00","151,000.00","2,836,000.00","667,000.00","2,146,000.00","2,146,000.00",2.99,2.96,"718,000.00","725,000.00","3,096,000.00","891,000.00","146,913,000.00","2,164,000.00","2,048,485.00","441,000.00","-441,000.00","3,277,000.00","7,027,000.00","116,050,000.00","3,750,000.00","2,164,000.00","151,000.00","151,000.00","6,876,000.00",0.00,"35,485.00","50,505,000.00","38,904,000.00","11,601,000.00","21,777,000.00","11,615,000.00","9,060,000.00","7,800,000.00","-3,110,000.00","21,802,000.00","7,800,000.00","19,247,000.00","8,304,000.00","1,918,000.00","720,000.00","1,198,000.00","6,788,000.00","-3,750,000.00","-2,170,000.00","1,883,000.00","751,000.00","488,000.00","-3,904,000.00","50,000.00","15,000.00","-1,301,000.00","-62,000.00","2,884,000.00"
1/31/2023,"148,258,000.00","116,480,000.00","31,778,000.00","27,613,000.00","4,165,000.00","-535,000.00","-728,000.00","2,902,000.00","653,000.00","2,224,000.00","2,224,000.00",3.10,3.06,"718,000.00","727,000.00","4,126,000.00","839,000.00","144,093,000.00","2,244,000.00","2,808,200.00","535,000.00","-535,000.00","3,437,000.00","7,016,000.00","115,866,000.00","3,579,000.00","2,244,000.00","-728,000.00","-728,000.00","7,744,000.00",0.00,"-163,800.00","49,623,000.00","39,609,000.00","10,014,000.00","20,181,000.00","10,042,000.00","9,120,000.00","6,227,000.00","-4,568,000.00","21,334,000.00","6,227,000.00","20,412,000.00","10,277,000.00","1,918,000.00","716,000.00","1,202,000.00","4,498,000.00","-3,015,000.00","-2,289,000.00","1,015,000.00","698,000.00","545,000.00","-3,078,000.00","134,000.00",--,"-552,000.00","-993,000.00","1,420,000.00"
1/31/2022,"137,888,000.00","107,539,000.00","30,349,000.00","26,906,000.00","3,443,000.00","-571,000.00","-821,000.00","2,051,000.00","385,000.00","1,639,000.00","1,639,000.00",2.20,2.17,"744,000.00","754,000.00","3,477,000.00","845,000.00","134,445,000.00","1,655,000.00","2,321,652.00","571,000.00","-571,000.00","2,622,000.00","6,051,000.00","106,934,000.00","3,429,000.00","1,655,000.00","-821,000.00","-821,000.00","6,872,000.00",0.00,"-154,348.00","49,086,000.00","39,657,000.00","9,429,000.00","20,746,000.00","9,452,000.00","8,695,000.00","5,434,000.00","-4,149,000.00","21,197,000.00","5,434,000.00","20,440,000.00","9,924,000.00","1,918,000.00","727,000.00","1,191,000.00","6,190,000.00","-2,611,000.00","-3,445,000.00","1,821,000.00","513,000.00","607,000.00","-2,614,000.00","172,000.00","56,000.00","-1,442,000.00","-1,647,000.00","3,576,000.00"
1/31/2021,"132,498,000.00","101,597,000.00","30,901,000.00","28,092,000.00","2,809,000.00","-544,000.00","1,105,000.00","3,370,000.00","782,000.00","2,585,000.00","2,585,000.00",3.31,3.27,"773,000.00","781,000.00","2,780,000.00","874,000.00","129,689,000.00","2,585,000.00","1,736,412.46","544,000.00","-544,000.00","3,914,000.00","7,287,000.00","100,971,000.00","3,373,000.00","2,585,000.00","1,105,000.00","1,105,000.00","6,182,000.00",0.00,"256,412.46","48,662,000.00","39,112,000.00","9,550,000.00","21,142,000.00","9,576,000.00","8,177,000.00","5,503,000.00","-2,863,000.00","21,986,000.00","5,503,000.00","20,587,000.00","10,723,000.00","1,918,000.00","758,000.00","1,160,000.00","6,815,000.00","-2,814,000.00","-2,713,000.00","1,687,000.00","659,000.00","564,000.00","-2,865,000.00","127,000.00","1,049,000.00","-747,000.00","-1,324,000.00","3,950,000.00"
1/31/2020,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
