Date,Total Revenue,Credit Losses Provision,Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Interest Income after Provision for Loan Loss,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,170343000.0,-9009000.0,87668000.0,-30000.0,-4879000.0,68787000.0,14761000.0,52217000.0,52217000.0,17.97,17.94,2910100.0,2914800.0,83596000.0,54026000.0,57858015.56,50195000.0,9362000.0,54026000.0,-4879000.0,-4879000.0,0.0,-1046984.44,3667365000.0,3368942250.0,298422750.0,616017750.0,29927250.0,268495500.0,239583000.0,632975750.0,209655750.0,364480250.0,68787000.0,4104933.9,2951125.0,364100.0,1153808.895,-10339000.0,-75526000.0,128193000.0,537451000.0,12052000.0,90390000.0,2500000.0,110163000.0,-79587000.0,-18825000.0,-10339000.0
12/31/2023,154952000.0,-9282000.0,81776000.0,-30000.0,-2282000.0,61612000.0,12060000.0,47760000.0,47760000.0,16.25,16.23,2938600.0,2943100.0,79985000.0,49552000.0,51386728.0,44859000.0,7512000.0,49552000.0,-2282000.0,-2282000.0,0.0,-447272.0,3875393000.0,3547515000.0,327878000.0,719703000.0,27404000.0,300474000.0,263497000.0,737011000.0,236093000.0,436537000.0,68787000.0,4104933.9,2876658.59,391850.0,1228275.3,12974000.0,67643000.0,-25571000.0,624151000.0,9908000.0,77114000.0,4783333.333333333,75417000.0,-64880000.0,-9824000.0,12974000.0
12/31/2022,128641000.0,-6335000.0,75874000.0,-30000.0,-266000.0,46166000.0,8490000.0,35892000.0,35892000.0,12.1,12.09,2965800.0,2970000.0,60375000.0,37676000.0,37893056.0,15908000.0,7051000.0,37676000.0,-266000.0,-266000.0,0.0,-48944.0,3665743000.0,3373411000.0,292332000.0,588197000.0,27404000.0,264928000.0,231473000.0,604820000.0,204069000.0,339892000.0,68787000.0,4104933.9,2934257.8,391850.0,1170676.09,107119000.0,-137819000.0,-126257000.0,567234000.0,4355000.0,23143000.0,4783333.333333333,78442000.0,-45556000.0,-10596000.0,107119000.0
12/31/2021,121685000.0,9220000.0,70917000.0,-21000.0,-426000.0,59562000.0,11228000.0,46503000.0,46503000.0,15.39,15.36,3021500.0,3026600.0,61531000.0,48334000.0,48679486.0,1085000.0,7932000.0,48334000.0,-426000.0,-426000.0,0.0,-80514.0,3743567000.0,3449440000.0,294127000.0,595132000.0,34838000.0,259289000.0,237436000.0,613888000.0,202598000.0,354599000.0,68787000.0,4104933.9,2944149.15,391850.0,1160784.75,78084000.0,-129344000.0,275993000.0,740834000.0,18737000.0,5142000.0,7350000.0,82409000.0,-54932000.0,-20983000.0,78084000.0
12/31/2020,119883000.0,-17412000.0,66656000.0,181000.0,-1963250.0,35815000.0,6684000.0,27410000.0,27410000.0,8.89,8.88,3082400.0,3087400.0,37151000.0,29131000.0,29131000.0,2883000.0,8614000.0,29131000.0,-1963250.0,-1963250.0,0.0,-405928.61,3384757000.0,3105403000.0,279354000.0,561039000.0,30063000.0,249291000.0,225926000.0,576184000.0,195863000.0,326893000.0,68787000.0,4104933.9,3049434.46,280850.0,1055499.44,-79910000.0,-261912000.0,596645000.0,527609000.0,8140000.0,13077000.0,4500000.0,78686000.0,-105055000.0,-7947000.0,-79910000.0
12/31/2019,139100800.0,-6563600.0,76578200.0,-250000.0,-1963250.0,54388400.0,10644600.0,41956400.0,41956400.0,14.12,14.1,2983680.0,2988380.0,64527600.0,43743800.0,44989657.112,22986000.0,8094200.0,43743800.0,-1963250.0,-1963250.0,0.0,-405928.61,3667365000.0,3368942250.0,298422750.0,616017750.0,29927250.0,268495500.0,239583000.0,632975750.0,209655750.0,364480250.0,68787000.0,4104933.9,2951125.0,364100.0,1153808.895,21585600.0,-107391600.0,169800600.0,599455800.0,10638400.0,41773200.0,4783333.333333333,85023400.0,-70002000.0,-13635000.0,21585600.0
