Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"1,652,358.00","1,250,284.00","402,074.00","118,379.00","283,695.00","-169,219.00","35,471.00","149,947.00","1,244.00","132,992.00","132,992.00",0.41,0.41,"328,799.36","328,799.36","320,746.00","1,368,663.00","137,876.00","101,132.38","18,665.00","187,884.00","-169,219.00","337,831.00","1,033,455.00","571,744.00","695,624.00","137,876.00","37,051.00","37,051.00","996,404.00",0.00,307.38,,,,,,,,,,,,,,,,,"828,737.00","-307,779.00","-516,953.00","34,386.00","1,142.00","190,816.00","-289,693.00",--,--,"-65,678.00",--,"539,044.00"
12/31/2023,"1,627,501.00","1,234,978.00","392,523.00","105,570.00","286,953.00","-163,107.00","352,748.00","476,594.00","2,106.00","439,505.00","439,505.00",1.34,1.34,"328,765.00","329,104.00","635,008.00","1,340,548.00","444,353.00","97,836.00","17,759.00","180,866.00","-163,107.00","657,460.00","1,349,298.00","558,559.00","691,838.00","444,353.00","348,055.00","348,055.00","1,001,243.00",0.00,"1,538.00","11,373,242.00","6,420,801.00","4,952,441.00","9,377,185.00","44,615.00","3,946,529.00","185,836.00","3,991,144.00","-585,233.00","9,745,238.00","3,946,529.00","5,984,545.00","5,795,787.00","329,014.51","329,014.51",--,"832,664.00","-289,138.00","-538,854.00","34,866.00","1,911.00","184,201.00","-312,347.00",--,--,"-24,669.00","-25,560.00","520,317.00"
12/31/2022,"1,517,386.00","1,186,352.00","331,034.00","95,981.00","235,053.00","-162,833.00","20,708.00","92,928.00",349.00,"82,512.00","82,512.00",0.26,0.26,"321,671.00","322,700.00","250,814.00","1,282,333.00","86,924.00","71,222.19",--,"162,833.00","-162,833.00","255,761.00","935,333.00","521,124.00","679,572.00","86,924.00","15,761.00","15,761.00","919,572.00",0.00,59.19,"11,038,470.00","6,100,325.00","4,938,145.00","9,257,373.00","44,615.00","4,053,470.00","189,238.00","4,098,085.00","-666,898.00","9,540,773.00","4,053,470.00","5,676,541.00","5,486,110.00","328,993.09","328,993.09",--,"820,071.00","-929,528.00","111,233.00","30,194.00","1,145.00","154,911.00","-236,013.00","629,552.00",--,"-2,672.00","-49,028.00","584,058.00"
12/31/2021,"1,290,767.00","1,062,728.00","228,039.00","92,375.00","135,664.00","-171,182.00","197,950.00","162,432.00","1,439.00","145,787.00","145,787.00",0.49,0.48,"300,326.00","301,703.00","267,968.00","1,155,103.00","150,016.00","18,884.09","15,085.00","186,267.00","-171,182.00","348,699.00","968,532.00","456,080.00","619,833.00","150,016.00","132,304.00","132,304.00","836,228.00",0.00,"1,172.09","10,775,220.00","6,001,474.00","4,773,746.00","8,606,115.00","44,765.00","3,398,109.00","192,488.00","3,442,874.00","-590,467.00","8,810,896.00","3,398,109.00","5,605,275.00","5,411,820.00","318,149.64","318,149.64","17,135.88","663,960.00","-1,272,253.00","612,540.00","28,418.00","4,778.00","136,978.00","-166,524.00","899,053.00","513,074.00","-301,096.00",--,"497,436.00"
12/31/2020,"1,241,165.00","1,026,548.00","214,617.00","82,660.00","131,957.00","-196,432.00","135,990.00","71,515.00","2,545.00","60,036.00","60,036.00",0.20,0.20,"294,545.00","294,927.00","249,103.00","1,109,208.00","64,266.00","-48,711.13","6,274.00","202,706.00","-196,432.00","274,221.00","892,850.00","417,932.00","618,629.00","64,266.00","117,146.00","117,146.00","775,704.00",0.00,"4,168.87","9,637,533.00","5,522,648.00","4,114,885.00","7,992,724.00","44,765.00","3,189,435.00","195,592.00","3,234,200.00","-386,369.00","8,165,983.00","3,189,435.00","5,172,140.00","4,975,139.00","296,611.58","296,611.58","17,135.88","604,316.00","-460,842.00","-152,594.00","24,171.00","1,029.00","159,386.00","-174,113.00","102,234.00","1,131,790.00","-725,839.00","-19,795.00","430,203.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"15,404.00",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"18,583.39",--,--,--,--,--,--,--,"725,315.00",--,--,--,--
