Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,7796800.0,4186600.0,3610200.0,1302700.0,2307500.0,43700.0,-102500.0,2248700.0,310300.0,1936600.0,500.0,1937100.0,4.52,4.39,429100.0,439950.0,2212800.0,5489300.0,1936600.0,2018318.47,107000.0,63300.0,43700.0,2312000.0,2942200.0,3606000.0,630200.0,1936600.0,-94800.0,-94800.0,3037000.0,0.0,-13081.53,10871925.0,5329400.0,5542525.0,8389225.0,5523750.0,27766.666666666668,3431700.0,2786125.0,8797750.0,3431700.0,3294825.0,1315175.0,599615.0575,425659.57499999995,173955.485,2038700.0,-1618600.0,-817000.0,2236300.0,319866.6666666667,83600.0,-1200400.0,1247575.0,-127800.0,-650100.0,838300.0
12/31/2023,8253000.0,4369500.0,3883500.0,1269900.0,2613600.0,18300.0,-96100.0,2535800.0,350200.0,2183700.0,1300.0,2185000.0,5.07,4.89,430700.0,446800.0,2538700.0,5639400.0,2183700.0,2260331.8,93100.0,74800.0,18300.0,2610600.0,3220100.0,3811100.0,609500.0,2183700.0,-88900.0,-88900.0,3309000.0,0.0,-12268.2,13215200.0,5414600.0,7800600.0,10325200.0,7782600.0,23200.0,5905700.0,3728700.0,11119200.0,5905700.0,3359800.0,853600.0,616282.0,426386.43,189895.57,1977500.0,-1737900.0,-686500.0,2485000.0,428200.0,73200.0,-1575600.0,1845000.0,-1738700.0,-564200.0,401900.0
12/31/2022,8326200.0,4249000.0,4077200.0,1312500.0,2764700.0,-79400.0,-323100.0,2362200.0,458400.0,1902200.0,2000.0,1904200.0,4.39,4.24,433200.0,448200.0,2360000.0,5561500.0,1902200.0,2180108.8,15500.0,94900.0,-79400.0,2457100.0,3008900.0,3778400.0,551800.0,1902200.0,-344800.0,-344800.0,3353700.0,0.0,-66891.2,11978500.0,5771500.0,6207000.0,9234200.0,6188500.0,37200.0,4251200.0,3668000.0,9382000.0,4251200.0,3230700.0,274500.0,608367.71,431936.42,176431.3,2633100.0,-705400.0,-370000.0,2933000.0,443200.0,80700.0,-1036000.0,500000.0,-541500.0,-259800.0,1597100.0
12/31/2021,6739800.0,4025500.0,2714300.0,1352400.0,1361900.0,-129000.0,-75100.0,1157800.0,146600.0,1009600.0,1266.6666666666667,1009600.0,2.37,2.27,425700.0,443800.0,1287600.0,5377900.0,1009600.0,1090876.3,1400.0,130400.0,-129000.0,1288200.0,1884900.0,3527800.0,596700.0,1009600.0,-93100.0,-93100.0,1978000.0,0.0,-11823.7,9626000.0,5021600.0,4604400.0,7499300.0,4585400.0,22900.0,2163800.0,2238200.0,7660000.0,2163800.0,3097500.0,1722000.0,603044.08,432472.82,170571.26,1782000.0,-915100.0,-569400.0,1377700.0,88200.0,96900.0,-492000.0,787300.0,-1270500.0,-384875.0,1290000.0
12/31/2020,5255000.0,3539200.0,1715800.0,1300600.0,415200.0,-163500.0,-75100.0,176600.0,-59800.0,234200.0,1266.6666666666667,234200.0,0.57,0.56,410700.0,418800.0,348700.0,4839800.0,234200.0,282745.0,4900.0,168400.0,-163500.0,345000.0,970100.0,3034400.0,625100.0,234200.0,-66500.0,-66500.0,1036600.0,0.0,-17955.0,8668000.0,5109900.0,3558100.0,6498200.0,3538500.0,27766.666666666668,1406100.0,1509600.0,7029800.0,1406100.0,3491300.0,2410600.0,570766.44,411842.63,158923.81,884300.0,-453600.0,-244000.0,1081500.0,319866.6666666667,83600.0,-483600.0,1858000.0,-2023900.0,-65400.0,400700.0
12/31/2019,7274160.0,4073960.0,3200200.0,1307620.0,1892580.0,-61980.0,-134380.0,1696220.0,241140.0,1453260.0,1266.6666666666667,1454020.0,3.3840000000000003,3.2699999999999996,425880.0,439510.0,1749560.0,5381580.0,1453260.0,1566476.0739999998,44380.0,106360.0,-61980.0,1802580.0,2405240.0,3551540.0,602660.0,1453260.0,-137620.0,-137620.0,2542860.0,0.0,-24403.926,10871925.0,5329400.0,5542525.0,8389225.0,5523750.0,27766.666666666668,3431700.0,2786125.0,8797750.0,3431700.0,3294825.0,1315175.0,599615.0575,425659.57499999995,173955.485,1863120.0,-1086120.0,-537380.0,2022700.0,319866.6666666667,83600.0,-957520.0,1247575.0,-1140480.0,-384875.0,905600.0
