Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"9,898,458.00","3,698,690.00","6,199,768.00","4,120,333.00","2,079,435.00","-521,238.00",--,"1,560,548.00","165,424.00","66,250.00","1,411,193.00","1,411,193.00",5.47,5.45,"258,062.00","258,689.50","2,081,786.00","7,819,023.00","1,411,193.00","1,409,091.21","145,848.00","667,086.00","-521,238.00","2,227,634.00","4,065,998.00","3,698,690.00","1,838,364.00","1,411,193.00","2,351.00","2,351.00","4,063,647.00",0.00,249.21,,,,,,,,,,,,,,,"2,237,457.00","-1,056,889.00","-932,094.00","2,362,825.00",--,--,"-651,797.00","10,855,192.00","-7,856,288.00","-950,872.00","1,585,660.00"
12/31/2023,"9,654,419.00","3,727,521.00","5,926,898.00","4,073,768.00","1,853,130.00","-546,439.00","-136,744.00","1,169,947.00","209,020.00","67,896.00","986,233.00","986,233.00",3.78,3.77,"261,126.00","261,698.00","1,716,386.00","7,801,289.00","986,233.00","1,098,499.82","113,711.00","660,150.00","-546,439.00","1,830,097.00","3,606,789.00","3,727,521.00","1,776,692.00","986,233.00","-136,744.00","-136,744.00","3,743,533.00",0.00,"-24,477.18","50,570,186.00","26,782,671.00","23,787,515.00","38,691,507.00","22,999,210.00","81,696.00","-13,912,359.00","-51,970.00","40,293,336.00","-13,912,359.00","17,375,822.00","15,205,239.00","260,382.75","260,382.75","2,248,741.00","-4,361,112.00","2,141,121.00","2,256,875.00","640,784.00","603,486.00","-658,142.00","11,925,391.00","-9,099,938.00","-459,497.00","1,590,599.00"
12/31/2022,"8,975,515.00","3,778,617.00","5,196,898.00","3,524,578.00","1,672,320.00","-415,829.00","-1,032,169.00","224,322.00","166,694.00","85,685.00","111,493.00","111,493.00",0.41,0.40,"275,191.00","275,576.00","640,151.00","7,303,195.00","111,493.00","926,906.51","33,604.00","449,433.00","-415,829.00","673,755.00","2,336,210.00","3,778,617.00","1,662,455.00","111,493.00","-1,032,169.00","-1,032,169.00","3,368,379.00",0.00,"-216,755.49","44,809,014.00","22,268,804.00","22,540,210.00","34,592,754.00","22,303,506.00","80,208.00","-10,675,604.00","-584,543.00","36,509,195.00","-10,675,604.00","14,285,897.00","12,208,123.00","263,081.87","263,081.87","2,244,040.00","-675,537.00","-1,376,701.00","2,215,606.00","431,148.00","350,075.00","-615,652.00","10,097,933.00","-7,895,131.00","-2,959,908.00","1,628,388.00"
12/31/2021,"8,523,762.00","3,773,725.00","4,750,037.00","3,391,161.00","1,358,876.00","-314,331.00",--,"1,044,545.00","169,034.00","112,353.00","965,460.00","965,460.00",3.30,3.29,"292,655.00","293,669.00","1,358,876.00","7,164,886.00","965,460.00","965,460.00","19,320.00","333,651.00","-314,331.00","1,378,196.00","3,069,580.00","3,773,725.00","1,691,384.00","965,460.00",--,--,"3,069,580.00",0.00,--,"45,279,713.00","19,410,296.00","25,869,417.00","37,043,010.00","25,628,201.00","103,554.00","-10,818,782.00","247,971.00","37,605,717.00","-10,818,782.00","12,081,070.00","9,998,208.00","284,750.45","284,750.45","2,780,825.00","-2,293,826.00","-405,365.00","2,123,023.00","295,534.00","335,481.00","-493,216.00","7,207,196.00","-4,826,769.00","-2,624,278.00","2,287,609.00"
12/31/2020,"7,423,558.00","3,650,727.00","3,772,831.00","2,878,878.00","893,953.00","-299,997.00",--,"593,956.00","77,153.00","88,297.00","584,520.00","584,520.00",1.95,1.95,"299,222.00","300,516.00","893,953.00","6,529,605.00","584,520.00","584,520.00","43,551.00","343,548.00","-299,997.00","937,504.00","2,551,944.00","3,650,727.00","1,614,440.00","584,520.00",--,--,"2,551,944.00",0.00,--,"44,201,545.00","16,714,501.00","27,487,044.00","35,798,777.00","27,332,370.00","103,706.00","-8,554,964.00","43,269.00","36,984,832.00","-8,554,964.00","9,756,168.00","7,706,594.00","298,332.46","298,332.46","2,314,150.00","-438,342.00","-1,546,142.00","2,089,771.00",--,--,"-436,236.00","2,401,147.00","-2,342,072.00","-631,148.00","1,877,914.00"
12/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
