Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Normalized EBITDA,Tax Rate for Calcs,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Cash Flow from Discontinued Operation,End Cash Position,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"44,946,000.00","37,902,000.00","7,044,000.00","2,507,000.00","4,537,000.00","-329,000.00","68,000.00","4,276,000.00","731,000.00","3,545,000.00","3,545,000.00",12.97,12.82,"273,023.50","274,962.00","4,537,000.00","40,409,000.00","3,545,000.00","3,545,000.00",--,--,"-329,000.00","4,675,000.00","5,533,000.00","37,902,000.00","858,000.00","3,545,000.00","5,533,000.00",0.00,,,,,,,,,,,,,,,,"3,053,000.00","-844,000.00","-1,997,000.00","-4,000.00","1,362,000.00","-891,000.00",--,"-500,000.00","-195,000.00","2,162,000.00"
12/31/2023,"42,272,000.00","35,600,000.00","6,672,000.00","2,427,000.00","4,245,000.00","-343,000.00","82,000.00","3,984,000.00","669,000.00","3,315,000.00","3,315,000.00",12.14,12.02,"273,143.00","275,725.00","4,245,000.00","38,027,000.00","3,315,000.00","3,315,000.00","56,000.00","399,000.00","-343,000.00","4,383,000.00","5,246,000.00","35,600,000.00","863,000.00","3,315,000.00","5,246,000.00",0.00,"54,810,000.00","33,511,000.00","21,299,000.00","30,053,000.00","21,299,000.00","1,822,000.00","-943,000.00","7,183,000.00","30,560,000.00","-943,000.00","11,083,000.00","7,348,000.00","481,880.63","273,599.95","208,280.69","4,710,000.00","-941,000.00","-3,094,000.00","-4,000.00","1,913,000.00","-904,000.00",--,"-1,250,000.00","-434,000.00","3,806,000.00"
12/31/2022,"39,407,000.00","32,785,000.00","6,622,000.00","2,411,000.00","4,211,000.00","-364,000.00","189,000.00","4,036,000.00","646,000.00","3,390,000.00","3,390,000.00",12.31,12.19,"275,300.00","278,200.00","4,211,000.00","35,196,000.00","3,390,000.00","3,390,000.00","27,000.00","391,000.00","-364,000.00","4,427,000.00","5,311,000.00","32,785,000.00","884,000.00","3,390,000.00","5,311,000.00",0.00,"51,585,000.00","33,017,000.00","18,568,000.00","27,811,000.00","18,568,000.00","1,618,000.00","-3,590,000.00","5,722,000.00","29,064,000.00","-3,590,000.00","12,114,000.00","9,254,000.00","274,411.11","274,411.11",--,"4,579,000.00","-1,489,000.00","-3,471,000.00","20,000.00","1,242,000.00","-1,114,000.00",--,"-1,000,000.00","-1,229,000.00","3,465,000.00"
12/31/2021,"38,469,000.00","32,061,000.00","6,408,000.00","2,245,000.00","4,163,000.00","-424,000.00","134,000.00","3,873,000.00","616,000.00","3,257,000.00","3,257,000.00",11.61,11.55,"280,400.00","282,000.00","4,163,000.00","34,306,000.00","3,257,000.00","3,257,000.00","7,000.00","431,000.00","-424,000.00","4,304,000.00","5,194,000.00","32,061,000.00","890,000.00","3,257,000.00","5,194,000.00",0.00,"50,073,000.00","32,432,000.00","17,641,000.00","28,131,000.00","17,641,000.00","1,680,000.00","-4,435,000.00","6,009,000.00","29,136,000.00","-4,435,000.00","13,175,000.00","9,892,000.00","277,620.94","277,620.94",--,"4,271,000.00","-882,000.00","-4,590,000.00","-20,000.00","1,603,000.00","-887,000.00","3,494,000.00","-4,997,000.00","-1,828,000.00","3,384,000.00"
12/31/2020,"37,925,000.00","31,600,000.00","6,325,000.00","2,192,000.00","4,133,000.00","-477,000.00","82,000.00","3,738,000.00","571,000.00","3,167,000.00","3,167,000.00",11.04,11.00,"286,900.00","287,900.00","4,133,000.00","33,792,000.00","3,167,000.00","3,167,000.00","12,000.00","489,000.00","-477,000.00","4,227,000.00","5,105,000.00","31,600,000.00","878,000.00","3,167,000.00","5,105,000.00",0.00,"51,308,000.00","35,647,000.00","15,661,000.00","25,656,000.00","15,661,000.00","1,734,000.00","-6,509,000.00","5,579,000.00","28,659,000.00","-6,509,000.00","14,732,000.00","10,174,000.00","481,880.63","286,477.84","195,402.80","3,858,000.00","-974,000.00","-903,000.00","-59,000.00","2,824,000.00","-967,000.00","4,380,000.00","-3,361,000.00","-587,000.00","2,891,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"192,270.30",--,--,--,--,--,--,--,--,--,--
