Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Rent Expense Supplemental,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,10793000.0,4617000.0,6176000.0,2003000.0,4173000.0,-739000.0,-411000.0,3023000.0,652000.0,2313000.0,2313000.0,4.04,4.03,570500.0,572000.0,3899000.0,106000.0,6620000.0,2313000.0,2527903.74,192000.0,931000.0,-739000.0,3954000.0,5404000.0,4617000.0,1450000.0,2313000.0,-274000.0,-274000.0,5678000.0,0.0,-59096.26,162531000.0,139800500.0,22730500.0,38982500.0,22657500.0,281250.0,-15499750.0,2058000.0,40455000.0,-15499750.0,18078750.0,16825500.0,635750.0,563500.0,72250.0,3942000.0,-9869000.0,-6845000.0,82640000.0,889000.0,836000.0,-596000.0,3172000.0,-3882000.0,-101000.0,3346000.0
12/31/2023,9903000.0,4244000.0,5659000.0,1696000.0,3963000.0,-489000.0,-580000.0,2894000.0,456000.0,2368000.0,2368000.0,4.2,4.19,564000.0,565000.0,3694000.0,92000.0,5940000.0,2368000.0,2593960.0,319000.0,808000.0,-489000.0,3702000.0,4917000.0,4244000.0,1215000.0,2368000.0,-269000.0,-269000.0,5186000.0,0.0,-43040.0,136084000.0,110298000.0,25786000.0,46376000.0,25717000.0,299000.0,-22153000.0,347000.0,48330000.0,-22153000.0,22912000.0,21714000.0,649000.0,573000.0,76000.0,3542000.0,-8797000.0,-64345000.0,80750000.0,909000.0,727000.0,-489000.0,2400000.0,-2286000.0,-78000.0,3053000.0
12/31/2022,9636000.0,4434000.0,5202000.0,1471000.0,3731000.0,-508000.0,-1415000.0,1808000.0,310000.0,1446000.0,1446000.0,2.59,2.58,559000.0,561000.0,3638000.0,83000.0,5905000.0,1446000.0,1523190.0,108000.0,616000.0,-508000.0,2424000.0,3455000.0,4434000.0,1031000.0,1446000.0,-93000.0,-93000.0,3548000.0,0.0,-15810.0,194338000.0,171577000.0,22761000.0,40824000.0,22706000.0,254000.0,-11495000.0,7776000.0,40828000.0,-11495000.0,18376000.0,16323000.0,634000.0,559000.0,75000.0,3554000.0,677000.0,-1841000.0,150343000.0,882000.0,550000.0,-482000.0,7891000.0,-2705000.0,-705000.0,3072000.0
12/31/2021,9168000.0,4150000.0,5018000.0,1467000.0,3551000.0,-422000.0,2569000.0,5698000.0,1629000.0,4058000.0,4058000.0,7.22,7.18,562000.0,565000.0,3449000.0,84000.0,5617000.0,4058000.0,4130420.0,1000.0,423000.0,-422000.0,6121000.0,7130000.0,4150000.0,1009000.0,4058000.0,-102000.0,-102000.0,7232000.0,0.0,-29580.0,193502000.0,170754000.0,22748000.0,35106000.0,22709000.0,252000.0,-12150000.0,889000.0,36627000.0,-12150000.0,14170000.0,13311000.0,631000.0,561000.0,70000.0,3123000.0,-786000.0,62026000.0,147976000.0,1057000.0,406000.0,-452000.0,6040750.0,-1246000.0,-320000.0,2671000.0
12/31/2020,8244000.0,3945000.0,4299000.0,1161000.0,3138000.0,-347000.0,-25000.0,2766000.0,658000.0,2089000.0,2089000.0,3.79,3.77,552000.0,555000.0,3033000.0,81000.0,5106000.0,2089000.0,2168800.0,10000.0,357000.0,-347000.0,3123000.0,3874000.0,3945000.0,751000.0,2089000.0,-105000.0,-105000.0,3979000.0,0.0,-25200.0,126200000.0,106573000.0,19627000.0,33624000.0,19498000.0,320000.0,-16201000.0,-780000.0,36035000.0,-16201000.0,16857000.0,15954000.0,629000.0,561000.0,68000.0,2881000.0,-10361000.0,26000000.0,83619000.0,642000.0,298000.0,-410000.0,10700000.0,-2004000.0,-1321000.0,2471000.0
12/31/2019,9548800.0,4278000.0,5270800.0,1559600.0,3711200.0,-501000.0,27600.0,3237800.0,741000.0,2454800.0,2454800.0,4.368,4.35,561500.0,563600.0,3542600.0,89200.0,5837600.0,2454800.0,2588854.748,126000.0,627000.0,-501000.0,3864800.0,4956000.0,4278000.0,1091200.0,2454800.0,-168600.0,-168600.0,5124600.0,0.0,-34545.252,162531000.0,139800500.0,22730500.0,38982500.0,22657500.0,281250.0,-15499750.0,2058000.0,40455000.0,-15499750.0,18078750.0,16825500.0,635750.0,563500.0,72250.0,3408400.0,-5827200.0,2999000.0,109065600.0,875800.0,563400.0,-485800.0,6040750.0,-2424600.0,-505000.0,2922600.0
