Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"29,269,000.00","20,347,000.00","8,922,000.00","7,511,000.00","1,411,000.00","-741,000.00","-6,293,000.00","-5,623,000.00","-272,000.00","-338,000.00","-5,158,000.00","-5,158,000.00",-7.86,-7.86,"656,500.00","656,500.00","-4,710,000.00","27,858,000.00","-5,158,000.00","264,541.88","149,000.00","890,000.00","-741,000.00","-4,733,000.00","-4,319,000.00","20,347,000.00","414,000.00","-5,725,000.00","-6,294,000.00","-6,294,000.00","1,975,000.00",0.00,"-304,458.12",,,,,,,,,,,,,,,,,"1,195,000.00","972,000.00","-1,531,000.00","2,350,000.00","211,000.00","870,000.00","-288,000.00",--,--,"-1,177,000.00",--,"907,000.00"
12/31/2023,"29,652,000.00","22,388,000.00","7,264,000.00","7,816,000.00","-552,000.00","-783,000.00","82,000.00","-1,253,000.00","-361,000.00","-360,000.00","-608,000.00","-608,000.00",-1.02,-1.02,"652,000.00","652,000.00","-451,000.00","30,204,000.00","-608,000.00","-1,340,248.00","137,000.00","920,000.00","-783,000.00","-333,000.00","85,000.00","22,388,000.00","418,000.00","-1,284,000.00","79,000.00","79,000.00","6,000.00",0.00,"22,752.00","53,543,000.00","30,493,000.00","23,050,000.00","37,127,000.00","22,526,000.00","1,256,000.00","3,421,000.00","3,047,000.00","37,128,000.00","3,421,000.00","15,858,000.00","12,142,000.00","1,155,702.88","652,702.88","10,000.00","503,000.00","475,000.00","942,000.00","-1,841,000.00","2,460,000.00","107,000.00","901,000.00","-328,000.00",--,"45,000.00","-1,277,000.00",--,"147,000.00"
12/31/2022,"30,154,000.00","19,845,000.00","10,309,000.00","7,476,000.00","2,833,000.00","-823,000.00","-744,000.00","1,266,000.00","227,000.00","-204,000.00","1,104,000.00","1,104,000.00",1.61,1.61,"649,000.00","650,000.00","2,342,000.00","27,321,000.00","1,104,000.00","1,335,003.00","108,000.00","931,000.00","-823,000.00","2,197,000.00","2,575,000.00","19,845,000.00","378,000.00","725,000.00","-743,000.00","-743,000.00","3,318,000.00",0.00,"-132,997.00","58,393,000.00","34,787,000.00","23,606,000.00","38,643,000.00","23,036,000.00","1,428,000.00","3,843,000.00","2,543,000.00","38,882,000.00","3,843,000.00","17,274,000.00","12,961,000.00","1,152,704.66","649,704.66","10,000.00","503,000.00","219,000.00","-526,000.00","-2,981,000.00","2,885,000.00","73,000.00","920,000.00","-358,000.00",--,"1,138,000.00","-3,140,000.00",--,"-139,000.00"
12/31/2021,"28,586,000.00","17,744,000.00","10,842,000.00","6,831,000.00","4,011,000.00","-933,000.00","2,128,000.00","5,206,000.00","646,000.00","-91,000.00","4,543,000.00","4,543,000.00",7.02,6.94,"641,000.00","655,000.00","6,297,000.00","24,575,000.00","4,543,000.00","2,510,051.09","53,000.00","986,000.00","-933,000.00","6,192,000.00","6,582,000.00","17,744,000.00","390,000.00","4,381,000.00","2,136,000.00","2,136,000.00","4,446,000.00",0.00,"265,051.09","58,620,000.00","35,650,000.00","22,970,000.00","40,100,000.00","22,402,000.00","1,598,000.00","3,046,000.00","7,197,000.00","40,111,000.00","3,046,000.00","19,307,000.00","11,442,000.00","1,151,000.00","648,000.00","10,000.00","503,000.00","953,000.00","2,395,000.00","-152,000.00","6,267,000.00","334,000.00","970,000.00","-354,000.00","2,655,000.00","58,000.00","-2,230,000.00",--,"599,000.00"
12/31/2020,"25,285,000.00","14,992,000.00","10,293,000.00","5,819,000.00","4,474,000.00","-971,000.00","-356,000.00","3,147,000.00","535,000.00","-28,000.00","2,422,000.00","2,422,000.00",3.93,3.92,"616,000.00","618,000.00","4,139,000.00","20,811,000.00","2,422,000.00","2,602,970.00","60,000.00","1,031,000.00","-971,000.00","4,178,000.00","4,608,000.00","14,992,000.00","430,000.00","2,305,000.00","-359,000.00","-359,000.00","4,967,000.00",0.00,"-61,030.00","52,663,000.00","36,607,000.00","16,056,000.00","35,088,000.00","15,371,000.00","1,583,000.00","-4,067,000.00","5,483,000.00","35,104,000.00","-4,067,000.00","21,316,000.00","16,749,000.00","1,119,979.59","616,979.59","10,000.00","503,000.00","2,294,000.00","56,000.00","-90,000.00","3,119,000.00","466,000.00","965,000.00","-324,000.00",--,"4,375,000.00","-2,901,000.00","-58,000.00","1,970,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"-57,000.00",--
