Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Interest Expense,Net Interest Income,Net Income from Continuing & Discontinued Operation,Normalized Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,24674000.0,16858000.0,7816000.0,919000.0,6897000.0,-370000.0,377000.0,6904000.0,2498000.0,7000.0,1931000.0,1931000.0,1.33,1.33,1435500.0,1444000.0,6897000.0,17777000.0,370000.0,-370000.0,1931000.0,1927809.1,7274000.0,9500000.0,16858000.0,2226000.0,1931000.0,5000.0,5000.0,9495000.0,0.0,1809.1,48441250.0,24974250.0,23467000.0,23349000.0,14100500.0,327500.0,13687750.0,8085500.0,23901250.0,13687750.0,10128250.0,3643500.0,1606250.0,1445000.0,161250.0,6408000.0,-4976000.0,-1966000.0,6402000.0,-4910000.0,2381000.0,-2455000.0,-917500.0,1498000.0
12/31/2023,22855000.0,15695000.0,7160000.0,935000.0,6225000.0,-515000.0,296000.0,6006000.0,2270000.0,15000.0,1848000.0,1848000.0,1.29,1.28,1435000.0,1443000.0,6225000.0,16630000.0,515000.0,-515000.0,1848000.0,1841800.0,6521000.0,8589000.0,15695000.0,2068000.0,1848000.0,10000.0,10000.0,8579000.0,0.0,3800.0,52506000.0,25196000.0,27310000.0,25349000.0,16693000.0,431000.0,16271000.0,8250000.0,26115000.0,16271000.0,9853000.0,4664000.0,1619000.0,1435000.0,184000.0,5279000.0,-4956000.0,-2650000.0,6063000.0,-4824000.0,1781000.0,-2980000.0,-917500.0,455000.0
12/31/2022,22780000.0,15089000.0,7691000.0,656000.0,7035000.0,-560000.0,240000.0,6715000.0,2267000.0,31000.0,3468000.0,3468000.0,2.43,2.39,1430000.0,1451000.0,7037000.0,15745000.0,560000.0,-560000.0,3468000.0,3446220.0,7275000.0,9294000.0,15089000.0,2019000.0,3468000.0,33000.0,33000.0,9261000.0,0.0,11220.0,51093000.0,26222000.0,24871000.0,25138000.0,15555000.0,332000.0,15139000.0,9268000.0,26175000.0,15139000.0,10952000.0,2474000.0,1613000.0,1430000.0,183000.0,5139000.0,-3440000.0,-1623000.0,8390000.0,-3469000.0,5735000.0,-4515000.0,-1347000.0,1670000.0
12/31/2021,22845000.0,14030000.0,8815000.0,529000.0,8286000.0,-602000.0,-25000.0,7659000.0,2299000.0,5000.0,4306000.0,4306000.0,2.96,2.9,1457000.0,1482000.0,8366000.0,14559000.0,602000.0,-602000.0,4306000.0,4250000.0,8261000.0,10259000.0,14030000.0,1998000.0,4306000.0,80000.0,80000.0,10179000.0,0.0,24000.0,48022000.0,25003000.0,23019000.0,23058000.0,13980000.0,319000.0,13568000.0,8938000.0,23430000.0,13568000.0,9769000.0,1382000.0,1603000.0,1457000.0,146000.0,7715000.0,-1964000.0,-1340000.0,8314000.0,-2115000.0,1201000.0,-1461000.0,-488000.0,5600000.0
12/31/2020,14198000.0,11655000.0,2543000.0,579000.0,1964000.0,-598000.0,431000.0,1797000.0,944000.0,12000.0,599000.0,599000.0,0.41,0.41,1458000.0,1461000.0,2437000.0,12234000.0,598000.0,-598000.0,599000.0,327440.0,2395000.0,3923000.0,11655000.0,1528000.0,599000.0,372000.0,372000.0,3551000.0,0.0,100440.0,42144000.0,23476000.0,18668000.0,19851000.0,10174000.0,228000.0,9773000.0,5886000.0,19885000.0,9773000.0,9939000.0,6054000.0,1590000.0,1458000.0,132000.0,3017000.0,-1264000.0,-128000.0,3903000.0,-1961000.0,3531000.0,-3724000.0,-917500.0,1056000.0
12/31/2019,21470400.0,14665400.0,6805000.0,723600.0,6081400.0,-529000.0,263800.0,5816200.0,2055600.0,14000.0,2430400.0,2430400.0,1.6840000000000004,1.6620000000000001,1443100.0,1456200.0,6192400.0,15389000.0,529000.0,-529000.0,2430400.0,2358653.82,6345200.0,8313000.0,14665400.0,1967800.0,2430400.0,100000.0,100000.0,8213000.0,0.0,28253.82,48441250.0,24974250.0,23467000.0,23349000.0,14100500.0,327500.0,13687750.0,8085500.0,23901250.0,13687750.0,10128250.0,3643500.0,1606250.0,1445000.0,161250.0,5511600.0,-3320000.0,-1541400.0,6614400.0,-3455800.0,2925800.0,-3027000.0,-917500.0,2055800.0
