Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,5234817.0,2973231.0,2261586.0,1385972.0,875614.0,-131403.0,-32923.0,711288.0,148640.0,400086.0,400086.0,4.04,4.02,98827.25,99393.25,823888.0,4359203.0,400086.0,586946.98,10975.0,142378.0,-131403.0,853666.0,1393683.0,2973231.0,540017.0,560904.0,-32923.0,-32923.0,1426606.0,0.0,-6880.02,9970900.25,4261244.5,5709655.75,8381886.5,5698177.0,172666.0,-252634.75,1169550.75,8454089.75,-252634.75,2928578.75,2509855.75,95733.0,95733.0,995888.0,-132936.0,-870481.0,201085.0,221439.0,111777.66666666667,-401808.0,1275000.0,-791674.0,-67244.0,594080.0
3/31/2024,5138701.0,2920541.0,2218160.0,1355997.0,862163.0,-133308.0,-26045.0,702810.0,149530.0,378239.0,378239.0,3.83,3.81,98787.0,99359.0,836118.0,4276538.0,378239.0,571937.42,11043.0,144351.0,-133308.0,847161.0,1412405.0,2920541.0,565244.0,551440.0,-26045.0,-26045.0,1438450.0,0.0,-5547.59,11063697.0,4748351.0,6315346.0,9422326.0,6302164.0,177067.0,112170.0,1937996.0,9508264.0,112170.0,3383167.0,2999080.0,98883.0,98883.0,973274.0,-887361.0,-85186.0,207020.0,271274.0,142167.0,-360326.0,1275000.0,-60000.0,-11765.0,612948.0
3/31/2023,4536266.0,2555540.0,1980726.0,1189140.0,791586.0,-110835.0,-485.0,680266.0,124069.0,107030.0,107030.0,1.07,1.07,99706.0,100246.0,791101.0,3744680.0,107030.0,557810.73,7326.8,110835.0,-110835.0,791101.0,1343998.0,2555540.0,552897.0,557414.0,-485.0,-485.0,1344483.0,0.0,-88.27,10821839.0,4734667.0,6087172.0,9095853.0,6077198.0,169622.0,121280.0,1149598.0,9155853.0,121280.0,3248277.0,2870298.0,98629.0,98629.0,756947.0,-383330.0,-498718.0,208357.0,254661.0,108470.0,-361969.0,1275000.0,-247875.0,-308565.0,394978.0
3/31/2022,4223403.0,2340396.0,1883007.0,1405144.0,477863.0,-83206.0,-27854.0,366803.0,82344.0,243888.0,243888.0,2.5,2.48,97535.0,98326.0,477815.0,3745540.0,243888.0,285514.06,6284.0,89490.0,-83206.0,456293.0,1009397.0,2340396.0,553104.0,285477.0,-48.0,-48.0,1009445.0,0.0,-10.94,11423594.0,4878957.0,6544637.0,9477837.0,6532356.0,191528.0,-1200524.0,956775.0,9620712.0,-1200524.0,3279884.0,2740036.0,100067.0,100067.0,684811.0,-666559.0,115830.0,348320.0,138382.0,84696.0,-287563.0,2000000.0,-1437645.0,-55777.0,397248.0
3/31/2021,3107519.0,1764419.0,1343100.0,797646.0,545454.0,-30835.0,2914.0,517533.0,120663.0,397400.0,397400.0,4.66,4.63,85203.0,85898.0,548368.0,2562065.0,397400.0,395165.4,6345.0,37180.0,-30835.0,554713.0,773950.0,1764419.0,219237.0,397400.0,2914.0,2914.0,771036.0,0.0,679.4,6574471.0,2683003.0,3891468.0,5531530.0,3880990.0,152447.0,-43465.0,633834.0,5531530.0,-43465.0,1802987.0,1430009.0,85353.0,85353.0,689640.0,-1154159.0,345620.0,220531.0,221439.0,111777.66666666667,-239262.0,550000.0,-35000.0,-14646.0,450378.0
3/31/2020,4448141.2,2510825.4,1937315.8,1226779.8,710536.0,-97917.4,-16878.6,595740.0,125049.2,305328.6,305328.6,3.22,3.2020000000000004,96011.65,96644.45,695458.0,3737605.2,305328.6,479474.91799999995,1987.0,104846.8,-97917.4,700586.8,1186686.6,2510825.4,486099.8,470527.0,-11317.4,-11317.4,1198004.0,0.0,-2369.4840000000004,9970900.25,4261244.5,5709655.75,8381886.5,5698177.0,172666.0,-252634.75,1169550.75,8454089.75,-252634.75,2928578.75,2509855.75,95733.0,95733.0,820112.0,-644869.0,-198587.0,237062.6,221439.0,111777.66666666667,-330185.6,1275000.0,-514438.8,-91599.4,489926.4
