Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Interest Expense,Net Interest Income,Net Income from Continuing & Discontinued Operation,Normalized Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,12092000.0,7820000.0,4272000.0,134000.0,4138000.0,-782000.0,-1117000.0,2239000.0,444000.0,1791000.0,2500.0,1791000.0,7.92,7.9,226050.0,226500.0,2908000.0,7954000.0,782000.0,-782000.0,1795000.0,2635178.65,3021000.0,4349000.0,7820000.0,1328000.0,1795000.0,-1048000.0,-1048000.0,5397000.0,0.0,-207821.35,39248000.0,25761500.0,13486500.0,27747250.0,13486500.0,412000.0,13486500.0,-49750.0,28207000.0,13486500.0,15132500.0,13726000.0,256824.6625,236503.885,20320.78,3208000.0,-4008000.0,903000.0,659000.0,473000.0,708000.0,-2526000.0,29000.0,3169000.0,-734000.0,-315000.0,682000.0
12/31/2023,12156000.0,7721000.0,4435000.0,161000.0,4274000.0,-722000.0,-1232000.0,2320000.0,493000.0,1824000.0,2500.0,1824000.0,8.04,8.02,226900.0,227400.0,2851000.0,7882000.0,722000.0,-722000.0,1827000.0,2803667.0,3042000.0,4340000.0,7721000.0,1298000.0,1827000.0,-1241000.0,-1241000.0,5581000.0,0.0,-264333.0,41652000.0,28871000.0,12781000.0,29956000.0,12781000.0,392000.0,12781000.0,639000.0,29960000.0,12781000.0,17571000.0,15611000.0,246002.03,225681.25,20320.78,3179000.0,-2182000.0,115000.0,1568000.0,681000.0,653000.0,-2349000.0,3000.0,3293000.0,-1334000.0,-622000.0,830000.0
12/31/2022,12745000.0,7506000.0,5239000.0,237000.0,5002000.0,-692000.0,-180000.0,4130000.0,860000.0,3268000.0,2000.0,3268000.0,14.34,13.88,228076.42,235600.0,4809000.0,7743000.0,692000.0,-692000.0,3270000.0,3384048.0,4822000.0,6043000.0,7506000.0,1221000.0,3270000.0,-144000.0,-144000.0,6187000.0,0.0,-29952.0,38885000.0,26152000.0,12733000.0,27212000.0,12733000.0,410000.0,12733000.0,-642000.0,27915000.0,12733000.0,15592000.0,14726000.0,248397.19,228076.42,20320.78,4222000.0,-1603000.0,-3002000.0,456000.0,750000.0,619000.0,-1948000.0,29000.0,1832000.0,-553000.0,-3114000.0,2274000.0
12/31/2021,11142000.0,6398000.0,4744000.0,30000.0,4714000.0,-646000.0,-190000.0,3878000.0,873000.0,3003000.0,2000.0,3003000.0,12.51,12.11,240162.79,248100.0,4447000.0,6428000.0,646000.0,-646000.0,3005000.0,3119700.0,4524000.0,5705000.0,6398000.0,1181000.0,3005000.0,-148000.0,-148000.0,5853000.0,0.0,-33300.0,38493000.0,24852000.0,13641000.0,26928000.0,13641000.0,413000.0,13641000.0,-354000.0,27481000.0,13641000.0,14253000.0,13001000.0,260483.57,240162.79,20320.78,4255000.0,-1222000.0,-3309000.0,839000.0,654000.0,579000.0,-1470000.0,17000.0,1676000.0,-584000.0,-3390000.0,2785000.0
12/31/2020,9789000.0,6023000.0,3766000.0,109000.0,3657000.0,-625000.0,-502000.0,2530000.0,517000.0,2010000.0,1000.0,2011000.0,7.99,7.84,252095.08,256600.0,3002000.0,6132000.0,625000.0,-625000.0,2013000.0,2394284.0,3155000.0,4309000.0,6023000.0,1154000.0,2013000.0,-479000.0,-479000.0,4788000.0,0.0,-97716.0,37962000.0,23171000.0,14791000.0,26893000.0,14791000.0,433000.0,14791000.0,158000.0,27472000.0,14791000.0,13114000.0,11566000.0,272415.86,252095.08,20320.78,3637000.0,-1175000.0,-1927000.0,1115000.0,311000.0,577000.0,-1494000.0,69000.0,784000.0,-381000.0,-1439000.0,2143000.0
12/31/2019,11584800.0,7093600.0,4491200.0,134200.0,4357000.0,-693400.0,-644200.0,3019400.0,637400.0,2379200.0,5000.0,2379400.0,10.16,9.95,234656.858,238840.0,3603400.0,7227800.0,693400.0,-693400.0,2382000.0,2867375.5300000003,3712800.0,4949200.0,7093600.0,1236400.0,2382000.0,-612000.0,-612000.0,5561200.0,0.0,-126624.47,39248000.0,25761500.0,13486500.0,27747250.0,13486500.0,412000.0,13486500.0,-49750.0,28207000.0,13486500.0,15132500.0,13726000.0,256824.6625,236503.885,20320.78,3700200.0,-2038000.0,-1444000.0,927400.0,573800.0,627200.0,-1957400.0,27000.0,2150800.0,-717200.0,-1776000.0,1742800.0
