Date,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Free Cash Flow
12/31/2023,"64,079,000.00","46,463,000.00","17,616,000.00","42,529,000.00","17,616,000.00","1,264,000.00","17,616,000.00","-1,583,000.00","43,866,000.00","17,616,000.00","27,514,000.00","26,121,000.00","554,941.70","554,941.70","5,327,000.00","-5,926,000.00","617,000.00","129,000.00",--,"945,000.00","-5,854,000.00","270,000.00","2,630,000.00","-1,151,000.00","-527,000.00"
12/31/2022,"61,188,000.00","44,513,000.00","16,675,000.00","39,488,000.00","16,675,000.00","1,255,000.00","16,675,000.00","-934,000.00","41,452,000.00","16,675,000.00","26,032,000.00","24,666,000.00","549,578.02","549,578.02","3,932,000.00","-4,653,000.00","666,000.00","111,000.00","15,000.00","887,000.00","-4,638,000.00","322,000.00","2,164,000.00","-601,000.00","-706,000.00"
12/31/2021,"57,851,000.00","42,239,000.00","15,612,000.00","37,391,000.00","15,612,000.00","1,351,000.00","15,612,000.00","-807,000.00","38,997,000.00","15,612,000.00","24,736,000.00","23,219,000.00","544,025.27","544,025.27","2,189,000.00","-4,287,000.00","2,135,000.00","166,000.00","4,000.00","788,000.00","-4,244,000.00","366,000.00","2,710,000.00","-417,000.00","-2,055,000.00"
12/31/2020,"53,957,000.00","39,382,000.00","14,575,000.00","34,220,000.00","14,575,000.00","1,558,000.00","14,575,000.00","-964,000.00","35,225,000.00","14,575,000.00","22,208,000.00","20,521,000.00","537,438.39","537,438.39","2,848,000.00","-4,740,000.00","1,773,000.00","129,000.00","-12,000.00","758,000.00","-5,369,000.00","727,000.00","2,940,000.00","-1,001,000.00","-2,521,000.00"
TTM,,,,,,,,,,,,,,,"5,112,000.00","-6,690,000.00","2,901,000.00","1,598,000.00",--,"1,001,000.00","-6,623,000.00","296,000.00","4,533,000.00","-1,051,000.00","-1,511,000.00"
12/31/2019,,,,,,,,,,,,,,,--,--,--,--,"-53,000.00",--,--,--,--,--,--
