Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"13,109,000.00","5,632,000.00","7,477,000.00","3,804,000.00","3,673,000.00","-298,000.00","-22,000.00","3,353,000.00","542,000.00","-8,000.00","2,781,000.00","2,781,000.00",10.84,10.68,"256,708.00","260,212.50","3,651,000.00","9,436,000.00","2,781,000.00","2,781,000.00","191,000.00","420,000.00","-298,000.00","3,773,000.00","4,763,000.00","4,855,000.00","990,000.00","2,781,000.00",--,--,"4,763,000.00",0.00,--,,,,,,,,,,,,,,,"3,737,000.00","-1,415,000.00","-3,322,000.00","2,863,000.00",--,--,"-959,000.00",--,"-1,000,000.00","-1,353,000.00","2,778,000.00"
12/31/2023,"13,276,000.00","5,723,000.00","7,553,000.00","3,877,000.00","3,676,000.00","-309,000.00","-15,000.00","3,352,000.00","523,000.00","-7,000.00","2,797,000.00","2,797,000.00",10.83,10.70,"258,381.00","261,370.00","3,661,000.00","9,600,000.00","2,797,000.00","2,797,000.00","187,000.00","438,000.00","-309,000.00","3,790,000.00","4,896,000.00","4,917,000.00","1,106,000.00","2,797,000.00",--,--,"4,896,000.00",0.00,--,"24,353,000.00","15,393,000.00","8,960,000.00","18,819,000.00","8,644,000.00","-2,233,000.00","3,753,000.00","19,819,000.00","-2,233,000.00","11,175,000.00","7,527,000.00","274,519.64","257,190.05","17,329.59","3,513,000.00","-1,508,000.00","-1,990,000.00","3,862,000.00",--,--,"-1,006,000.00",--,--,"-1,053,000.00","2,507,000.00"
12/31/2022,"13,205,000.00","5,688,000.00","7,517,000.00","3,723,000.00","3,794,000.00","-416,000.00","-15,000.00","3,363,000.00","529,000.00","-1,000.00","2,787,000.00","2,787,000.00",10.64,10.55,"261,879.00","264,053.00","3,797,000.00","9,411,000.00","2,787,000.00","2,802,174.00","61,000.00","427,000.00","-416,000.00","3,790,000.00","5,040,000.00","4,947,000.00","1,250,000.00","2,787,000.00","-18,000.00","-18,000.00","5,058,000.00",0.00,"-2,826.00","23,236,000.00","15,496,000.00","7,740,000.00","18,614,000.00","7,449,000.00","-3,805,000.00","3,665,000.00","18,614,000.00","-3,805,000.00","11,165,000.00","7,547,000.00","274,519.64","259,463.41","15,056.23","3,895,000.00","-1,249,000.00","-1,619,000.00","3,845,000.00",--,--,"-1,227,000.00","1,496,000.00","-917,000.00","-1,426,000.00","2,668,000.00"
12/31/2021,"11,063,000.00","4,996,000.00","6,067,000.00","3,484,000.00","2,583,000.00","-381,000.00","-22,000.00","2,180,000.00","272,000.00","-2,000.00","1,871,000.00","1,871,000.00",6.91,6.79,"270,687.00","275,646.00","2,583,000.00","8,480,000.00","1,871,000.00","1,890,250.00","4,000.00","369,000.00","-381,000.00","2,549,000.00","3,811,000.00","4,326,000.00","1,262,000.00","1,871,000.00","-22,000.00","-22,000.00","3,833,000.00",0.00,"-2,750.00","20,864,000.00","14,094,000.00","6,770,000.00","17,100,000.00","6,528,000.00","-5,127,000.00","2,776,000.00","17,100,000.00","-5,127,000.00","10,572,000.00","7,742,000.00","274,519.64","264,950.28","9,569.36","3,077,000.00","-934,000.00","-1,585,000.00","2,830,000.00","353,000.00","356,000.00","-932,000.00","4,000,000.00","-1,021,000.00","-4,015,000.00","2,145,000.00"
12/31/2020,"8,612,000.00","4,377,000.00","4,235,000.00","3,931,000.00","304,000.00","-341,000.00","38,000.00","1,000.00","-83,000.00","-4,000.00","52,000.00","52,000.00",0.19,0.18,"279,763.00","283,809.00","418,000.00","8,308,000.00","52,000.00","109,000.00","13,000.00","362,000.00","-341,000.00","363,000.00","2,351,000.00","3,716,000.00","1,988,000.00","52,000.00","-76,000.00","-76,000.00","2,427,000.00",0.00,"-19,000.00","19,847,000.00","10,696,000.00","9,151,000.00","16,553,000.00","8,944,000.00","-3,282,000.00","2,307,000.00","16,553,000.00","-3,282,000.00","7,609,000.00","5,334,000.00","289,519.64","280,474.69","9,044.95","2,482,000.00","-418,000.00","-835,000.00","2,275,000.00","148,000.00","336,000.00","-522,000.00","2,000,000.00","-1,809,000.00","-627,000.00","1,960,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"368,000.00","242,000.00",--,--,--,--,--
