Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Rent Expense Supplemental,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"15,017,506.00","1,564,181.00","13,453,325.00","12,011,612.00","1,441,713.00","-208,692.00","-13,299.00","1,219,722.00","271,940.00","934,185.00","934,185.00",13.82,13.61,"67,689.50","68,644.00","1,441,713.00","142,342.00","13,575,793.00","934,353.00","934,353.00",888.00,"204,548.00","-208,692.00","1,424,270.00","1,995,429.00","1,564,181.00","571,159.00","934,353.00","5,923.00","5,923.00","1,995,429.00",0.00,,,,,,,,,,,,,,,"1,689,783.00","-852,745.00","-792,813.00","223,532.00","255,555.00","199,051.00","-856,324.00","14,283.00","197,138.00","-374,598.00","-575,594.00","833,459.00"
12/31/2023,"14,281,976.00","1,532,828.00","12,749,148.00","11,573,767.00","1,175,381.00","-206,674.00","-28,281.00","940,426.00","221,119.00","717,487.00","717,487.00",10.35,10.23,"69,321.00","70,125.00","1,175,381.00","141,026.00","13,106,595.00","717,795.00","717,795.00",572.00,"202,211.00","-206,674.00","1,142,637.00","1,710,678.00","1,532,828.00","568,041.00","717,795.00",--,--,"1,710,678.00",0.00,"13,967,602.00","7,765,696.00","6,201,906.00","10,934,784.00","6,149,001.00","454,159.00","2,216,594.00","798,003.00","11,061,470.00","2,216,594.00","5,366,628.00","4,793,030.00","67,181.83","67,181.83","1,267,797.00","-763,275.00","-493,945.00","214,470.00","257,896.00","200,446.00","-743,055.00","13,654.00","185,100.00","-85,480.00","-547,363.00","524,742.00"
12/31/2022,"13,399,370.00","1,474,339.00","11,925,031.00","10,921,476.00","1,003,555.00","-126,889.00","-10,406.00","866,260.00","209,278.00","674,861.00","674,861.00",9.23,9.14,"73,118.00","73,832.00","1,003,555.00","131,626.00","12,395,815.00","675,609.00","675,609.00",378.00,"122,364.00","-126,889.00","988,624.00","1,570,485.00","1,474,339.00","581,861.00","675,609.00",--,--,"1,570,485.00",0.00,"13,494,188.00","7,524,143.00","5,970,045.00","10,647,115.00","5,920,582.00","463,298.00","2,011,126.00","622,921.00","10,728,562.00","2,011,126.00","5,271,278.00","4,705,162.00","70,628.95","70,628.95","996,023.00","-647,296.00","-318,400.00","200,837.00","250,759.00","120,136.00","-734,001.00","14,068.00","705,321.00","-89,367.00","-832,918.00","262,022.00"
12/31/2021,"12,642,117.00","1,427,134.00","11,214,983.00","9,851,889.00","1,363,094.00","-83,672.00","13,891.00","1,293,313.00","305,681.00","989,531.00","989,531.00",11.99,11.82,"82,519.00","83,692.00","1,363,094.00","118,863.00","11,279,023.00","991,590.00","991,590.00","1,596.00","83,672.00","-83,672.00","1,376,985.00","1,910,198.00","1,427,134.00","533,213.00","991,590.00",--,--,"1,910,198.00",0.00,"13,093,543.00","6,895,371.00","6,198,172.00","10,231,543.00","6,089,664.00","369,108.00","2,127,040.00","279,447.00","10,279,952.00","2,127,040.00","4,559,396.00","4,074,987.00","77,091.06","77,091.06","883,695.00","-914,466.00","-1,068,950.00","178,934.00","362,978.00","75,607.00","-855,659.00","13,372.00","3,254,974.00","-3,037,868.00","-1,220,875.00","28,036.00"
12/31/2020,"11,558,897.00","1,288,132.00","10,270,765.00","8,912,411.00","1,358,354.00","-106,285.00",14.00,"1,252,083.00","299,293.00","940,972.00","940,972.00",11.06,10.99,"85,061.00","85,587.00","1,358,354.00","116,059.00","10,200,543.00","943,953.00","943,953.00","2,804.00","106,285.00","-106,285.00","1,358,368.00","1,868,861.00","1,288,132.00","510,493.00","943,953.00",--,--,"1,868,861.00",0.00,"13,476,879.00","7,070,343.00","6,406,536.00","9,841,399.00","6,317,146.00","338,099.00","2,434,431.00","800,830.00","10,173,397.00","2,434,431.00","4,194,350.00","2,631,761.00","85,062.57","85,062.57","2,360,169.00","-802,562.00","-384,859.00","1,279,154.00","286,247.00","112,598.00","-734,209.00","12,318.00","801,599.00","-962,567.00","-206,719.00","1,625,960.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"3,400.00","3,400.00",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
