Date,Total Revenue,Credit Losses Provision,Non Interest Expense,Special Income Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Interest Income after Provision for Loan Loss,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"52,688,000.00","-207,000.00","37,590,000.00",--,"13,710,000.00","3,155,000.00","9,853,000.00","9,853,000.00",6.15,6.08,"1,606,500.00","1,624,500.00","7,530,000.00","10,413,000.00","11,322,223.56","15,383,000.00","4,640,000.00","10,413,000.00","-1,181,000.00","-1,181,000.00",0.00,"-271,776.44",,,,,,,,,,,,,,,,"-7,120,000.00","-20,898,000.00","14,508,000.00","91,484,000.00","2,100,000.00","45,798,000.00","-3,509,000.00",--,"92,833,000.00","-69,282,000.00","-5,425,000.00","-10,629,000.00"
12/31/2023,"50,667,000.00","-532,000.00","37,141,000.00","-1,181,000.00","11,813,000.00","2,583,000.00","8,530,000.00","8,530,000.00",5.24,5.18,"1,628,000.00","1,646,000.00","7,698,000.00","9,087,000.00","10,009,361.00","12,953,000.00","4,256,000.00","9,087,000.00","-1,181,000.00","-1,181,000.00",0.00,"-258,639.00","1,193,693,000.00","1,093,711,000.00","99,982,000.00","366,505,000.00","8,750,000.00","90,288,000.00","75,276,000.00","366,675,000.00","66,526,000.00","276,387,000.00","217,726,000.00","2,038,893.98","1,626,828.44","304,500.00","412,065.54","-33,536,000.00","-3,084,000.00","-2,726,000.00","89,232,000.00","2,035,000.00","41,940,000.00","-3,412,000.00",--,"78,424,000.00","-64,805,000.00","-6,178,000.00","-36,948,000.00"
12/31/2022,"50,210,000.00","-280,000.00","35,841,000.00","-470,000.00","14,089,000.00","2,910,000.00","10,540,000.00","10,540,000.00",6.23,6.15,"1,691,000.00","1,713,000.00","9,047,000.00","11,029,000.00","11,029,000.00","3,208,000.00","3,998,000.00","11,029,000.00","-470,000.00","-470,000.00",0.00,--,"1,180,231,000.00","1,079,000,000.00","101,231,000.00","341,222,000.00","8,750,000.00","91,391,000.00","75,871,000.00","337,607,000.00","67,121,000.00","246,216,000.00","153,469,000.00","2,039,842.71","1,675,000.00","264,500.00","364,842.71","-6,397,000.00","-11,632,000.00","22,714,000.00","128,127,000.00","4,147,000.00","9,819,000.00","-3,078,000.00","994,000.00","72,460,000.00","-34,898,000.00","-10,871,000.00","-9,475,000.00"
12/31/2021,"56,414,000.00","-4,000.00","36,742,000.00","-456,000.00","19,668,000.00","4,548,000.00","14,566,000.00","14,566,000.00",8.16,8.03,"1,785,000.00","1,814,000.00","8,041,000.00","15,034,000.00","15,034,000.00","-1,198,000.00","4,216,000.00","15,034,000.00","-456,000.00","-456,000.00",0.00,--,"1,188,140,000.00","1,081,542,000.00","106,598,000.00","338,272,000.00","7,750,000.00","97,691,000.00","80,248,000.00","340,859,000.00","72,498,000.00","243,168,000.00","156,330,000.00","2,038,893.98","1,772,226.53","264,500.00","266,667.45","33,971,000.00","-49,897,000.00","41,547,000.00","127,725,000.00","4,231,000.00","1,303,000.00","-2,308,000.00","1,275,000.00","90,273,000.00","-70,124,000.00","-12,075,000.00","31,663,000.00"
12/31/2020,"45,828,000.00","-761,000.00","30,418,000.00","-231,000.00","14,418,000.00","3,239,000.00","10,500,000.00","10,500,000.00",6.55,6.46,"1,603,000.00","1,624,000.00","5,552,000.00","10,996,000.00","11,175,025.00","-194,000.00","3,769,000.00","10,996,000.00","-231,000.00","-231,000.00",0.00,"-51,975.00","1,115,862,000.00","1,012,713,000.00","103,149,000.00","320,579,000.00","9,250,000.00","92,531,000.00","85,166,000.00","325,473,000.00","75,916,000.00","232,942,000.00","165,490,000.00","2,038,893.98","1,809,624.14","212,500.00","229,269.84","-25,231,000.00","-37,898,000.00","83,784,000.00","105,654,000.00","2,591,000.00","4,120,000.00","-1,444,000.00",--,"60,726,000.00","-50,484,000.00","-1,890,000.00","-26,675,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
