Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,9672000.0,2366100.0,7305900.0,5341500.0,1964400.0,-108600.0,-541900.0,1313900.0,156300.0,14266.666666666666,1158600.0,1158600.0,7.96,7.93,145100.0,145850.0,4811133.333333333,7707600.0,1158600.0,1631014.28,157200.0,265800.0,-108600.0,1579700.0,2151200.0,2097300.0,571500.0,1158600.0,-536200.0,-536200.0,2687400.0,0.0,-63785.72,24973775.0,12515375.0,12458400.0,19140800.0,12448450.0,366350.0,2695925.0,4161650.0,19428075.0,2695925.0,7345975.0,4964175.0,170875.0,147075.0,8.0,23800.0,1783900.0,-1994000.0,-482300.0,1925400.0,695833.3333333334,272000.0,-316300.0,1982300.0,-1459900.0,-3076366.6666666665,1467600.0
12/31/2023,9835600.0,2533400.0,7302200.0,5471100.0,1831100.0,29600.0,-563900.0,1296800.0,135300.0,14266.666666666666,1161100.0,1161100.0,8.02,7.97,144700.0,145600.0,4811133.333333333,8004500.0,1161100.0,1663218.4,276500.0,246900.0,29600.0,1543700.0,2038500.0,2279200.0,494800.0,1161100.0,-560400.0,-560400.0,2598900.0,0.0,-58281.6,26844800.0,12045400.0,14799400.0,21587600.0,14799400.0,400000.0,217200.0,3425000.0,21737600.0,217200.0,7338200.0,5888300.0,168700.0,144900.0,8.0,23800.0,1547200.0,-4101000.0,149300.0,1049900.0,695833.3333333334,272000.0,-311400.0,997200.0,-809900.0,-3076366.6666666665,1235800.0
12/31/2022,10173400.0,2278300.0,7895100.0,4993200.0,2901900.0,-157300.0,847200.0,3591800.0,632800.0,2600.0,3046900.0,3046900.0,20.96,20.87,145300.0,146000.0,4811133.333333333,7271500.0,3046900.0,2340484.8,89300.0,246600.0,-157300.0,3838400.0,4356800.0,2125800.0,518400.0,3046900.0,857300.0,857300.0,3499500.0,0.0,150884.8,24554100.0,11165700.0,13388400.0,19678900.0,13397900.0,333000.0,5798800.0,6518400.0,19678900.0,5798800.0,6614000.0,2861700.0,167800.0,144000.0,8.0,23800.0,1384300.0,1576600.0,-1747300.0,3419300.0,932900.0,262500.0,-243200.0,1982300.0,-1002200.0,-750000.0,1141100.0
12/31/2021,10981700.0,2109700.0,8872000.0,6064000.0,2808000.0,-242600.0,-820200.0,1745200.0,52500.0,34900.0,1556100.0,1556100.0,10.44,10.4,149100.0,149600.0,2840700.0,8173700.0,1556100.0,2346262.0,11000.0,253600.0,-242600.0,1998800.0,2880100.0,2503300.0,487700.0,1556100.0,-814600.0,-814600.0,3694700.0,0.0,-24438.0,23877300.0,12917600.0,10959700.0,17170200.0,10896200.0,330400.0,2913800.0,3558300.0,18169300.0,2913800.0,7603500.0,5011700.0,170800.0,147000.0,8.0,23800.0,3639900.0,-563700.0,-2086200.0,2261400.0,247900.0,280800.0,-294900.0,1982300.0,-170000.0,-1800000.0,3345000.0
12/31/2020,13444600.0,1805200.0,11639400.0,7193100.0,4446300.0,-180500.0,781700.0,5047500.0,992300.0,5300.0,4000600.0,4000600.0,24.86,24.8,160900.0,161300.0,4550100.0,8998300.0,4000600.0,3375223.6,42000.0,222500.0,-180500.0,5270000.0,5734800.0,1812800.0,457200.0,4000600.0,778800.0,778800.0,4956000.0,0.0,153423.6,24618900.0,13932800.0,10686100.0,18126500.0,10700300.0,402000.0,1853900.0,3144900.0,18126500.0,1853900.0,7828200.0,6095000.0,176200.0,152400.0,8.0,23800.0,4229800.0,-608600.0,-5272700.0,1331200.0,906700.0,272700.0,-551800.0,2967400.0,-1500000.0,-6679100.0,3678000.0
12/31/2019,10821460.0,2218540.0,8602920.0,5812580.0,2790340.0,-131880.0,-59420.0,2599040.0,393840.0,14266.666666666666,2184660.0,2184660.0,14.447999999999999,14.394,149020.0,149670.0,7042600.0,8031120.0,2184660.0,2271240.616,115200.0,247080.0,-131880.0,2846120.0,3432280.0,2163680.0,505920.0,2184660.0,-55020.0,-55020.0,3487300.0,0.0,31560.615999999998,24973775.0,12515375.0,12458400.0,19140800.0,12448450.0,366350.0,2695925.0,4161650.0,19428075.0,2695925.0,7345975.0,4964175.0,170875.0,147075.0,8.0,23800.0,2517020.0,-1138140.0,-1887840.0,1997440.0,695833.3333333334,272000.0,-343520.0,1982300.0,-988400.0,-3076366.6666666665,2173500.0
