Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,40059000.0,24339000.0,15720000.0,13706000.0,2014000.0,41000.0,396000.0,2451000.0,179000.0,-8000.0,2011000.0,-63000.0,1948000.0,0.98,0.92,2069196.5,2134475.5,2014000.0,38045000.0,2011000.0,1655044.06,625000.0,584000.0,41000.0,3035000.0,3818000.0,24327000.0,783000.0,2011000.0,384000.0,384000.0,3434000.0,0.0,28044.06,35708500.0,23136250.0,12572250.0,20218250.0,11328250.0,1790500.0,1773750.0,1262750.0,20305250.0,1773750.0,10767500.0,4269500.0,1935656.75,1935656.75,5025000.0,-5153000.0,-321000.0,8011000.0,321000.0,577000.0,-272000.0,392333.3333333333,1703000.0,-1735000.0,-74000.0,4753000.0
12/31/2023,37281000.0,22457000.0,14824000.0,13714000.0,1110000.0,-149000.0,1360000.0,2321000.0,213000.0,48000.0,1887000.0,-60000.0,1827000.0,0.93,0.87,2035651.0,2091782.0,1110000.0,36171000.0,1887000.0,472336.0,484000.0,633000.0,-149000.0,2954000.0,3777000.0,22457000.0,823000.0,1887000.0,1558000.0,1558000.0,2219000.0,0.0,143336.0,38699000.0,26017000.0,12682000.0,20708000.0,11249000.0,1740000.0,1673000.0,1843000.0,20708000.0,1673000.0,11199000.0,4779000.0,2071144.0,2071144.0,3585000.0,-3226000.0,-95000.0,7004000.0,234000.0,629000.0,-223000.0,392333.3333333333,2824000.0,-2871000.0,-74000.0,3362000.0
12/31/2022,31877000.0,19659000.0,12218000.0,14050000.0,-1832000.0,-426000.0,-7168000.0,-9426000.0,-181000.0,107000.0,-9141000.0,-41000.0,-9182000.0,-4.64,-4.65,1972131.0,1974928.0,-1832000.0,33709000.0,-9141000.0,-2108211.0,139000.0,565000.0,-426000.0,-8861000.0,-7914000.0,19659000.0,947000.0,-9141000.0,-7169000.0,-7169000.0,-745000.0,0.0,-136211.0,32109000.0,23605000.0,8504000.0,16605000.0,7340000.0,1874000.0,-2797000.0,396000.0,16605000.0,-2797000.0,11139000.0,5057000.0,2005486.0,2005486.0,642000.0,-1637000.0,15000.0,6677000.0,175000.0,513000.0,-252000.0,255000.0,2230250.0,-264000.0,-74000.0,390000.0
12/31/2021,17455000.0,9351000.0,8104000.0,11938000.0,-3834000.0,-446000.0,3255000.0,-1025000.0,-492000.0,-37000.0,-496000.0,-44000.0,-540000.0,-0.26,-0.29,1892546.0,1895519.0,-3834000.0,21289000.0,-496000.0,-2811560.0,37000.0,483000.0,-446000.0,-542000.0,360000.0,9351000.0,902000.0,-496000.0,3172000.0,3172000.0,-2812000.0,0.0,856440.0,38774000.0,23425000.0,15349000.0,23734000.0,14458000.0,1829000.0,3626000.0,-205000.0,23734000.0,3626000.0,11105000.0,4981000.0,1949316.0,1949316.0,-445000.0,-1201000.0,1780000.0,7805000.0,87000.0,449000.0,-298000.0,675000.0,1766000.0,-842000.0,-74000.0,-743000.0
12/31/2020,11139000.0,5154000.0,5985000.0,10848000.0,-4863000.0,-403000.0,-1680000.0,-6946000.0,-192000.0,-34000.0,-6768000.0,-52000.0,-6768000.0,-3.86,-3.86,1752960.0,1752960.0,-4863000.0,16002000.0,-6768000.0,-5077692.0,55000.0,458000.0,-403000.0,-6488000.0,-5913000.0,5154000.0,575000.0,-6768000.0,-1739000.0,-1739000.0,-4174000.0,0.0,-48692.0,33252000.0,19498000.0,13754000.0,19826000.0,12266000.0,1719000.0,4593000.0,3017000.0,20174000.0,4593000.0,9627000.0,2261000.0,1716681.0,1716681.0,-2745000.0,-2869000.0,1379000.0,7391000.0,82000.0,412000.0,-616000.0,247000.0,2628000.0,-1642000.0,-74000.0,-3361000.0
12/31/2019,27562200.0,16192000.0,11370200.0,12851200.0,-1481000.0,-276600.0,-767400.0,-2525000.0,-94600.0,15200.0,-2501400.0,-52000.0,-2543000.0,-1.3699999999999999,-1.402,1944496.9,1969932.9,-1481000.0,29043200.0,-2501400.0,-1574016.588,268000.0,544600.0,-276600.0,-1980400.0,-1174400.0,16189600.0,806000.0,-2501400.0,-758800.0,-758800.0,-415600.0,0.0,168583.412,35708500.0,23136250.0,12572250.0,20218250.0,11328250.0,1790500.0,1773750.0,1262750.0,20305250.0,1773750.0,10767500.0,4269500.0,1935656.75,1935656.75,1212400.0,-2817200.0,551600.0,7377600.0,179800.0,516000.0,-332200.0,392333.3333333333,2230250.0,-1470800.0,-74000.0,880200.0
