Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,41037000.0,36028000.0,5009000.0,1740000.0,3269000.0,-337000.0,-82000.0,2850000.0,517000.0,2313000.0,2313000.0,6.48,6.46,324750.0,325750.0,3003000.0,37768000.0,2322000.0,2543746.67,156000.0,493000.0,-337000.0,3343000.0,4842000.0,36028000.0,1499000.0,2326000.0,-266000.0,-266000.0,5108000.0,0.0,-48253.33,36377500.0,24904250.0,11473250.0,23194750.0,11343500.0,1785000.0,8830750.0,5551500.0,23874500.0,8830750.0,14316000.0,10337000.0,340344.76249999995,328508.7525,11836.0125,4404000.0,-1858000.0,-2142000.0,2898000.0,424250.0,424000.0,-1845000.0,744000.0,-1200000.0,-116000.0,2559000.0
12/31/2023,41107000.0,35849000.0,5258000.0,1687000.0,3571000.0,-348000.0,-596000.0,2627000.0,501000.0,2107000.0,2107000.0,6.48,6.46,325000.0,326000.0,3053000.0,37536000.0,2114000.0,2538062.0,129000.0,477000.0,-348000.0,3104000.0,4638000.0,35849000.0,1534000.0,2119000.0,-518000.0,-518000.0,5156000.0,0.0,-98938.0,37000000.0,23942000.0,13058000.0,23263000.0,12930000.0,1769000.0,10642000.0,6002000.0,24162000.0,10642000.0,13001000.0,7842000.0,340422.5,324483.4,15939.1,4942000.0,-1777000.0,-1950000.0,3405000.0,465000.0,487000.0,-1531000.0,500000.0,-425000.0,-211000.0,3411000.0
12/31/2022,50451000.0,43847000.0,6604000.0,1434000.0,5170000.0,-258000.0,-136000.0,4776000.0,882000.0,3872000.0,3872000.0,11.84,11.81,327000.0,328000.0,5101000.0,45281000.0,3882000.0,3943235.0,29000.0,287000.0,-258000.0,5063000.0,6330000.0,43847000.0,1267000.0,3887000.0,-69000.0,-69000.0,6399000.0,0.0,-12765.0,36365000.0,23622000.0,12743000.0,23155000.0,12615000.0,1854000.0,10126000.0,5085000.0,23936000.0,10126000.0,13175000.0,9170000.0,340698.93,326000.0,14698.93,6119000.0,-1977000.0,-3407000.0,2156000.0,746000.0,297000.0,-1890000.0,2794000.0,-2234000.0,-420000.0,4229000.0
12/31/2021,46173000.0,37397000.0,8776000.0,1379000.0,7397000.0,-510000.0,-101000.0,6786000.0,1163000.0,5596000.0,5596000.0,16.77,16.75,334000.0,334000.0,6773000.0,38776000.0,5610000.0,6133296.0,9000.0,519000.0,-510000.0,7305000.0,8698000.0,37397000.0,1393000.0,5616000.0,-624000.0,-624000.0,9322000.0,0.0,-106704.0,36742000.0,24754000.0,11988000.0,23104000.0,11858000.0,1985000.0,9288000.0,4987000.0,23472000.0,9288000.0,13599000.0,10142000.0,340211.99,329536.39,10675.61,7695000.0,-1502000.0,-6385000.0,1477000.0,310000.0,414000.0,-1959000.0,2794000.0,-3925000.0,-463000.0,5736000.0
12/31/2020,27753000.0,24359000.0,3394000.0,1253000.0,2141000.0,-514000.0,-241000.0,1386000.0,-43000.0,1417000.0,1417000.0,4.24,4.24,334000.0,334000.0,1559000.0,25612000.0,1420000.0,1846860.0,12000.0,526000.0,-514000.0,1912000.0,3297000.0,24359000.0,1385000.0,1422000.0,-582000.0,-582000.0,3879000.0,0.0,-157140.0,35403000.0,27299000.0,8104000.0,23257000.0,7971000.0,1532000.0,5267000.0,6132000.0,23928000.0,5267000.0,17489000.0,14194000.0,340045.63,334015.22,6030.41,3404000.0,-4906000.0,2271000.0,1765000.0,176000.0,498000.0,-1947000.0,7138000.0,-3386000.0,-4000.0,1457000.0
12/31/2019,41304200.0,35496000.0,5808200.0,1498600.0,4309600.0,-393400.0,-231200.0,3685000.0,604000.0,3061000.0,3061000.0,9.162,9.144000000000002,328950.0,329550.0,3897800.0,36994600.0,3069600.0,3401039.9340000004,67000.0,460400.0,-393400.0,4145400.0,5561000.0,35496000.0,1415600.0,3074000.0,-411800.0,-411800.0,5972800.0,0.0,-84760.066,36377500.0,24904250.0,11473250.0,23194750.0,11343500.0,1785000.0,8830750.0,5551500.0,23874500.0,8830750.0,14316000.0,10337000.0,340344.76249999995,328508.7525,11836.0125,5312800.0,-2404000.0,-2322600.0,2340200.0,424250.0,424000.0,-1834400.0,2794000.0,-2234000.0,-242800.0,3478400.0
