Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Normalized EBITDA,Tax Rate for Calcs,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,6824736.0,4391876.0,2432860.0,685003.0,1747857.0,-108347.0,-10742.0,1628768.0,296908.0,1331860.0,1331860.0,5.76,5.74,231001.5,231971.5,1747857.0,5076879.0,1331860.0,1331860.0,108347.0,-108347.0,1737115.0,2107497.0,4391876.0,370382.0,1331860.0,2107497.0,0.0,12427580.75,5170597.5,7256983.25,9398220.5,7256983.25,82205.75,-1438910.0,729489.25,9921063.25,-1438910.0,2746285.75,2085384.0,268104.7375,230790.5625,37314.177500000005,1805175.0,-2269992.0,262724.0,403494.0,-137482.0,100000.0,-81332.5,-8843.0,1667693.0
12/31/2023,6596950.0,4212485.0,2384465.0,677006.0,1707459.0,-81795.0,-19252.0,1606412.0,293224.0,1313188.0,1313188.0,5.7,5.67,230519.0,231509.0,1707459.0,4889491.0,1313188.0,1313188.0,81795.0,-81795.0,1688207.0,2025843.0,4212485.0,337636.0,1313188.0,2025843.0,0.0,15023533.0,6293342.0,8730191.0,10625623.0,8730191.0,61055.0,-1882755.0,-57905.0,12043538.0,-1882755.0,3374402.0,2903543.0,269284.25,230930.1,38354.15,1735296.0,-2376430.0,697283.0,409804.0,-136249.0,100000.0,-81332.5,-7772.0,1599047.0
12/31/2022,6150530.0,4005261.0,2145269.0,644577.0,1500692.0,-83186.0,11186.0,1428692.0,269150.0,1159542.0,1159542.0,5.04,5.01,231536.0,231536.0,1500692.0,4649838.0,1159542.0,1159542.0,83186.0,-83186.0,1511878.0,1831305.0,4005261.0,319427.0,1159542.0,1831305.0,0.0,12431120.0,4954608.0,7476512.0,9635440.0,7476512.0,46366.0,-1238135.0,963856.0,9861519.0,-1238135.0,2431373.0,2039621.0,268588.29,230050.66,38537.64,1149373.0,-552760.0,-575699.0,345386.0,-139005.0,100000.0,-81332.5,-332821.0,1010368.0
12/31/2021,5546514.0,3633900.0,1912614.0,603944.0,1308670.0,-80381.0,-5119.0,1223170.0,233117.0,990053.0,990053.0,4.29,4.25,230955.0,232813.0,1308670.0,4237844.0,990053.0,990053.0,80381.0,-80381.0,1303551.0,1595663.0,3633900.0,292112.0,990053.0,1595663.0,0.0,11898187.0,5026303.0,6871884.0,9101032.0,6871884.0,176454.0,-1735471.0,565451.0,9416125.0,-1735471.0,2720695.0,2197469.0,267800.16,231662.3,36137.86,1160457.0,-2055842.0,39337.0,346772.0,-110671.0,100000.0,-59718.0,-14711.0,1049786.0
12/31/2020,4540029.0,2996515.0,1543514.0,515630.0,1027884.0,-86062.0,140487.0,1082309.0,209870.0,872439.0,872439.0,3.8,3.77,229435.0,231150.0,1027884.0,3512145.0,872439.0,872439.0,86062.0,-86062.0,1168371.0,1423646.0,2996515.0,255275.0,872439.0,1423646.0,0.0,10357483.0,4408137.0,5949346.0,8230787.0,5949346.0,44948.0,-899279.0,1446555.0,8363071.0,-899279.0,2458673.0,1200903.0,266746.25,230519.19,36227.06,1280980.0,61630.0,-539436.0,1212822.0,-74199.0,100000.0,-102947.0,-4685.0,1206781.0
12/31/2019,5931751.8,3848007.4,2083744.4,625232.0,1458512.4,-87954.2,23312.0,1393870.2,260453.8,1133416.4,1133416.4,4.918,4.888,230689.3,231795.9,1458512.4,4473239.4,1133416.4,1133416.4,87954.2,-87954.2,1481824.4,1796790.8,3848007.4,314966.4,1133416.4,1796790.8,0.0,12427580.75,5170597.5,7256983.25,9398220.5,7256983.25,82205.75,-1438910.0,729489.25,9921063.25,-1438910.0,2746285.75,2085384.0,268104.7375,230790.5625,37314.177500000005,1426256.2,-1438678.8,-23158.2,543655.6,-119521.2,100000.0,-81332.5,-73766.4,1306735.0
