Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Normalized EBITDA,Tax Rate for Calcs,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"17,458,576.00","16,305,627.00","1,152,949.00","626,775.00","526,174.00","-97,202.00","428,972.00","96,895.00","332,077.00","332,077.00",2.79,2.78,"118,958.00","119,633.00","526,174.00","16,932,402.00","332,077.00","332,077.00",--,"-97,202.00","526,174.00","623,736.00","16,305,627.00","97,562.00","332,077.00","623,736.00",0.00,,,,,,,,,,,,,,,,"385,669.00","-73,297.00","-405,780.00","116,747.00",--,--,"-74,621.00","3,685,000.00","-3,813,000.00","-1,130.00","311,048.00"
12/31/2023,"17,596,443.00","16,457,570.00","1,138,873.00","624,266.00","514,607.00","-105,421.00","409,186.00","84,057.00","325,129.00","325,129.00",2.74,2.72,"118,551.00","119,677.00","514,607.00","17,081,836.00","325,129.00","325,129.00","105,421.00","-105,421.00","514,607.00","613,592.00","16,457,570.00","98,985.00","325,129.00","613,592.00",0.00,"5,225,280.00","3,806,583.00","1,418,697.00","2,839,184.00","1,418,697.00","372,014.00","-201,094.00","828,701.00","2,999,184.00","-201,094.00","1,952,501.00","1,434,963.00","179,204.00","116,768.00","62,436.00","731,946.00","-82,787.00","-717,833.00","145,524.00","155,936.00","92,571.00","-84,111.00","3,893,750.00","-4,287,750.00","-63,884.00","647,835.00"
12/31/2022,"24,696,625.00","22,826,428.00","1,870,197.00","603,415.00","1,266,782.00","-100,017.00","1,166,765.00","226,241.00","940,524.00","940,524.00",7.48,7.40,"125,743.00","127,150.00","1,266,782.00","23,429,843.00","940,524.00","940,524.00","100,017.00","-100,017.00","1,266,782.00","1,359,558.00","22,826,428.00","92,776.00","940,524.00","1,359,558.00",0.00,"5,954,564.00","4,601,142.00","1,353,422.00","2,273,471.00","1,353,422.00","387,464.00","-270,217.00","266,386.00","3,327,126.00","-270,217.00","2,361,168.00","1,756,222.00","179,204.00","116,323.00","62,881.00","1,650,171.00","-64,918.00","-1,619,546.00","217,482.00","429,096.00","71,563.00","-128,497.00","4,700,000.00","-4,646,000.00","-1,459,900.00","1,521,674.00"
12/31/2021,"23,102,138.00","21,493,659.00","1,608,479.00","526,371.00","1,082,108.00","-59,817.00","1,022,291.00","178,046.00","844,245.00","844,245.00",6.37,6.31,"132,482.00","133,834.00","1,082,108.00","22,020,030.00","844,245.00","844,245.00","59,817.00","-59,817.00","1,082,108.00","1,173,367.00","21,493,659.00","91,259.00","844,245.00","1,173,367.00",0.00,"7,028,112.00","5,006,178.00","2,021,934.00","3,415,583.00","2,021,934.00","307,680.00","377,462.00","1,477,811.00","3,940,583.00","377,462.00","2,226,329.00","1,661,236.00","179,206.00","129,186.00","50,020.00","94,955.00","-85,672.00","7,573.00","257,413.00","227,427.00","51,367.00","-70,922.00","4,028,000.00","-3,205,299.00","-581,756.00","24,033.00"
12/31/2020,"16,207,106.00","15,037,716.00","1,169,390.00","496,122.00","673,268.00","-44,937.00","628,331.00","121,910.00","506,421.00","506,421.00",3.74,3.72,"135,532.00","136,173.00","673,268.00","15,533,838.00","506,421.00","506,421.00","44,937.00","-44,937.00","673,268.00","774,995.00","15,037,716.00","101,727.00","506,421.00","774,995.00",0.00,"5,144,258.00","3,264,325.00","1,879,933.00","2,973,234.00","1,879,933.00","334,746.00","219,222.00","1,101,969.00","2,973,234.00","219,222.00","1,428,047.00","849,505.00","179,232.00","134,298.00","44,934.00","499,191.00","-271,714.00","-440,667.00","243,796.00","93,070.00","47,518.00","-54,009.00","1,436,600.00","-1,579,600.00","-177,514.00","445,182.00"
12/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
