Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,4715317.0,342076.0,4373241.0,2317508.0,2055733.0,-887168.0,-261776.0,906789.0,58283.0,838378.0,838378.0,1.08,1.08,784930.0,785475.5,2659584.0,843553.0,1118522.62,41732.5,929432.0,-887168.0,1836221.0,3994277.0,342076.0,2158056.0,843553.0,-293857.0,-293857.0,4288134.0,0.0,-18887.38,42832559.0,18308212.0,24524347.0,39134710.25,24423168.25,396418.25,17341650.0,-217413.25,40395911.75,17341650.0,16369161.75,15600973.5,591331.41,591331.41,3252501.0,-5742166.0,2646395.0,471592.0,31932.0,765203.0,3006062.0,64924677.0,-62792230.0,-21123.0,3252501.0
12/31/2023,4078993.0,316964.0,3762029.0,2039713.0,1722316.0,-737612.0,-55769.0,928935.0,52021.0,872309.0,872309.0,1.26,1.26,692298.0,694819.0,2356677.0,872309.0,949815.12,73460.0,779045.0,-737612.0,1707980.0,3603157.0,316964.0,1895177.0,872309.0,-82104.0,-82104.0,3685261.0,0.0,-4597.88,57779357.0,24672388.0,33106969.0,53697214.0,32941467.0,469558.0,24192082.0,1007004.0,54461604.0,24192082.0,21989695.0,21287214.0,752460.0,752460.0,2958769.0,-9354854.0,6437356.0,292175.0,12283.0,692004.0,5439462.0,82607168.0,-79420208.0,-21123.0,2958769.0
12/31/2022,3343681.0,226330.0,3117351.0,1808848.0,1308503.0,-464505.0,73601.0,917599.0,45183.0,869408.0,869408.0,1.42,1.42,611765.82,613472.66,2035178.0,869408.0,822309.27,76611.0,522059.0,-464505.0,1439658.0,3110047.0,226330.0,1670389.0,869408.0,49538.0,49538.0,3060509.0,0.0,2439.27,49673092.0,20829803.0,28843289.0,44094842.0,28713149.0,489565.0,19813305.0,-1725670.0,46823882.0,19813305.0,18600298.0,17939631.0,660300.2,660300.2,2563856.0,-8387076.0,5738243.0,226881.0,45031.0,501716.0,4556028.0,30693961.0,-27746851.0,-21123.0,2563856.0
12/31/2021,2080463.0,133605.0,1946858.0,994815.0,952043.0,-323644.0,-235995.0,392404.0,31657.0,359456.0,359456.0,0.87,0.87,591261.99,591261.99,1128420.0,359456.0,586575.36,13847.0,319090.0,-323644.0,952043.0,1849878.0,133605.0,897835.0,359456.0,-247050.0,-247050.0,2096928.0,0.0,-19930.64,43137502.0,18008102.0,25129400.0,38943835.0,25052574.0,505735.0,16100565.0,-1061572.0,40495211.0,16100565.0,15948372.0,15184058.0,591261.99,591261.99,1322189.0,-6437695.0,4577120.0,332369.0,19676.0,355483.0,4442725.0,10115593.0,-9274907.0,-21123.0,1322189.0
12/31/2020,1647087.0,104603.0,1542484.0,750253.0,792231.0,-305204.0,-75828.0,411199.0,14693.0,395486.0,395486.0,1.15,1.14,343900.87,346917.54,854856.0,395486.0,472980.35,3012.0,293710.0,-305204.0,704909.0,1381947.0,104603.0,677038.0,395486.0,-80366.0,-80366.0,1462313.0,0.0,-2871.65,20740285.0,9722555.0,11017730.0,19802950.0,10985483.0,120815.0,9260648.0,910585.0,19802950.0,9260648.0,8938282.0,7992991.0,361303.45,361303.45,1115543.0,-2032379.0,1692079.0,850679.0,13128.0,285617.0,728883.0,5728530.0,-4855544.0,-21123.0,1115543.0
12/31/2019,3173108.2,224715.6,2948392.6,1582227.4,1366165.2,-543626.6,-111153.4,711385.2,40367.4,667007.4,667007.4,1.156,1.154,604831.3359999999,606389.3380000001,1806943.0,668042.4,790040.544,41732.5,568667.2,-543626.6,1328162.2,2787861.2,224715.6,1459699.0,668042.4,-130767.8,-130767.8,2918629.0,0.0,-8769.656,42832559.0,18308212.0,24524347.0,39134710.25,24423168.25,396418.25,17341650.0,-217413.25,40395911.75,17341650.0,16369161.75,15600973.5,591331.41,591331.41,2242571.6,-6390834.0,4218238.6,434739.2,24410.0,520004.6,3634632.0,38813985.8,-36817948.0,-21123.0,2242571.6
