Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"5,101,100.00","2,114,100.00","2,987,000.00","2,617,800.00","369,200.00","-19,100.00","-129,100.00","221,000.00","-22,300.00","-9,600.00","233,700.00","233,700.00",0.73,0.71,"321,500.00","328,150.00","244,100.00","4,731,900.00","233,700.00","337,901.00","63,000.00","82,100.00","-19,100.00","303,100.00","481,500.00","2,114,100.00","178,400.00","233,700.00","-131,900.00","-131,900.00","613,400.00",0.00,"-27,699.00",,,,,,,,,,,,,,,"654,400.00","-441,800.00","-361,300.00","958,500.00",--,--,"-134,400.00","62,400.00",--,--,"-140,900.00","520,000.00"
12/31/2023,"5,564,500.00","2,362,600.00","3,201,900.00","2,633,800.00","568,100.00","-29,400.00","-189,700.00","349,000.00","29,200.00","-9,600.00","310,200.00","310,200.00",0.97,0.95,"320,000.00","325,900.00","470,100.00","4,996,400.00","310,200.00","483,598.80","50,600.00","80,000.00","-29,400.00","429,000.00","623,700.00","2,362,600.00","194,700.00","310,200.00","-189,300.00","-189,300.00","813,000.00",0.00,"-15,901.20","9,518,500.00","5,025,800.00","4,492,700.00","6,109,500.00","4,492,700.00","82,900.00","666,500.00","1,691,500.00","6,109,500.00","666,500.00","1,699,700.00","548,700.00","320,272.10","320,272.10","872,800.00","-67,600.00","-618,800.00","1,084,300.00","400,900.00","81,500.00","-159,400.00","61,900.00",--,--,"-397,600.00","713,400.00"
12/31/2022,"5,301,200.00","2,342,900.00","2,958,300.00","2,419,000.00","539,300.00","-39,000.00","36,000.00","536,300.00","60,500.00","-4,800.00","471,000.00","471,000.00",1.46,1.43,"322,100.00","329,500.00","519,100.00","4,761,900.00","471,000.00","440,487.20","19,600.00","58,600.00","-39,000.00","594,900.00","812,600.00","2,342,900.00","217,700.00","471,000.00","34,400.00","34,400.00","778,200.00",0.00,"3,887.20","9,326,700.00","4,851,600.00","4,475,100.00","6,076,400.00","4,475,100.00","117,700.00","580,200.00","1,538,200.00","6,076,400.00","580,200.00","1,719,000.00","721,200.00","322,900.00","322,900.00","97,600.00","407,500.00","-528,400.00","897,700.00","253,200.00","67,300.00","-105,100.00","57,200.00",--,--,"-315,200.00","-7,500.00"
12/31/2021,"4,735,400.00","1,995,300.00","2,740,100.00","2,309,700.00","430,400.00","-35,900.00","-84,400.00","310,100.00","57,400.00",--,"252,700.00","252,700.00",0.78,0.76,"324,400.00","331,600.00","387,500.00","4,305,000.00","252,700.00","322,708.50","14,900.00","50,800.00","-35,900.00","360,900.00","598,300.00","1,995,300.00","237,400.00","252,700.00","-85,900.00","-85,900.00","684,200.00",0.00,"-15,891.50","8,887,000.00","4,570,100.00","4,316,900.00","6,003,700.00","4,316,900.00","142,200.00","270,500.00","1,080,100.00","6,003,700.00","270,500.00","1,829,000.00","764,300.00","321,600.00","321,600.00","689,700.00","13,800.00","-1,131,700.00","942,700.00","113,200.00","62,600.00","-100,000.00","56,400.00",--,"-423,800.00","-443,500.00","589,700.00"
12/31/2020,"4,445,100.00","1,871,400.00","2,573,700.00","2,152,600.00","421,100.00","-40,700.00","-115,200.00","265,200.00","7,400.00",--,"257,800.00","257,800.00",0.78,0.77,"330,400.00","335,200.00","353,100.00","4,024,000.00","257,800.00","364,428.40","36,300.00","77,000.00","-40,700.00","342,200.00","554,600.00","1,871,400.00","212,400.00","257,800.00","-109,700.00","-109,700.00","664,300.00",0.00,"-3,071.60","9,378,300.00","4,834,800.00","4,543,500.00","6,249,300.00","4,543,500.00","163,500.00","607,200.00","1,110,100.00","6,670,800.00","607,200.00","2,290,800.00","765,400.00","327,700.00","327,700.00","612,000.00","-288,900.00","-222,400.00","1,383,000.00","84,100.00","87,200.00","-100,400.00","54,700.00","792,400.00","-376,200.00","-381,100.00","511,600.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"495,200.00",--,--,--
