Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Cash Flow from Discontinued Operation,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,12487000.0,8537000.0,3950000.0,3345000.0,605000.0,-94000.0,-59000.0,452000.0,105000.0,16000.0,352000.0,352000.0,2.72,2.71,129177.08,130118.69,548000.0,11882000.0,352000.0,395758.85,22000.0,116000.0,-94000.0,568000.0,852000.0,8494000.0,284000.0,352000.0,-57000.0,-57000.0,909000.0,0.0,-13241.15,8858383.0,4155362.0,4703021.0,4544486.25,3468543.0,346360.75,-225662.25,1653578.25,4736536.75,-225662.25,1614354.5,1061197.5,135162.18,135162.18,692000.0,-1076000.0,377000.0,23324.0,130000.0,182000.0,115000.0,-197000.0,361090.0,1050000.0,-279000.0,-275000.0,495000.0
12/31/2023,12339000.0,8478000.0,3861000.0,3166000.0,695000.0,-70000.0,-83000.0,542000.0,120000.0,14000.0,416000.0,416000.0,3.18,3.16,130618.99,131748.17,615000.0,11644000.0,416000.0,478320.0,17000.0,87000.0,-70000.0,629000.0,877000.0,8440000.0,248000.0,416000.0,-80000.0,-80000.0,957000.0,0.0,-17680.0,10573000.0,5420000.0,5153000.0,5592000.0,3655000.0,390000.0,-1136000.0,1805000.0,6006000.0,-1136000.0,2741000.0,2180000.0,129247.77,129247.77,500000.0,-1135000.0,701000.0,23324.0,171000.0,218000.0,84000.0,-187000.0,361090.0,1368000.0,-468000.0,-250000.0,313000.0
12/31/2022,12647000.0,8816000.0,3831000.0,2953000.0,878000.0,-27000.0,-130000.0,721000.0,170000.0,15000.0,538000.0,538000.0,3.95,3.91,136064.22,137755.67,747000.0,11769000.0,538000.0,638215.0,8000.0,35000.0,-27000.0,756000.0,968000.0,8786000.0,212000.0,538000.0,-131000.0,-131000.0,1099000.0,0.0,-30785.0,8607000.0,3936000.0,4671000.0,4486000.0,3446000.0,348000.0,-34000.0,1764000.0,4595000.0,-34000.0,1497000.0,1032000.0,131792.82,131792.82,602000.0,-276000.0,-315000.0,23324.0,117000.0,265000.0,47000.0,-128000.0,361090.0,270000.0,-59000.0,-485000.0,474000.0
12/31/2021,12401000.0,8727000.0,3674000.0,2814000.0,860000.0,-21000.0,-8000.0,831000.0,198000.0,27000.0,631000.0,631000.0,4.51,4.45,140091.0,141773.0,852000.0,11541000.0,631000.0,637096.0,6000.0,27000.0,-21000.0,858000.0,1068000.0,8697000.0,210000.0,631000.0,-8000.0,-8000.0,1076000.0,0.0,-1904.0,8481000.0,3805000.0,4676000.0,4236000.0,3425000.0,344000.0,-97000.0,1537000.0,4298000.0,-97000.0,1217000.0,755000.0,137145.56,137145.56,710000.0,-677000.0,-333000.0,23324.0,118000.0,242000.0,29000.0,-112000.0,361090.0,305000.0,-122000.0,-401000.0,598000.0
12/31/2020,10119141.0,7304913.0,2814228.0,2246832.0,567396.0,-31535.0,-35966.0,499895.0,95374.0,13916.0,403794.0,403794.0,2.83,2.82,142504.0,143404.0,535303.0,9551745.0,403794.0,428771.24,9842.0,41377.0,-31535.0,541272.0,726810.0,7304913.0,185538.0,402808.0,-32093.0,-32093.0,758903.0,0.0,-6129.76,7772532.0,3460448.0,4312084.0,3863945.0,3348172.0,303443.0,364351.0,1508313.0,4047147.0,364351.0,1002418.0,277790.0,142462.57,142462.57,598910.0,-115019.0,-187185.0,23324.0,421185.0,226750.0,68750.0,-48829.0,361090.0,546503.0,-611216.0,-73789.0,550081.0
12/31/2019,11998628.2,8372582.6,3626045.6,2904966.4,721079.2,-48707.0,-63193.2,609179.0,137674.8,17183.2,468158.8,468158.8,3.438,3.41,135691.05800000002,136959.90600000002,659460.6,11277549.0,468158.8,515632.218,12568.4,61275.4,-48707.0,670454.4,898362.0,8344382.6,227907.6,467961.6,-61618.6,-61618.6,959980.6,0.0,-13947.982,8858383.0,4155362.0,4703021.0,4544486.25,3468543.0,346360.75,-225662.25,1653578.25,4736536.75,-225662.25,1614354.5,1061197.5,135162.18,135162.18,620582.0,-655803.8,48563.0,23324.0,191437.0,226750.0,68750.0,-134565.8,361090.0,707900.6,-307843.2,-296957.8,486016.2
