Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"6,671,200.00","1,781,700.00","4,889,500.00","3,749,400.00","1,140,100.00","-125,000.00","-3,200.00","1,011,900.00","195,900.00","816,000.00","816,000.00",3.84,3.77,"229,350.00","233,500.00","1,140,100.00","5,531,100.00","816,000.00","816,000.00","125,000.00","-125,000.00","1,136,900.00","1,365,900.00","1,781,700.00","229,000.00","816,000.00",--,--,"1,365,900.00",0.00,--,,,,,,,,,,,,,,,"1,255,600.00","-1,041,900.00","5,214,400.00","6,142,000.00","200,100.00","262,800.00","-108,900.00","6,089,500.00","-468,800.00",--,"1,146,700.00"
6/30/2024,"6,671,200.00","1,781,700.00","4,889,500.00","3,749,400.00","1,140,100.00","-125,000.00","-3,200.00","1,011,900.00","195,900.00","816,000.00","816,000.00",3.56,3.50,"229,200.00","233,200.00","1,140,100.00","5,531,100.00","816,000.00","816,000.00","125,000.00","-125,000.00","1,136,900.00","1,365,900.00","1,781,700.00","229,000.00","816,000.00",--,--,"1,365,900.00",0.00,--,"13,396,300.00","10,499,400.00","2,896,900.00","9,834,100.00","2,896,900.00","1,523,900.00","339,200.00","7,092,100.00","10,137,500.00","339,200.00","8,764,500.00","1,098,600.00","230,200.00","230,200.00","1,255,600.00","-1,041,900.00","5,214,400.00","6,142,000.00","200,100.00","262,800.00","-108,900.00","6,089,500.00","-468,800.00",--,"1,146,700.00"
6/30/2023,"6,660,900.00","1,946,000.00","4,714,900.00","3,542,500.00","1,172,400.00","-27,600.00","-1,700.00","1,143,100.00","207,100.00","936,000.00","936,000.00",3.96,3.88,"236,400.00","241,300.00","1,172,400.00","5,488,500.00","936,000.00","936,000.00","27,600.00","-27,600.00","1,170,700.00","1,394,900.00","1,946,000.00","224,200.00","936,000.00",--,--,"1,394,900.00",0.00,--,"7,116,800.00","4,839,000.00","2,277,800.00","3,913,600.00","2,277,800.00","1,631,200.00","-309,800.00","1,077,000.00","3,938,600.00","-309,800.00","3,292,000.00","934,700.00","227,400.00","227,400.00","975,200.00","5,700.00","-1,035,900.00","726,100.00","231,900.00","82,600.00","-184,200.00",--,"-31,200.00","-703,500.00","791,000.00"
6/30/2022,"6,684,500.00","2,034,100.00","4,650,400.00","3,474,600.00","1,175,800.00","-58,700.00","-70,100.00","1,047,000.00","190,700.00","856,300.00","856,300.00",3.24,3.17,"264,300.00","270,100.00","1,175,800.00","5,508,700.00","856,300.00","900,226.60","58,700.00","-58,700.00","1,105,700.00","1,311,700.00","2,034,100.00","206,000.00","856,300.00","-53,700.00","-53,700.00","1,365,400.00",0.00,"-9,773.40","7,265,300.00","4,979,800.00","2,285,500.00","3,944,700.00","2,285,500.00","1,571,000.00","-322,600.00","1,105,000.00","3,975,900.00","-322,600.00","3,261,400.00","900,600.00","241,200.00","241,200.00","853,200.00","-253,600.00","-1,778,100.00","789,800.00","179,700.00","67,800.00","-93,900.00","998,500.00","-900,000.00","-1,600,000.00","759,300.00"
6/30/2021,"5,746,300.00","1,664,400.00","4,081,900.00","3,113,900.00","968,000.00","-71,400.00",700.00,"897,300.00","63,100.00","834,200.00","834,200.00",3.00,2.95,"277,900.00","283,000.00","968,000.00","4,778,300.00","834,200.00","834,200.00","71,400.00","-71,400.00","968,700.00","1,187,400.00","1,664,400.00","218,700.00","834,200.00",--,--,"1,187,400.00",0.00,--,"8,382,400.00","5,123,100.00","3,259,300.00","4,850,000.00","3,259,300.00","1,845,300.00","588,600.00","1,949,500.00","4,850,000.00","588,600.00","3,436,000.00",--,"279,500.00","279,500.00","1,323,700.00","-91,000.00","-666,000.00","2,007,700.00","251,800.00","69,700.00","-116,000.00",--,"-711,500.00",--,"1,207,700.00"
6/30/2020,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"873,100.00",--,--,--,--,--,--,--,--,--,--,--,--,--
