Date,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
12/31/2023,21778000.0,17674000.0,4104000.0,16247000.0,4118000.0,3520000.0,1355000.0,18147000.0,3520000.0,14029000.0,8924000.0,833000.0,753000.0,80000.0,3227000.0,-1254000.0,-3188000.0,5229000.0,176000.0,746000.0,-1257000.0,1898750.0,-2069000.0,-505000.0,1970000.0
12/31/2022,22039000.0,18383000.0,3656000.0,17828000.0,3881000.0,3817000.0,2842000.0,19859000.0,3817000.0,15978000.0,9667000.0,833000.0,764000.0,69000.0,-795000.0,4162000.0,1122000.0,6436000.0,649000.0,614000.0,-780000.0,1200000.0,-66000.0,-930000.0,-1575000.0
12/31/2021,20059000.0,17811000.0,2248000.0,16717000.0,1996000.0,1977000.0,2945000.0,16791000.0,1977000.0,14795000.0,12941000.0,833000.0,764000.0,69000.0,15000.0,-895000.0,684000.0,1925000.0,86000.0,591000.0,-839000.0,2702000.0,-1998000.0,-930000.0,-824000.0
12/31/2020,20807000.0,17269000.0,3538000.0,16902000.0,2973000.0,2948000.0,2891000.0,16977000.0,2948000.0,14004000.0,11922000.0,833000.0,764000.0,69000.0,-1312000.0,-1329000.0,560000.0,2137000.0,196000.0,419000.0,-1227000.0,1945000.0,-467000.0,-930000.0,-2539000.0
12/31/2019,21170750.0,17784250.0,3386500.0,16923500.0,3242000.0,3065500.0,2508250.0,17943500.0,3065500.0,14701500.0,10863500.0,833000.0,761250.0,71750.0,901600.0,-91400.0,-822200.0,4112400.0,262400.0,615800.0,-1049600.0,1898750.0,-1468400.0,-930000.0,-148000.0
TTM,21170750.0,17784250.0,3386500.0,16923500.0,3242000.0,3065500.0,2508250.0,17943500.0,3065500.0,14701500.0,10863500.0,833000.0,761250.0,71750.0,3373000.0,-1141000.0,-3289000.0,4835000.0,205000.0,709000.0,-1145000.0,1748000.0,-2742000.0,-1355000.0,2228000.0
