Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Rent Expense Supplemental,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"1,901,653.00","594,688.00","1,306,965.00","693,298.00","613,667.00","-276,127.00","23,002.00","360,542.00","71,323.00","86,698.00","338,373.00","-1,426.00","336,947.00",0.54,0.54,"643,883.50","643,883.50","600,509.00","16,344.00","1,287,986.00","366,648.00","385,904.29","276,127.00","-276,127.00","636,669.00","1,191,255.00","595,031.00","554,243.00","366,648.00","-24,005.00","-24,005.00","1,215,260.00",0.00,"-4,748.71",,,,,,,,,,,,,,,,,"941,478.00","-310,438.00","-1,039,962.00","127,555.00","66,298.00","276,664.00",--,"1,230,000.00","-1,490,397.00",--,"941,478.00"
12/31/2023,"1,783,400.00","556,718.00","1,226,682.00","644,072.00","582,610.00","-250,201.00","311,505.00","643,914.00","60,952.00","82,987.00","628,756.00",53.00,"628,809.00",1.02,1.02,"616,947.00","618,199.00","638,777.00","15,997.00","1,200,790.00","654,273.00","408,432.07","250,201.00","-250,201.00","894,115.00","1,401,380.00","556,718.00","507,265.00","654,273.00","271,545.00","271,545.00","1,129,835.00",0.00,"25,704.07","18,274,022.00","8,548,287.00","9,725,735.00","17,142,261.00",19.00,"9,525,446.00","109,985.00","9,525,465.00","1,199,886.00","17,142,242.00","9,525,446.00","7,726,781.00","6,836,278.00","619,871.24","619,871.24","19,367.00","1,071,607.00","-136,983.00","-300,696.00","783,757.00","65,267.00","250,432.00","3,727.00","500,000.00","-60,768.00","-1,491.00","1,071,607.00"
12/31/2022,"1,727,684.00","530,907.00","1,196,777.00","624,534.00","572,243.00","-226,823.00","-301,116.00","44,304.00","56,654.00","126,884.00","98,576.00",--,"98,576.00",0.16,0.16,"615,528.00","617,858.00","565,464.00","15,811.00","1,155,441.00","125,976.00","386,632.55","226,823.00","-226,823.00","271,127.00","776,127.00","530,907.00","505,000.00","125,976.00","-329,945.00","-329,945.00","1,106,072.00",0.00,"-69,288.45","17,826,122.00","8,086,280.00","9,739,842.00","16,673,394.00",19.00,"9,515,489.00","113,679.00","9,515,508.00","838,646.00","16,673,375.00","9,515,489.00","7,271,565.00","7,010,916.00","618,483.57","618,483.57","19,435.00","861,114.00","-63,217.00","-982,731.00","149,829.00","11,869.00","257,979.00","15,513.00","1,269,000.00","-1,616,796.00","-3,441.00","861,114.00"
12/31/2021,"1,364,585.00","417,911.00","946,674.00","499,441.00","447,233.00","-204,133.00","502,026.00","745,126.00","3,380.00","107,950.00","815,601.00","3,087.00","818,688.00",1.61,1.60,"506,248.00","511,385.00","424,286.00","13,773.00","917,352.00","844,059.00","364,030.40","204,133.00","-204,133.00","949,259.00","1,344,579.00","417,911.00","395,320.00","844,059.00","482,216.00","482,216.00","862,363.00",0.00,"2,187.40","18,459,199.00","8,335,537.00","10,123,662.00","17,375,091.00",20.00,"9,899,369.00","123,779.00","9,899,389.00","1,575,405.00","17,375,071.00","9,899,369.00","7,599,481.00","7,150,071.00","616,658.59","616,658.59","19,580.00","618,875.00","-476,259.00","-101,141.00","334,663.00","1,961.00","197,947.00","82,989.00","500,000.00","-239,910.00",--,"618,875.00"
12/31/2020,"1,057,893.00","342,969.00","714,924.00","382,172.00","332,752.00","-186,904.00","782,026.00","927,874.00",978.00,"75,981.00","971,230.00",161.00,"971,391.00",2.26,2.25,"429,950.00","431,633.00","332,612.00","11,270.00","725,141.00","1,000,833.00","223,745.93","186,904.00","-186,904.00","1,114,778.00","1,403,733.00","365,484.00","266,440.00","1,000,833.00","777,907.00","777,907.00","625,826.00",0.00,819.93,"11,614,498.00","5,928,460.00","5,686,038.00","10,963,524.00",20.00,"5,608,024.00","96,619.00","5,608,044.00","1,067,567.00","10,963,504.00","5,608,024.00","5,452,099.00","5,062,527.00","432,518.74","432,518.74","19,580.00","589,913.00","-33,273.00","-387,399.00","293,188.00",747.00,"183,558.00",981.00,"1,490,000.00","-1,444,154.00",--,"589,913.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
