Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Interest Income,Interest Expense,Net Interest Income,Net Income from Continuing & Discontinued Operation,Normalized Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"5,656,000.00","3,342,000.00","2,314,000.00","583,000.00","1,731,000.00","-33,000.00",--,"1,704,000.00","393,000.00","1,308,000.00","1,308,000.00",1.75,1.74,"749,000.00","749,000.00","1,737,000.00","3,925,000.00","81,000.00","111,000.00","-33,000.00","1,311,000.00","1,306,383.80","1,815,000.00","3,570,000.00","3,342,000.00","1,755,000.00","1,311,000.00","6,000.00","6,000.00","3,564,000.00",0.00,"1,383.80",,,,,,,,,,,,,,,,"2,932,000.00","-2,199,000.00","-504,000.00","1,079,000.00",--,--,"-1,957,000.00","499,000.00","-6,000.00","-370,000.00","975,000.00"
12/31/2023,"5,914,000.00","3,178,000.00","2,736,000.00","582,000.00","2,154,000.00","-26,000.00",--,"2,128,000.00","503,000.00","1,620,000.00","1,620,000.00",2.14,2.14,"756,000.00","756,000.00","2,154,000.00","3,760,000.00","68,000.00","91,000.00","-26,000.00","1,625,000.00","1,625,000.00","2,219,000.00","3,860,000.00","3,178,000.00","1,641,000.00","1,625,000.00",--,--,"3,860,000.00",0.00,--,"20,415,000.00","7,376,000.00","13,039,000.00","14,625,000.00","13,039,000.00","365,000.00","13,039,000.00","355,000.00","15,200,000.00","13,039,000.00","2,526,000.00","1,205,000.00","751,000.00","751,000.00",--,"3,658,000.00","-2,059,000.00","-1,317,000.00","965,000.00",--,--,"-2,099,000.00",--,"-6,000.00","-406,000.00","1,559,000.00"
12/31/2022,"9,051,000.00","3,050,000.00","6,001,000.00","722,000.00","5,279,000.00","-70,000.00","-40,000.00","5,169,000.00","1,104,000.00","4,057,000.00","4,057,000.00",5.09,5.09,"796,000.00","796,000.00","5,209,000.00","3,772,000.00","47,000.00","113,000.00","-70,000.00","4,065,000.00","4,098,033.00","5,282,000.00","6,917,000.00","3,050,000.00","1,635,000.00","4,065,000.00","-42,000.00","-42,000.00","6,959,000.00",0.00,"-8,967.00","20,154,000.00","7,495,000.00","12,659,000.00","14,840,000.00","12,659,000.00","418,000.00","12,659,000.00","1,018,000.00","14,840,000.00","12,659,000.00","2,599,000.00","1,508,000.00","768,244.61","768,244.61",--,"5,456,000.00","-1,674,000.00","-4,145,000.00","683,000.00",--,--,"-1,710,000.00",--,"-880,000.00","-1,260,000.00","3,746,000.00"
12/31/2021,"3,449,000.00","1,512,000.00","1,937,000.00","371,000.00","1,566,000.00","-62,000.00","-2,000.00","1,502,000.00","344,000.00","1,155,000.00","1,155,000.00",2.30,2.30,"503,000.00","503,000.00","1,564,000.00","1,883,000.00",--,"62,000.00","-62,000.00","1,158,000.00","1,159,542.00","1,564,000.00","2,257,000.00","1,512,000.00","693,000.00","1,158,000.00","-2,000.00","-2,000.00","2,259,000.00",0.00,-458.00,"19,900,000.00","8,162,000.00","11,738,000.00","14,863,000.00","11,738,000.00","338,000.00","11,738,000.00","916,000.00","14,863,000.00","11,738,000.00","3,463,000.00","2,089,000.00","892,612.01","813,529.63","79,082.39","1,667,000.00","313,000.00","-1,086,000.00","1,046,000.00",--,--,"-728,000.00","100,000.00","-290,000.00",--,"939,000.00"
12/31/2020,"1,466,000.00","1,035,000.00","431,000.00","135,000.00","296,000.00","-54,000.00",-779.00,"242,000.00","41,000.00","201,000.00","201,000.00",0.50,0.50,"398,521.00","398,521.00","296,000.00","1,170,000.00",--,"54,000.00","-54,000.00","201,000.00","201,000.00","296,000.00","691,000.00","1,035,000.00","395,000.00","201,000.00",--,--,"691,000.00",0.00,--,"4,524,000.00","2,308,000.00","2,216,000.00","3,162,000.00","2,216,000.00","34,000.00","2,216,000.00","26,000.00","3,350,000.00","2,216,000.00","1,168,000.00","994,000.00","477,828.81","398,871.50","78,957.32","778,000.00","-584,000.00","-256,000.00","152,000.00","10,964.00","57,043.00","-576,000.00","196,000.00","-283,000.00",--,"202,000.00"
12/31/2019,--,--,--,--,--,--,"79,000.00",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"78,957.32",--,--,--,--,"7,808.00","57,475.00",--,--,--,--,--
