Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Free Cash Flow
TTM,"8,457,136.00","4,333,658.00","4,123,478.00","2,608,838.00","1,514,640.00","-314,795.00","-8,615.00","1,191,230.00","156,250.00","1,035,178.00","1,035,178.00",10.96,10.92,"94,384.50","94,790.00","1,527,274.00","6,942,496.00","1,035,178.00","1,025,100.41","104,227.00","419,022.00","-314,795.00","1,610,252.00","3,551,390.00","4,333,658.00","1,941,138.00","1,035,178.00","11,599.00","11,599.00","3,539,791.00",0.00,"1,521.41",,,,,,,,,,,,,,,,"3,293,595.00","-3,494,364.00","-106,554.00","2,034,677.00",--,--,"-2,968,018.00","432,651.00","1,082,092.00","-156,045.00","325,577.00"
12/31/2023,"8,188,136.00","4,227,658.00","3,960,478.00","2,509,838.00","1,450,640.00","-307,795.00","-18,615.00","1,124,230.00","155,250.00","969,178.00","969,178.00",10.35,10.31,"93,615.00","94,009.00","1,443,274.00","6,737,496.00","969,178.00","975,557.66","94,227.00","402,022.00","-307,795.00","1,526,252.00","3,371,390.00","4,227,658.00","1,845,138.00","969,178.00","-7,401.00","-7,401.00","3,378,791.00",0.00,"-1,021.34","32,650,724.00","20,137,225.00","12,513,499.00","25,214,503.00","12,488,894.00","3,723,219.00","5,046,902.00","405,447.00","26,220,788.00","5,046,902.00","17,455,113.00","11,636,182.00","94,629.96","94,479.28",150.68,"3,216,595.00","-3,224,364.00","211,446.00","2,096,309.00","152,988.00","471,456.00","-2,781,018.00","733,651.00","902,092.00","-155,045.00","435,577.00"
12/31/2022,"7,263,105.00","3,751,501.00","3,511,604.00","2,285,261.00","1,226,343.00","-320,069.00","-76,905.00","829,369.00","124,792.00","704,345.00","704,345.00",7.69,7.67,"91,569.00","91,828.00","1,200,528.00","6,036,762.00","704,345.00","726,009.80","36,268.00","356,337.00","-320,069.00","1,185,706.00","2,921,914.00","3,751,501.00","1,736,208.00","704,345.00","-25,488.00","-25,488.00","2,947,402.00",0.00,"-3,823.20","30,310,742.00","18,804,910.00","11,505,832.00","24,258,213.00","11,505,966.00","3,707,460.00","3,954,100.00","1,466,957.00","24,268,060.00","3,954,100.00","16,469,554.00","10,855,673.00","92,813.98","92,620.70",193.27,"2,963,182.00","-3,362,953.00","856,766.00","1,908,248.00","140,312.00","430,217.00","-2,278,004.00","796,018.00","1,870,538.00","-722,143.00","685,178.00"
12/31/2021,"6,635,537.00","3,472,422.00","3,163,115.00","2,043,029.00","1,120,086.00","-333,438.00","-177,696.00","608,952.00","109,224.00","500,191.00","500,191.00",5.57,5.53,"89,772.00","90,409.00","1,108,162.00","5,515,451.00","500,191.00","604,498.23","2,644.00","336,082.00","-333,438.00","945,034.00","2,601,324.00","3,472,422.00","1,656,290.00","500,191.00","-127,049.00","-127,049.00","2,728,373.00",0.00,"-22,741.77","27,918,698.00","17,036,934.00","10,881,764.00","22,452,803.00","10,882,082.00","3,388,718.00","3,574,744.00","1,351,147.00","22,485,890.00","3,574,744.00","14,992,526.00","10,067,450.00","90,872.83","90,571.41",301.42,"2,547,206.00","-3,006,738.00","413,765.00","1,549,454.00","134,411.00","426,439.00","-2,751,512.00","497,870.00","3,878,662.00","-2,873,199.00","-204,306.00"
12/31/2020,"5,998,545.00","3,074,340.00","2,924,205.00","1,809,337.00","1,114,868.00","-397,812.00","-200,831.00","516,225.00","146,151.00","369,777.00","369,777.00",4.22,4.18,"87,700.00","88,410.00","1,052,928.00","4,883,677.00","369,777.00","518,729.45","8,654.00","406,466.00","-397,812.00","922,691.00","2,346,060.00","3,074,340.00","1,423,369.00","369,777.00","-207,744.00","-207,744.00","2,553,804.00",0.00,"-58,791.55","27,006,841.00","16,372,723.00","10,634,118.00","20,939,519.00","10,633,988.00","3,385,333.00","2,990,490.00","584,405.00","21,171,994.00","2,990,490.00","13,923,339.00","8,933,137.00","89,462.30","89,134.25",328.05,"2,309,826.00","-3,426,972.00","815,526.00","1,625,695.00","143,934.00","498,408.00","-2,282,504.00","1,981,375.00","5,182,417.00","-5,308,515.00","27,322.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
