Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Rent Expense Supplemental,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"15,123,300.00","12,298,800.00","2,824,500.00","627,800.00","2,196,700.00","-135,500.00",--,"2,063,100.00","540,000.00","8,200.00","1,356,200.00","1,356,200.00",7.30,7.23,"197,550.00","199,500.00","2,196,700.00","1,207,800.00","12,926,600.00","1,356,200.00","1,354,797.31","89,000.00","219,700.00","-135,500.00","2,282,800.00","2,508,900.00","12,298,800.00","226,100.00","1,356,200.00","1,900.00","1,900.00","2,507,000.00",0.00,497.31,,,,,,,,,,,,,,,,"1,446,300.00","-919,800.00","-475,900.00","2,784,700.00","491,600.00","158,300.00","-100,700.00","645,900.00",--,"-281,800.00","1,345,600.00"
12/31/2023,"14,692,200.00","11,982,700.00","2,709,500.00","604,800.00","2,104,700.00","-113,700.00","1,900.00","1,992,900.00","524,900.00","5,200.00","1,303,300.00","1,303,300.00",6.98,6.91,"199,340.97","201,400.00","2,104,700.00","1,168,800.00","12,587,500.00","1,303,300.00","1,301,899.70","106,700.00","215,600.00","-113,700.00","2,208,500.00","2,419,600.00","11,982,700.00","211,100.00","1,303,300.00","1,900.00","1,900.00","2,417,700.00",0.00,499.70,"28,044,600.00","23,404,900.00","4,639,700.00","8,505,400.00","3,616,300.00","853,000.00","-6,832,900.00","-861,800.00","9,266,800.00","-6,832,900.00","6,503,500.00","1,218,500.00","297,200.00","198,000.00","99,200.00","1,421,900.00","79,100.00","-1,387,800.00","4,432,000.00","474,300.00","162,800.00","-78,400.00",--,--,"-570,800.00","1,343,500.00"
12/31/2022,"14,289,100.00","11,607,900.00","2,681,200.00","597,900.00","2,083,300.00","-134,400.00","-3,500.00","1,945,400.00","546,800.00","5,200.00","1,299,400.00","1,299,400.00",6.40,6.36,"205,600.00","207,000.00","2,083,300.00","1,168,600.00","12,205,800.00","1,299,400.00","1,301,916.50","70,700.00","200,500.00","-134,400.00","2,145,900.00","2,365,300.00","11,607,900.00","219,400.00","1,299,400.00","-3,500.00","-3,500.00","2,368,800.00",0.00,-983.50,"27,002,500.00","22,843,200.00","4,159,300.00","8,829,300.00","3,252,100.00","900,000.00","-6,795,600.00","-439,800.00","8,846,200.00","-6,795,600.00","6,494,100.00","1,312,300.00","297,200.00","202,700.00","94,500.00","926,500.00","-380,900.00","-1,362,000.00","4,281,800.00","450,300.00","173,900.00","-78,200.00",--,--,"-611,400.00","848,300.00"
12/31/2021,"14,289,400.00","11,499,700.00","2,789,700.00","591,800.00","2,197,900.00","-218,700.00","9,600.00","1,988,800.00","488,700.00","7,500.00","1,395,600.00","1,395,600.00",6.57,6.53,"214,300.00","215,600.00","2,197,900.00","1,148,200.00","12,091,500.00","1,395,600.00","1,388,361.60","27,300.00","202,600.00","-218,700.00","2,191,400.00","2,403,500.00","11,499,700.00","212,100.00","1,395,600.00","9,600.00","9,600.00","2,393,900.00",0.00,"2,361.60","28,421,800.00","24,302,800.00","4,119,000.00","8,955,900.00","3,270,200.00","952,100.00","-6,766,400.00","-316,700.00","8,965,500.00","-6,766,400.00","6,647,400.00","378,500.00","297,200.00","209,100.00","88,100.00","1,945,400.00","-709,200.00","-1,391,000.00","5,316,800.00","454,400.00","219,300.00","-665,800.00","1,221,300.00","-1,250,000.00","-527,300.00","1,279,600.00"
12/31/2020,"13,171,100.00","10,989,200.00","2,181,900.00","583,100.00","1,598,800.00","-198,400.00","8,900.00","1,409,300.00","381,700.00","-6,800.00","951,200.00","951,200.00",4.38,4.37,"215,600.00","216,200.00","1,598,800.00","1,138,500.00","11,572,300.00","951,200.00","944,711.90","32,300.00","216,600.00","-198,400.00","1,625,900.00","1,848,500.00","10,989,200.00","222,600.00","951,200.00","8,900.00","8,900.00","1,839,600.00",0.00,"2,411.90","27,647,200.00","24,070,300.00","3,576,900.00","8,891,700.00","3,084,400.00","1,114,000.00","-6,823,800.00","65,000.00","8,895,600.00","-6,823,800.00","6,925,200.00","210,700.00","297,200.00","215,000.00","82,200.00","1,724,600.00","-136,100.00","-408,400.00","5,600,500.00","376,500.00","205,500.00","-75,400.00","1,186,600.00","-600,000.00","-222,000.00","1,649,200.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
