Date,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
12/31/2023,"527,854,000.00","325,979,000.00","201,875,000.00","260,189,000.00","201,875,000.00","77,297,000.00","171,399,000.00","7,434,000.00","260,189,000.00","171,399,000.00","135,611,000.00",--,"10,898,000.00","10,383,000.00","515,000.00","84,946,000.00","-49,833,000.00","-15,879,000.00","73,890,000.00","11,179,000.00","3,112,000.00","-52,729,000.00","18,129,000.00","-33,737,000.00",--,"32,217,000.00"
12/31/2022,"462,675,000.00","316,632,000.00","146,043,000.00","213,193,000.00","146,043,000.00","72,968,000.00","119,658,000.00","-8,602,000.00","213,193,000.00","119,658,000.00","140,118,000.00","13,262,000.00","10,757,000.00","10,242,000.00","515,000.00","46,752,000.00","-37,601,000.00","9,718,000.00","54,253,000.00","6,035,000.00","2,142,000.00","-63,645,000.00","62,719,000.00","-46,753,000.00","-6,000,000.00","-16,893,000.00"
12/31/2021,"420,549,000.00","282,304,000.00","138,245,000.00","186,989,000.00","138,245,000.00","67,651,000.00","117,767,000.00","19,314,000.00","186,989,000.00","117,767,000.00","116,395,000.00","12,524,000.00","10,640,000.00","10,180,000.00","460,000.00","46,327,000.00","-58,154,000.00","6,291,000.00","36,477,000.00","3,688,000.00","1,772,000.00","-61,053,000.00","26,959,000.00","-20,506,000.00",--,"-14,726,000.00"
12/31/2020,"321,195,000.00","227,791,000.00","93,404,000.00","125,220,000.00","93,404,000.00","52,573,000.00","73,406,000.00","6,348,000.00","125,220,000.00","73,406,000.00","84,389,000.00",--,"10,540,000.00","10,060,000.00","480,000.00","66,064,000.00","-59,611,000.00","-1,104,000.00","42,377,000.00","1,713,000.00","1,630,000.00","-40,140,000.00","17,321,000.00","-18,425,000.00",--,"25,924,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,
TTM,,,,,,,,,,,,,,,,"107,952,000.00","-64,354,000.00","-21,440,000.00","72,225,000.00","12,983,000.00","2,707,000.00","-59,612,000.00","1,813,000.00","-22,947,000.00",--,"48,340,000.00"
