Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,21371000.0,18930000.0,2441000.0,4097000.0,-1656000.0,-23000.0,-49000.0,-1728000.0,-196000.0,-7000.0,-1539000.0,-10000.0,-1539000.0,-1.41,-1.41,1102000.0,1102000.0,-1690000.0,23027000.0,-1539000.0,-1501763.89,532000.0,555000.0,-23000.0,-1173000.0,6558000.0,18930000.0,7731000.0,-1539000.0,-42000.0,-42000.0,6600000.0,0.0,-4763.89,60766000.0,16527000.0,44239000.0,51713500.0,44239000.0,1426750.0,42653500.0,13883500.0,51788500.0,42653500.0,8976250.0,3472000.0,1218750.0,1106000.0,112750.0,5351000.0,-5541000.0,-1480000.0,7700000.0,388250.0,203250.0,-6727000.0,999000.0,-1871000.0,-1058250.0,-1376000.0
8/31/2023,15540000.0,16956000.0,-1416000.0,4043000.0,-5459000.0,80000.0,-279000.0,-5658000.0,177000.0,2000.0,-5833000.0,-7000.0,-5833000.0,-5.34,-5.34,1093000.0,1093000.0,-5745000.0,20999000.0,-5833000.0,-5600740.0,468000.0,388000.0,80000.0,-5270000.0,2486000.0,16956000.0,7756000.0,-5833000.0,-294000.0,-294000.0,2780000.0,0.0,-61740.0,64254000.0,20134000.0,44120000.0,56063000.0,44120000.0,1884000.0,42566000.0,16479000.0,56169000.0,42566000.0,13933000.0,3472000.0,1239000.0,1098000.0,141000.0,1559000.0,-6191000.0,4983000.0,8656000.0,532000.0,323000.0,-7676000.0,6716000.0,-761000.0,-425000.0,-6117000.0
8/31/2022,30758000.0,16860000.0,13898000.0,4189000.0,9709000.0,-93000.0,-45000.0,9571000.0,888000.0,4000.0,8687000.0,-7000.0,8687000.0,7.81,7.75,1112000.0,1122000.0,9702000.0,21049000.0,8687000.0,8745048.0,96000.0,189000.0,-93000.0,9760000.0,16876000.0,16860000.0,7116000.0,8687000.0,-64000.0,-64000.0,16940000.0,0.0,-5952.0,66283000.0,16376000.0,49907000.0,55927000.0,49907000.0,1496000.0,48258000.0,14242000.0,55927000.0,48258000.0,7516000.0,3472000.0,1226000.0,1094000.0,132000.0,15181000.0,-11585000.0,-2980000.0,8339000.0,493000.0,154000.0,-12067000.0,2000000.0,-2032000.0,-2432000.0,3114000.0
8/31/2021,27705000.0,17282000.0,10423000.0,3676000.0,6747000.0,-146000.0,-383000.0,6218000.0,394000.0,37000.0,5861000.0,-7000.0,5861000.0,5.23,5.14,1120000.0,1141000.0,6283000.0,20958000.0,5861000.0,6219871.0,37000.0,183000.0,-146000.0,6401000.0,12615000.0,17282000.0,6214000.0,5861000.0,-383000.0,-383000.0,12998000.0,0.0,-24129.0,58849000.0,14916000.0,43933000.0,49905000.0,43933000.0,1308000.0,42356000.0,13483000.0,49905000.0,42356000.0,7280000.0,3472000.0,1216000.0,1119000.0,97000.0,12468000.0,-10589000.0,-1781000.0,7829000.0,361000.0,171000.0,-10030000.0,1188000.0,-1520000.0,-1200000.0,2438000.0
8/31/2020,21435000.0,14883000.0,6552000.0,3492000.0,3060000.0,-80000.0,3000.0,2983000.0,280000.0,7000.0,2687000.0,-4000.0,2683000.0,2.42,2.37,1110000.0,1131000.0,3003000.0,18375000.0,2687000.0,2682470.0,114000.0,194000.0,-80000.0,3177000.0,8827000.0,14883000.0,5650000.0,2687000.0,5000.0,5000.0,8822000.0,0.0,470.0,53678000.0,14682000.0,38996000.0,44959000.0,38996000.0,1019000.0,37434000.0,11330000.0,45153000.0,37434000.0,7176000.0,3472000.0,1194000.0,1113000.0,81000.0,8306000.0,-7589000.0,-317000.0,7690000.0,167000.0,165000.0,-8223000.0,5000000.0,-4366000.0,-176000.0,83000.0
