Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"5,403,100.00","3,069,400.00","2,333,700.00","3,415,900.00","-1,082,200.00","-73,800.00","-2,530,100.00","-3,686,100.00","114,100.00","-3,800,200.00","-3,800,200.00",-22.31,-22.31,"170,825.00","170,825.00","-3,571,200.00","6,485,300.00","-3,800,200.00","-1,801,421.00","47,341.00","139,400.00","-73,800.00","-3,546,700.00","-1,831,400.00","1,529,700.00","1,715,300.00","-3,800,200.00","-2,530,100.00","-2,530,100.00","698,700.00",0.00,"-531,321.00",,,,,,,,,,,,,,,,"-212,100.00","-101,000.00","525,900.00","1,473,500.00","27,998.00","4,750.00","-145,300.00","43,900.00","948,500.00","-358,300.00",--,"-357,400.00"
3/31/2024,"5,349,600.00","3,107,800.00","2,241,800.00","3,385,700.00","-1,143,900.00","-75,000.00","-2,483,900.00","-3,702,800.00","41,400.00","-3,744,200.00","-3,744,200.00",-22.01,-22.01,"170,100.00","170,100.00","-3,590,600.00","6,493,500.00","-3,744,200.00","-1,781,919.00","65,600.00","140,600.00","-75,000.00","-3,562,200.00","-1,800,600.00","1,517,400.00","1,761,600.00","-3,744,200.00","-2,483,900.00","-2,483,900.00","683,300.00",0.00,"-521,619.00","12,216,900.00","6,549,000.00","5,667,900.00","8,726,200.00","5,667,900.00","451,100.00","-3,265,600.00","-146,700.00","8,750,800.00","-3,265,600.00","3,534,000.00","2,328,900.00","194,500.00","170,800.00","23,700.00","-16,100.00","-28,200.00","-91,400.00","1,102,000.00","150,200.00","137,000.00","-141,700.00","39,400.00","1,348,900.00","-1,339,600.00",--,"-157,800.00"
3/31/2023,"5,349,900.00","3,064,600.00","2,285,300.00","3,435,900.00","-1,150,600.00","-110,100.00","-77,400.00","-1,338,100.00","-213,400.00","-1,124,700.00","-1,124,700.00",-7.03,-7.03,"159,900.00","159,900.00","-1,165,200.00","6,500,500.00","-1,124,700.00","-1,059,606.60","33,800.00","143,900.00","-110,100.00","-1,194,200.00","582,500.00","1,410,200.00","1,776,700.00","-1,124,700.00","-77,400.00","-77,400.00","659,900.00",0.00,"-12,306.60","15,862,100.00","6,819,600.00","9,042,500.00","10,775,500.00","9,042,500.00","407,200.00","-3,250,000.00","-1,343,500.00","12,122,300.00","-3,250,000.00","3,487,000.00","2,252,400.00","192,600.00","168,900.00","23,700.00","1,100.00","-2,876,300.00","1,930,300.00","1,234,600.00","176,800.00","79,000.00","-204,200.00","65,400.00","3,248,900.00","-1,366,800.00",--,"-203,100.00"
3/31/2022,"3,504,800.00","1,535,400.00","1,969,400.00","1,495,000.00","474,400.00","-6,900.00","-2,100.00","465,400.00","47,400.00","418,000.00","418,000.00",3.62,3.58,"115,485.00","116,775.00","473,600.00","3,030,400.00","418,000.00","419,885.80","17,600.00","24,500.00","-6,900.00","489,900.00","747,000.00","1,339,400.00","257,100.00","418,000.00","-2,100.00","-2,100.00","749,100.00",0.00,-214.20,"6,546,300.00","2,736,600.00","3,809,700.00","3,809,700.00","3,809,700.00","250,200.00","2,112,700.00","1,766,100.00","3,809,700.00","2,112,700.00","250,200.00",--,"139,048.00","115,367.00","23,681.00","258,000.00","139,200.00","-256,800.00","2,195,400.00","31,000.00",--,"-158,600.00","19,700.00",--,-200.00,"-200,000.00","99,400.00"
3/31/2021,"3,372,800.00","1,535,100.00","1,837,700.00","1,208,300.00","629,400.00","8,100.00","40,300.00","677,800.00","88,900.00","588,900.00","588,900.00",5.14,5.09,"114,602.00","115,744.00","629,400.00","2,743,400.00","588,900.00","553,879.30","18,700.00","10,600.00","8,100.00","688,400.00","890,800.00","1,388,300.00","202,400.00","588,900.00","40,300.00","40,300.00","850,500.00",0.00,"5,279.30","6,028,218.00","2,696,326.00","3,331,892.00","3,331,892.00","3,331,892.00","191,266.00","2,184,103.00","1,985,800.00","3,331,892.00","2,184,103.00","191,266.00",--,"137,584.00","115,163.00","22,421.00","912,300.00","-806,800.00","-57,400.00","2,060,200.00","70,700.00","1,900.00","-68,900.00","14,200.00",--,--,--,"843,400.00"
3/31/2020,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
