Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,1710214.0,244913.0,1465301.0,632482.0,832819.0,-135860.0,150197.0,847156.0,2105.0,518318.0,783.0,518318.0,8.19,8.19,64188.87,64191.46,531934.0,877395.0,518318.0,399662.37,88453.0,224313.0,-135860.0,1071469.0,1632188.0,244913.0,560719.0,518318.0,150197.0,150197.0,1481991.0,0.0,31541.37,12667095.5,6673332.0,5993763.5,11860666.25,5783282.75,69624.75,5783282.75,51141.25,11958998.75,5783282.75,6245340.75,6038942.75,64763.877499999995,64763.877499999995,1025519.0,-732941.0,-297541.0,64151.0,213500.0,-145328.0,72539.0,1309025.0,-969954.0,-347.0,880191.0
12/31/2023,1669395.0,231679.0,1437716.0,612609.0,825107.0,-166646.0,71919.0,730380.0,2105.0,405825.0,783.0,405825.0,6.32,6.32,64252.23,64253.39,584342.0,844288.0,405825.0,349008.99,46259.0,212905.0,-166646.0,943285.0,1491723.0,231679.0,548438.0,405825.0,71919.0,71919.0,1419804.0,0.0,15102.99,12361427.0,6735244.0,5626183.0,11628481.0,5422746.0,65091.0,5422746.0,309995.0,11628481.0,5422746.0,6270826.0,5813986.0,64203.5,64203.5,980064.0,-145140.0,-477271.0,400334.0,207038.0,-140371.0,72539.0,1442046.0,-1198548.0,-96004.0,839693.0
12/31/2022,1606814.0,224622.0,1382192.0,585660.0,796532.0,-223838.0,143642.0,716336.0,-10236.0,408315.0,783.0,408315.0,6.27,6.27,65079.76,65098.19,595229.0,810282.0,408315.0,294837.82,64150.6,223838.0,-223838.0,940174.0,1479493.0,224622.0,539319.0,408315.0,143642.0,143642.0,1335851.0,0.0,30164.82,12372905.0,6450639.0,5922266.0,11622483.0,5716372.0,68696.0,5716372.0,-131390.0,11674556.0,5716372.0,6026880.0,5924889.0,64604.6,64604.6,975649.0,145958.0,-1137564.0,42681.0,198323.0,-163193.0,72539.0,1376452.0,-1730178.0,-190040.0,812456.0
12/31/2021,1440556.0,216578.0,1223978.0,587572.0,636406.0,-104381.0,248535.0,780560.0,15668.0,488554.0,783.0,488554.0,7.51,7.51,65051.47,65088.87,529995.0,804150.0,488554.0,307123.45,98744.0,203125.0,-104381.0,983685.0,1503751.0,216578.0,520066.0,488554.0,248535.0,248535.0,1255216.0,0.0,67104.45,12997873.0,6786699.0,6211174.0,11939756.0,5993603.0,70675.0,5993603.0,-102857.0,12281013.0,5993603.0,6358085.0,6238990.0,65248.39,65248.39,905259.0,-397397.0,-533265.0,58638.0,194203.0,-121195.0,72539.0,1796094.0,-1762833.0,-9627.0,784064.0
12/31/2020,1495748.0,211584.0,1284164.0,590885.0,693279.0,-179634.0,350607.0,864252.0,1531.0,568870.0,783.0,569653.0,8.69,8.69,65454.06,65564.98,491441.0,802469.0,568870.0,218884.09,40999.0,220633.0,-179634.0,1084885.0,1610382.0,211584.0,525497.0,568870.0,350607.0,350607.0,1259775.0,0.0,621.09,12936177.0,6720746.0,6215431.0,12251945.0,6000410.0,74037.0,6000410.0,128817.0,12251945.0,6000410.0,6325572.0,6177906.0,64999.02,64999.02,803108.0,-416900.0,-383261.0,84041.0,211732.0,-90085.0,72539.0,2491234.0,-2009635.0,-269611.0,713023.0
12/31/2019,1584545.4,225875.2,1358670.2,601841.6,756828.6,-162071.8,192980.0,787736.8,1457.0,477976.4,783.0,478133.0,7.395999999999999,7.395999999999999,64805.278000000006,64839.378000000004,546588.2,827716.8,477976.4,313903.344,46298.0,216962.8,-162071.8,1004699.6,1543507.4,225875.2,538807.8,477976.4,192980.0,192980.0,1350527.4,0.0,28906.944,12667095.5,6673332.0,5993763.5,11860666.25,5783282.75,69624.75,5783282.75,51141.25,11958998.75,5783282.75,6245340.75,6038942.75,64763.877499999995,64763.877499999995,937919.8,-309284.0,-565780.4,129969.0,204959.2,-132034.4,72539.0,1682970.2,-1534229.6,-113125.8,805885.4
