Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Free Cash Flow
TTM,2174346.0,1441196.0,733150.0,58489.0,674661.0,-156856.0,14907.0,532712.0,3754.0,1914.0,513005.0,384.75,513229.0,4.4,4.4,116684.0,116729.5,1499685.0,516910.0,517010.29,156856.0,-156856.0,689568.0,1265926.0,1441196.0,576358.0,516910.0,-101.0,-101.0,1266027.0,0.0,-0.71,11301410.25,5102050.75,6199359.5,10342230.0,9.0,6005338.5,28007.5,6005022.5,-655397.25,10513971.0,6005013.5,4522636.25,4468764.25,115471.26749999999,115471.26749999999,867.85,1132731.0,-812269.0,-407687.0,76500.0,3862.0,156030.0,-506808.0,1295.0,744551.0,-912131.0,625923.0
12/31/2023,2148468.0,1400988.0,747480.0,58578.0,688902.0,-149234.0,31177.0,570845.0,4744.0,1730.0,548894.0,224.0,549118.0,4.71,4.71,116521.0,116645.0,1459566.0,552806.0,552813.93,149234.0,-149234.0,720079.0,1285936.0,1400988.0,565857.0,552806.0,-8.0,-8.0,1285944.0,0.0,-0.07,11484503.0,5185381.0,6299122.0,10158463.0,9.0,6113229.0,27344.0,6113238.0,-1006184.0,10653454.0,6113229.0,4567569.0,4498911.0,116694.12,116694.12,867.85,1137187.0,-775262.0,-367905.0,55091.0,4002.0,157566.0,-539376.0,205070.0,714522.3333333334,-353861.0,597811.0
12/31/2022,2019866.0,1332155.0,687711.0,58833.0,628878.0,-154747.0,172858.0,646989.0,-6208.0,1579.0,633310.0,438.0,633748.0,5.49,5.48,115344.0,115583.0,1390988.0,637436.0,467134.91,154747.0,-154747.0,801736.0,1345740.0,1332155.0,544004.0,637436.0,215571.0,215571.0,1130169.0,0.0,45269.91,11241165.0,5030746.0,6210419.0,10420663.0,9.0,6025751.0,28671.0,6025760.0,-496944.0,10440654.0,6025751.0,4443574.0,4376244.0,115480.34,115480.34,867.85,1058479.0,-405236.0,-722770.0,61071.0,3490.0,157497.0,-468300.0,1083.0,714522.3333333334,-126401.0,590179.0
12/31/2021,1778082.0,1260330.0,517752.0,52884.0,464868.0,-156881.0,255141.0,563128.0,13637.0,1211.0,529564.0,539.0,530103.0,4.62,4.61,114717.0,115039.0,1313214.0,533791.0,317909.64,156881.0,-156881.0,720009.0,1254424.0,1260330.0,534415.0,533791.0,221239.0,221239.0,1033185.0,0.0,5357.64,11285182.0,5101090.0,6184092.0,10512052.0,9.0,5995353.0,28007.5,5995362.0,-453802.0,10512043.0,5995353.0,4516690.0,4462388.0,115336.88,115336.88,867.85,894967.0,-253586.0,-546398.0,130598.0,2543.0,158630.0,-511277.0,645.0,594423.0,-467153.0,383690.0
12/31/2020,1677984.0,1203613.0,474371.0,46858.0,427513.0,-167562.0,5890.0,265841.0,3327.0,1501.0,250936.0,338.0,251274.0,2.2,2.19,114188.0,114500.0,1250471.0,254962.0,253941.93,167562.0,-167562.0,433403.0,945081.0,1203613.0,511678.0,254962.0,1033.0,1033.0,944048.0,0.0,12.93,11194791.0,5090986.0,6103805.0,10277742.0,9.0,5887021.0,28007.5,5885730.0,-664659.0,10449733.0,5885721.0,4562712.0,4537514.0,114373.73,114373.73,867.85,823949.0,-484731.0,-374144.0,35615.0,2549.0,165098.0,-225506.0,52023.25,804593.0,-696108.0,598443.0
12/31/2019,1959749.2,1327656.4,632092.8,55128.4,576964.4,-157056.0,95994.6,515903.0,3850.8,1587.0,495141.8,384.75,495494.4,4.284,4.2780000000000005,115490.8,115699.3,1382784.8,499181.0,421762.14,157056.0,-157056.0,672959.0,1219421.4,1327656.4,546462.4,499181.0,87546.8,87546.8,1131874.6,0.0,10127.94,11301410.25,5102050.75,6199359.5,10342230.0,9.0,6005338.5,28007.5,6005022.5,-655397.25,10513971.0,6005013.5,4522636.25,4468764.25,115471.26749999999,115471.26749999999,867.85,1009462.6,-546216.8,-483780.8,71775.0,3289.2,158964.2,-450253.4,52023.25,714522.3333333334,-511130.8,559209.2
