Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"35,976,000.00","21,465,000.00","14,511,000.00","8,257,000.00","6,254,000.00","-218,000.00","-10,000.00","6,026,000.00","1,538,000.00","-531,000.00","3,947,000.00","3,947,000.00",2.92,2.91,"1,353,500.00","1,360,000.00","6,153,000.00","29,722,000.00","3,947,000.00","4,022,966.81","286,000.00","504,000.00","-218,000.00","6,530,000.00","7,788,000.00","20,357,000.00","1,258,000.00","3,947,000.00","-102,000.00","-102,000.00","7,890,000.00",0.00,"-26,033.19",,,,,,,,,,,,,,,,"4,887,000.00","715,000.00","-5,623,000.00","1,532,000.00",--,--,"-1,283,000.00","1,204,000.00","-2,695,000.00","-2,025,000.00","3,604,000.00"
12/31/2023,"36,016,000.00","22,252,000.00","13,764,000.00","8,153,000.00","5,611,000.00","-309,000.00","578,000.00","5,880,000.00","1,537,000.00","625,000.00","4,959,000.00","4,959,000.00",3.64,3.62,"1,363,000.00","1,370,000.00","5,502,000.00","30,405,000.00","4,959,000.00","4,592,456.00","241,000.00","550,000.00","-309,000.00","6,430,000.00","7,645,000.00","21,188,000.00","1,215,000.00","4,959,000.00","496,000.00","496,000.00","7,149,000.00",0.00,"129,456.00","71,391,000.00","43,025,000.00","28,366,000.00","45,219,000.00","28,332,000.00","537,000.00","-15,400,000.00","-7,310,000.00","47,740,000.00","-15,400,000.00","19,945,000.00","17,598,000.00","1,996,537.78","1,348,482.71","648,055.07","4,714,000.00","2,812,000.00","-7,558,000.00","1,884,000.00","1,607,000.00","568,000.00","-1,112,000.00","344,000.00","-4,368,000.00","-1,547,000.00","3,602,000.00"
12/31/2022,"31,496,000.00","20,184,000.00","11,312,000.00","7,516,000.00","3,796,000.00","-294,000.00","-274,000.00","3,228,000.00","865,000.00","363,000.00","2,717,000.00","2,717,000.00",1.97,1.96,"1,378,000.00","1,385,000.00","3,534,000.00","27,700,000.00","2,717,000.00","3,003,212.00","134,000.00","428,000.00","-294,000.00","3,656,000.00","4,763,000.00","19,209,000.00","1,107,000.00","2,717,000.00","-391,000.00","-391,000.00","5,154,000.00",0.00,"-104,788.00","71,161,000.00","44,241,000.00","26,920,000.00","47,134,000.00","26,883,000.00","514,000.00","-16,277,000.00","-6,640,000.00","49,816,000.00","-16,277,000.00","23,447,000.00","21,010,000.00","1,996,537.78","1,365,891.09","630,646.69","3,908,000.00","-4,888,000.00","-456,000.00","1,948,000.00","1,103,000.00","551,000.00","-906,000.00","6,404,000.00","-3,032,000.00","-2,017,000.00","3,002,000.00"
12/31/2021,"28,720,000.00","17,466,000.00","11,254,000.00","6,397,000.00","4,857,000.00","-310,000.00","-178,000.00","4,369,000.00","1,190,000.00","1,135,000.00","4,300,000.00","4,300,000.00",3.06,3.04,"1,403,000.00","1,413,000.00","4,653,000.00","23,863,000.00","4,300,000.00","4,548,248.00","55,000.00","365,000.00","-310,000.00","4,734,000.00","5,847,000.00","16,487,000.00","1,113,000.00","4,300,000.00","-341,000.00","-341,000.00","6,188,000.00",0.00,"-92,752.00","67,092,000.00","38,769,000.00","28,323,000.00","45,662,000.00","28,269,000.00","698,000.00","-12,000,000.00","-3,666,000.00","47,542,000.00","-12,000,000.00","19,971,000.00","15,727,000.00","1,996,537.78","1,391,630.54","604,907.24","4,141,000.00","-26,000.00","-4,069,000.00","3,553,000.00","1,556,000.00","426,000.00","-965,000.00","6,115,000.00","-6,247,000.00","-2,110,000.00","3,176,000.00"
12/31/2020,"26,581,000.00","16,135,000.00","10,446,000.00","6,292,000.00","4,154,000.00","-423,000.00","-348,000.00","3,383,000.00","1,224,000.00","1,410,000.00","3,555,000.00","3,555,000.00",2.48,2.47,"1,431,000.00","1,441,000.00","3,853,000.00","22,427,000.00","3,555,000.00","3,930,782.00",--,"423,000.00","-423,000.00","3,806,000.00","4,922,000.00","15,213,000.00","1,116,000.00","3,555,000.00","-589,000.00","-589,000.00","5,511,000.00",0.00,"-213,218.00","67,810,000.00","40,156,000.00","27,654,000.00","44,672,000.00","27,578,000.00","726,000.00","-12,799,000.00","-5,180,000.00","47,368,000.00","-12,799,000.00","20,516,000.00","16,171,000.00","1,996,537.78","1,419,174.22","577,363.56","3,964,000.00","500,000.00","-2,215,000.00","3,650,000.00","1,264,000.00","413,000.00","-863,000.00","7,890,000.00","-7,168,000.00","-1,390,000.00","3,101,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,
