Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,46815000.0,16901000.0,29914000.0,15610000.0,14304000.0,-2907000.0,-1277000.0,10120000.0,4633000.0,5095000.0,5095000.0,1.19,1.16,4489000.0,4636000.0,13076000.0,32511000.0,5095000.0,6448430.0,53000.0,3442000.0,-2907000.0,13562000.0,21893000.0,11349000.0,8331000.0,5487000.0,-1217000.0,-1217000.0,23110000.0,0.0,-255570.0,74403250.0,50506500.0,23896750.0,62973250.0,27666.666666666668,23883250.0,57666.666666666664,-29427750.0,10180750.0,63724000.0,-29441250.0,39884000.0,28244250.0,4130000.0,4130000.0,4000.0,19186000.0,-23062000.0,1773000.0,9952000.0,2514000.0,2909000.0,-531000.0,123000.0,34985000.0,-12279000.0,-11765000.0,18655000.0
10/31/2023,35819000.0,11129000.0,24690000.0,8239000.0,16451000.0,-1087000.0,-267000.0,15097000.0,1015000.0,14082000.0,14082000.0,3.39,3.3,4150000.0,4270000.0,16207000.0,19368000.0,14082000.0,14299389.0,535000.0,1622000.0,-1087000.0,16719000.0,20554000.0,8688000.0,3835000.0,14082000.0,-233000.0,-233000.0,20787000.0,0.0,-15611.0,72861000.0,48873000.0,23988000.0,61605000.0,27666.666666666668,23988000.0,49000.0,-23532000.0,13442000.0,63168000.0,-23532000.0,39229000.0,24991000.0,4140000.0,4140000.0,4000.0,18085000.0,-689000.0,-15623000.0,14189000.0,1782000.0,1503000.0,-452000.0,122000.0,18656500.0,-403000.0,-7685000.0,17633000.0
10/31/2022,33203000.0,11108000.0,22095000.0,7813000.0,14282000.0,-1637000.0,-211000.0,12434000.0,939000.0,11223000.0,11223000.0,2.74,2.65,4100250.54,4240601.42,14225000.0,18921000.0,11495000.0,11704050.0,100000.0,1737000.0,-1637000.0,14171000.0,19155000.0,7636000.0,4984000.0,11495000.0,-226000.0,-226000.0,19381000.0,0.0,-16950.0,73249000.0,50540000.0,22709000.0,61762000.0,27666.666666666668,22709000.0,59000.0,-28016000.0,11452000.0,62165000.0,-28016000.0,39515000.0,27040000.0,4180000.0,4180000.0,4000.0,16736000.0,-667000.0,-15816000.0,12416000.0,908000.0,1386000.0,-424000.0,114000.0,1935000.0,-2361000.0,-8455000.0,16312000.0
10/31/2021,27450000.0,10606000.0,16844000.0,8177000.0,8667000.0,-1869000.0,-33000.0,6765000.0,29000.0,6437000.0,6437000.0,1.57,1.5,4110275.61,4300751.79,8519000.0,18783000.0,6736000.0,6784804.0,16000.0,1885000.0,-1869000.0,8650000.0,14691000.0,6541000.0,6041000.0,6736000.0,-49000.0,-49000.0,14740000.0,0.0,-196.0,75570000.0,50581000.0,24989000.0,64390000.0,27000.0,24962000.0,65000.0,-29835000.0,10305000.0,64627000.0,-29862000.0,39730000.0,27502000.0,4130000.0,4130000.0,4000.0,13764000.0,-245000.0,-8974000.0,12163000.0,775000.0,1565000.0,-443000.0,170000.0,9904000.0,-11495000.0,-1299000.0,13321000.0
10/31/2020,23888000.0,10372000.0,13516000.0,9304000.0,4212000.0,-1724000.0,-45000.0,2443000.0,-518000.0,2663000.0,2663000.0,0.66,0.63,4030075.11,4220551.29,4014000.0,19676000.0,2960000.0,3001188.0,53000.0,1777000.0,-1724000.0,4220000.0,11125000.0,5868000.0,6905000.0,2961000.0,-51000.0,-51000.0,11176000.0,0.0,-10812.0,75933000.0,52032000.0,23901000.0,64136000.0,27000.0,23874000.0,57666.666666666664,-36328000.0,5524000.0,64936000.0,-36355000.0,41062000.0,33444000.0,4070000.0,4070000.0,4000.0,12061000.0,-11109000.0,1611000.0,7618000.0,501000.0,1408000.0,-463000.0,276000.0,27802000.0,-20099000.0,-765000.0,11598000.0
10/31/2019,33435000.0,12023200.0,21411800.0,9828600.0,11583200.0,-1844800.0,-366600.0,9371800.0,1219600.0,7900000.0,7900000.0,1.9100000000000001,1.848,4175920.2519999994,4333580.9,11208200.0,21851800.0,8073600.0,8447572.2,151400.0,2092600.0,-1844800.0,11464400.0,17483600.0,8016400.0,6019200.0,8152200.0,-355200.0,-355200.0,17838800.0,0.0,-59827.8,74403250.0,50506500.0,23896750.0,62973250.0,29000.0,23883250.0,57666.666666666664,-29427750.0,10180750.0,63724000.0,-29441250.0,39884000.0,28244250.0,4130000.0,4130000.0,4000.0,15966400.0,-7154400.0,-7405800.0,11267600.0,1296000.0,1754200.0,-462600.0,161000.0,18656500.0,-9327400.0,-5993800.0,15503800.0
