Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Normalized EBITDA,Tax Rate for Calcs,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,12821000.0,8424000.0,4397000.0,2769000.0,1628000.0,-225000.0,-232000.0,1171000.0,299000.0,2000.0,907000.0,907000.0,2.66,2.64,342086.33,344065.22,1628000.0,11193000.0,907000.0,863000.0,67000.0,326000.0,-225000.0,1497000.0,1871000.0,8424000.0,374000.0,863000.0,1871000.0,0.0,17572750.0,13674000.0,3898750.0,9340500.0,3487000.0,627000.0,-4308000.0,-1892500.0,10242750.0,-4308000.0,7382750.0,6432250.0,421149.28500000003,341913.975,79235.3125,1741000.0,-672000.0,-1101000.0,276000.0,320000.0,243250.0,-635000.0,60000.0,1320000.0,-1592000.0,-110000.0,1106000.0
12/31/2023,13122000.0,8839000.0,4283000.0,2778000.0,1505000.0,-202000.0,-263000.0,1040000.0,258000.0,6000.0,951000.0,951000.0,2.78,2.76,342086.33,344565.22,1505000.0,11617000.0,951000.0,775000.0,101000.0,303000.0,-202000.0,1343000.0,1762000.0,8839000.0,419000.0,775000.0,1762000.0,0.0,15621000.0,12252000.0,3369000.0,8264000.0,3175000.0,653000.0,-3915000.0,-1730000.0,9048000.0,-3915000.0,6526000.0,5599000.0,421326.36,340588.19,80738.17,1645000.0,-562000.0,-1110000.0,274000.0,322000.0,291000.0,-677000.0,60000.0,1102000.0,-1161000.0,-170000.0,968000.0
12/31/2022,12653000.0,8842000.0,3811000.0,2600000.0,1211000.0,-168000.0,-141000.0,902000.0,180000.0,9000.0,960000.0,960000.0,2.81,2.79,341000.0,344000.0,1211000.0,11442000.0,960000.0,729000.0,33000.0,201000.0,-168000.0,1103000.0,1581000.0,8842000.0,478000.0,729000.0,1581000.0,0.0,18496000.0,14121000.0,4375000.0,9258000.0,3941000.0,600000.0,-3679000.0,-2163000.0,10505000.0,-3679000.0,7164000.0,6265000.0,421209.89,341799.93,79409.97,1651000.0,-448000.0,-1081000.0,299000.0,312000.0,220000.0,-488000.0,277000.0,404000.0,-683000.0,-300000.0,1163000.0
12/31/2021,11747000.0,7929000.0,3818000.0,2435000.0,1383000.0,-205000.0,274000.0,1452000.0,353000.0,3000.0,1488000.0,1488000.0,4.36,4.33,341000.0,343000.0,1383000.0,10364000.0,1488000.0,1096000.0,67000.0,205000.0,-205000.0,1657000.0,2124000.0,7929000.0,467000.0,1096000.0,2124000.0,0.0,18178000.0,13963000.0,4215000.0,9982000.0,3720000.0,618000.0,-4460000.0,-1921000.0,10831000.0,-4460000.0,7729000.0,6825000.0,421098.8,341377.24,79721.56,1701000.0,-528000.0,-1306000.0,286000.0,365000.0,213000.0,-553000.0,63000.0,434000.0,-740000.0,-240000.0,1148000.0
12/31/2020,13770000.0,9043000.0,4727000.0,2966000.0,1761000.0,-281000.0,121000.0,1601000.0,323000.0,-14000.0,1251000.0,1251000.0,3.65,3.63,343000.0,345000.0,1761000.0,12009000.0,1251000.0,1251000.0,67000.0,281000.0,-281000.0,1882000.0,2361000.0,9043000.0,479000.0,1251000.0,2361000.0,0.0,17996000.0,14360000.0,3636000.0,9858000.0,3112000.0,637000.0,-5178000.0,-1756000.0,10587000.0,-5178000.0,8112000.0,7040000.0,420962.09,343890.54,77071.55,1986000.0,-585000.0,-1388000.0,435000.0,281000.0,249000.0,-505000.0,112000.0,601000.0,-1279000.0,-205000.0,1481000.0
12/31/2019,12822600.0,8615400.0,4207200.0,2709600.0,1497600.0,-216200.0,-48200.0,1233200.0,282600.0,1200.0,1111400.0,1111400.0,3.252,3.2300000000000004,341834.532,344126.088,1497600.0,11325000.0,1111400.0,942800.0,67000.0,263200.0,-216200.0,1496400.0,1939800.0,8615400.0,443400.0,942800.0,1939800.0,0.0,17572750.0,13674000.0,3898750.0,9340500.0,3487000.0,627000.0,-4308000.0,-1892500.0,10242750.0,-4308000.0,7382750.0,6432250.0,421149.28500000003,341913.975,79235.3125,1744800.0,-559000.0,-1197200.0,314000.0,320000.0,243250.0,-571600.0,114400.0,772200.0,-1091000.0,-205000.0,1173200.0
