Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,145533000.0,118787000.0,26747000.0,28155000.0,-1408000.0,-506000.0,-11680000.0,-13596000.0,-987000.0,30000.0,-5811000.0,-5811000.0,-6.74,-6.74,863050.0,863050.0,-13550000.0,146942000.0,-5811000.0,5660073.92,506000.0,-506000.0,-13090000.0,-10648000.0,118787000.0,2442000.0,-5811000.0,-12369000.0,-12369000.0,1721000.0,0.0,-897926.08,88802750.0,62759500.0,26043250.0,31998000.0,22338000.0,24202250.0,-7480750.0,-7487500.0,33635000.0,-7480750.0,35499250.0,10518500.0,1172513.62,864822.6025,307691.01749999996,725000.0,1261000.0,-2372000.0,734000.0,-1619000.0,24110000.0,-26874000.0,-69000.0,-894000.0
8/31/2023,139081000.0,112009000.0,27072000.0,34205000.0,-7133000.0,-580000.0,2295000.0,-5419000.0,-1858000.0,33000.0,-3080000.0,-3080000.0,-3.57,-3.57,863200.0,863200.0,-6882000.0,146214000.0,-3080000.0,-3080000.0,580000.0,-580000.0,-4839000.0,-2582000.0,112009000.0,2257000.0,-3080000.0,-12369000.0,-12369000.0,-2582000.0,0.0,-897926.08,96628000.0,68138000.0,28490000.0,28166000.0,20021000.0,24471000.0,-21801000.0,-9032000.0,29084000.0,-21801000.0,33534000.0,8335000.0,1172513.62,863673.79,308839.83,2258000.0,-3094000.0,-887000.0,856000.0,-2117000.0,6276000.0,-8978000.0,-150000.0,141000.0
8/31/2022,132703000.0,104437000.0,28265000.0,27295000.0,970000.0,-400000.0,3416000.0,3985000.0,-30000.0,50000.0,4337000.0,4337000.0,5.02,5.01,864400.0,865900.0,1387000.0,131732000.0,4337000.0,4337000.0,400000.0,-400000.0,4385000.0,6375000.0,104437000.0,1990000.0,4337000.0,-12369000.0,-12369000.0,6375000.0,0.0,-897926.08,90124000.0,59716000.0,30408000.0,35891000.0,25275000.0,23803000.0,-7735000.0,-5681000.0,36950000.0,-7735000.0,35478000.0,10317000.0,1172513.62,864639.46,307874.16,3899000.0,-1064000.0,-1499000.0,2558000.0,-1734000.0,11958000.0,-8360000.0,-187000.0,2165000.0
8/31/2021,132509000.0,104442000.0,28067000.0,24586000.0,3481000.0,-905000.0,-581000.0,1995000.0,667000.0,627000.0,2542000.0,2542000.0,2.94,2.93,864800.0,866400.0,2342000.0,129028000.0,2542000.0,1985000.0,905000.0,-905000.0,2900000.0,4873000.0,104442000.0,1973000.0,1985000.0,-12369000.0,-12369000.0,4873000.0,0.0,-897926.08,81285000.0,57145000.0,24140000.0,31095000.0,23419000.0,24412000.0,1061000.0,-6240000.0,32401000.0,1061000.0,33394000.0,8423000.0,1172513.62,865373.64,307139.98,5555000.0,4072000.0,-9036000.0,1270000.0,-1379000.0,12726000.0,-15257000.0,-110000.0,4176000.0
8/31/2020,121982000.0,95905000.0,26078000.0,25436000.0,642000.0,-613000.0,418000.0,446000.0,339000.0,31000.0,456000.0,456000.0,0.52,0.52,879400.0,880300.0,982000.0,121341000.0,456000.0,170000.0,613000.0,-613000.0,1059000.0,2986000.0,95905000.0,1927000.0,170000.0,-12369000.0,-12369000.0,2986000.0,0.0,-897926.08,87174000.0,66039000.0,21135000.0,32840000.0,20637000.0,24123000.0,-1448000.0,-8997000.0,36105000.0,-1448000.0,39591000.0,14999000.0,1172513.62,865603.52,306910.1,5484000.0,-1297000.0,-4647000.0,746000.0,-1374000.0,20367000.0,-21414000.0,-1589000.0,4110000.0
