Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,122197000.0,49361000.0,72836000.0,48344000.0,24492000.0,-6811000.0,195000.0,17876000.0,3768000.0,12520000.0,6000.0,12526000.0,1.74,1.74,7191000.0,7192000.0,22660000.0,97705000.0,12725000.0,14170841.13,6811000.0,-6811000.0,24687000.0,44277000.0,49361000.0,19590000.0,12725000.0,-1832000.0,-1832000.0,46109000.0,0.0,-386158.87,471824000.0,324582250.0,147241750.0,272466250.0,132200500.0,19346250.0,-90607750.0,3843500.0,284068500.0,-90607750.0,171214250.0,142021500.0,7620850.654999999,7136262.3175,118000.0,484588.3375,38354000.0,-17396000.0,-27377000.0,3203000.0,-17366000.0,1025250.0,3550000.0,-16380000.0,-164000.0,20988000.0
12/31/2023,122428000.0,50123000.0,72305000.0,47651000.0,24654000.0,-6704000.0,1898000.0,19848000.0,4225000.0,14192000.0,85000.0,14277000.0,1.97,1.97,7181000.0,7258000.0,23461000.0,97774000.0,14400000.0,15338891.0,6704000.0,-6704000.0,26552000.0,45329000.0,50123000.0,18777000.0,14400000.0,-1193000.0,-1193000.0,46522000.0,0.0,-254109.0,407060000.0,287645000.0,119415000.0,231151000.0,103297000.0,17568000.0,-97059000.0,-14669000.0,240628000.0,-97059000.0,154899000.0,130609000.0,7620748.6,7150063.36,118000.0,470685.24,38314000.0,-19660000.0,-15614000.0,6833000.0,-17853000.0,3000.0,15410000.0,-16503000.0,-194000.0,20461000.0
12/31/2022,120741000.0,50848000.0,69893000.0,46982000.0,22911000.0,-6108000.0,-19897000.0,-3094000.0,3780000.0,-8064000.0,543000.0,-7521000.0,-1.13,-1.13,7166000.0,7587000.0,-4587000.0,97830000.0,-8524000.0,13380420.0,6108000.0,-6108000.0,3014000.0,21035000.0,50848000.0,18021000.0,-8343000.0,-27498000.0,-27498000.0,48533000.0,0.0,-5774580.0,402853000.0,296396000.0,106457000.0,225923000.0,97500000.0,18659000.0,-99841000.0,-23065000.0,233520000.0,-99841000.0,154679000.0,132319000.0,7621156.82,7128000.0,118000.0,493156.82,32023000.0,-25805000.0,-23741000.0,3793000.0,-19626000.0,28000.0,6934000.0,-45193000.0,-890000.0,12397000.0
12/31/2021,134038000.0,60407000.0,73631000.0,47521000.0,26110000.0,-6716000.0,9777000.0,29171000.0,5395000.0,19874000.0,582000.0,20456000.0,2.77,2.76,7168000.0,7199000.0,25897000.0,107928000.0,20081000.0,22551595.0,6716000.0,-6716000.0,35887000.0,53739000.0,60407000.0,17852000.0,22378000.0,-213000.0,-213000.0,53952000.0,0.0,-39405.0,551622000.0,367767000.0,183855000.0,317343000.0,166332000.0,18956000.0,-45629000.0,64538000.0,343208000.0,-45629000.0,195832000.0,157653000.0,7620748.6,7141063.89,118000.0,479684.71,41958000.0,-32090000.0,1578000.0,21316000.0,-15545000.0,96000.0,34444000.0,-10549000.0,-202000.0,26413000.0
12/31/2020,171760000.0,79920000.0,91840000.0,66555000.0,25285000.0,-7925000.0,-20216000.0,-2856000.0,965000.0,-5369000.0,23000.0,-5346000.0,-0.75,-0.75,7157000.0,7183000.0,6405000.0,146475000.0,-5176000.0,8606400.0,7925000.0,-7925000.0,5069000.0,33585000.0,79920000.0,28516000.0,-5176000.0,-18880000.0,-18880000.0,52465000.0,0.0,-5097600.0,525761000.0,346521000.0,179240000.0,315448000.0,161673000.0,22202000.0,-119902000.0,-11430000.0,318918000.0,-119902000.0,179447000.0,147505000.0,7620748.6,7125922.02,118000.0,494826.58,43130000.0,-13548000.0,-32007000.0,9870000.0,-15675000.0,3974000.0,41428000.0,-49448000.0,-5498000.0,27455000.0
12/31/2019,134232800.0,58131800.0,76101000.0,51410600.0,24690400.0,-6852800.0,-5648600.0,12189000.0,3626600.0,6630600.0,247800.0,6878400.0,0.9199999999999999,0.9179999999999999,7172600.0,7283800.0,14767200.0,109542400.0,6701200.0,14809629.425999999,6852800.0,-6852800.0,19041800.0,39593000.0,58131800.0,20551200.0,7196800.0,-9923200.0,-9923200.0,49516200.0,0.0,-2310370.574,471824000.0,324582250.0,147241750.0,272466250.0,132200500.0,19346250.0,-90607750.0,3843500.0,284068500.0,-90607750.0,171214250.0,142021500.0,7620850.654999999,7136262.3175,118000.0,484588.3375,38755800.0,-21699800.0,-19432200.0,9003000.0,-17213000.0,1025250.0,20353200.0,-27614600.0,-1389600.0,21542800.0
