Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Free Cash Flow
TTM,"1,548,656.00","591,776.00","956,880.00","640,100.00","316,780.00","-127,986.00","219,382.00","408,176.00","3,613.00","396,456.00","2,086.00","398,542.00",3.66,3.65,"108,623.00","108,623.50","1,231,876.00","397,099.00","179,658.88","3,752.00","131,738.00","-127,986.00","539,914.00","1,119,925.00","591,776.00","580,011.00","397,099.00","219,382.00","219,382.00","900,543.00",0.00,"1,941.88",,,,,,,,,,,,,,,"789,267.00","-87,909.00","-628,314.00","101,901.00","3,476.00","125,553.00","-425,143.00",--,"1,415,187.00","-1,548,000.00","364,124.00"
12/31/2023,"1,542,027.00","584,343.00","957,684.00","633,868.00","323,816.00","-132,516.00","222,903.00","414,203.00","3,650.00","402,663.00","2,086.00","404,749.00",3.71,3.70,"108,653.00","109,399.00","1,218,211.00","403,309.00","182,370.24",879.00,"133,395.00","-132,516.00","547,598.00","1,122,411.00","584,343.00","574,813.00","403,309.00","222,903.00","222,903.00","899,508.00",0.00,"1,964.24","9,383,737.00","4,331,966.00","5,051,771.00","8,696,157.00","4,980,757.00","4,980,757.00","-149,591.00","8,696,157.00","4,980,757.00","3,715,400.00","3,455,714.00","115,659.56","106,800.00","8,859.56","794,950.00","-127,127.00","-417,214.00","268,047.00","3,591.00","128,870.00","-410,934.00",--,"1,833,235.00","-1,814,749.00","384,016.00"
12/31/2022,"1,422,756.00","529,198.00","893,558.00","632,245.00","261,313.00","-110,405.00","513,566.00","664,474.00","2,966.00","652,623.00","1,452.00","654,075.00",6.07,6.04,"107,605.00","108,388.00","1,161,443.00","653,613.00","145,373.79","3,019.00","113,424.00","-110,405.00","777,898.00","1,354,918.00","529,198.00","577,020.00","653,613.00","510,518.00","510,518.00","844,400.00",0.00,"2,278.79","9,327,935.00","4,271,014.00","5,056,921.00","8,625,520.00","4,986,620.00","4,986,620.00","-421,747.00","8,667,520.00","4,986,620.00","3,680,900.00","3,670,213.00","115,590.00","106,500.00","9,090.00","744,712.00","-1,456,184.00","109,930.00","17,438.00","3,216.00","111,069.00","-449,431.00","516,758.00","1,058,000.00","-1,066,000.00","295,281.00"
12/31/2021,"1,143,585.00","447,875.00","695,710.00","469,528.00","226,182.00","-96,074.00","184,161.00","314,269.00","1,893.00","303,362.00","1,190.00","304,552.00",2.97,2.96,"101,999.00","102,829.00","917,403.00","303,907.00","130,573.40","1,223.00","97,297.00","-96,074.00","411,566.00","832,258.00","447,875.00","420,692.00","303,907.00","174,384.00","174,384.00","657,874.00",0.00,"1,050.40","7,976,784.00","3,710,529.00","4,266,255.00","7,367,857.00","4,197,490.00","4,197,490.00","290,534.00","7,367,857.00","4,197,490.00","3,170,367.00","2,556,976.00","112,536.00","103,300.00","9,236.00","577,467.00","-804,391.00","421,371.00","618,980.00","2,181.00","97,301.00","-428,714.00","759,209.00",--,--,"148,753.00"
12/31/2020,"1,043,837.00","422,981.00","620,856.00","409,986.00","210,870.00","-88,577.00","8,258.00","130,551.00","1,972.00","123,650.00",--,"123,650.00",1.24,1.24,"99,385.00","99,438.00","832,967.00","123,911.00","123,708.11","2,949.00","91,526.00","-88,577.00","222,077.00","589,239.00","422,981.00","367,162.00","123,911.00",206.00,206.00,"589,033.00",0.00,3.11,"7,198,952.00","3,682,365.00","3,516,587.00","6,611,530.00","3,444,905.00","3,444,905.00","118,780.00","6,611,530.00","3,444,905.00","3,166,625.00","2,746,184.00","106,842.00","97,400.00","9,442.00","519,319.00","-429,602.00","307,317.00","424,533.00","2,292.00","90,297.00","-427,247.00",--,"1,140,823.00","-502,000.00","92,072.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
