Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"10,337,400.00","1,401,200.00","8,936,200.00","4,738,100.00","4,198,100.00","643,300.00","-4,626,700.00","214,700.00","704,600.00","-489,900.00","-489,900.00",-1.88,-1.98,"257,950.00","259,400.00","-348,600.00","6,139,300.00","-489,900.00","3,101,993.00","685,100.00","41,800.00","643,300.00","256,500.00","465,100.00","1,401,200.00","208,600.00","-489,900.00","-4,546,700.00","-4,546,700.00","5,011,800.00",0.00,"-954,807.00",,,,,,,,,,,,,,"-944,000.00","-3,604,300.00","-1,000,900.00","4,604,200.00","1,590,400.00","40,800.00","-481,800.00",--,--,"-50,200.00","-1,088,400.00","-1,425,800.00"
12/31/2023,"9,869,200.00","1,262,200.00","8,607,000.00","4,299,500.00","4,307,500.00","570,600.00","-498,300.00","4,379,800.00","760,200.00","3,619,600.00","3,619,600.00",14.05,13.89,"257,700.00","260,500.00","3,832,000.00","5,561,700.00","3,619,600.00","4,012,363.00","614,700.00","44,100.00","570,600.00","4,423,900.00","4,605,200.00","1,262,200.00","181,300.00","3,619,600.00","-475,500.00","-475,500.00","5,080,700.00",0.00,"-82,737.00","22,730,200.00","5,149,800.00","17,580,400.00","17,580,400.00","17,580,400.00","808,400.00","15,652,500.00","10,596,800.00","17,580,400.00","15,652,500.00","808,400.00","257,695.22","257,695.22","3,537,300.00","-3,141,700.00","-562,200.00","10,372,300.00","1,677,300.00","43,100.00","-258,400.00",--,"1,800.00","-44,900.00","-653,700.00","3,278,900.00"
12/31/2022,"8,930,700.00","1,080,300.00","7,850,400.00","3,485,000.00","4,365,400.00","89,800.00","-222,800.00","4,232,400.00","910,400.00","3,322,000.00","3,322,000.00",12.97,12.82,"256,100.00","259,100.00","4,307,400.00","4,565,300.00","3,322,000.00","3,367,530.00","144,600.00","54,800.00","89,800.00","4,287,200.00","4,435,500.00","1,080,300.00","148,300.00","3,322,000.00","-58,000.00","-58,000.00","4,493,500.00",0.00,"-12,470.00","18,150,900.00","4,238,200.00","13,912,700.00","13,912,700.00","13,912,700.00","899,700.00","12,221,100.00","10,492,700.00","13,912,700.00","12,221,100.00","899,700.00","257,011.63","257,011.63","4,129,900.00","-321,100.00","-67,700.00","10,512,000.00","1,057,800.00","52,300.00","-204,700.00",--,"3,500.00","-85,500.00","-172,000.00","3,925,200.00"
12/31/2021,"7,574,400.00","904,200.00","6,670,200.00","2,777,900.00","3,892,300.00","-56,600.00","-1,105,300.00","2,730,400.00","388,300.00","2,342,100.00","2,342,100.00",9.09,9.01,"257,700.00","259,900.00","2,782,100.00","3,682,100.00","2,342,100.00","3,294,651.60","4,900.00","61,500.00","-56,600.00","2,791,900.00","2,917,500.00","904,200.00","125,600.00","2,342,100.00","-1,110,200.00","-1,110,200.00","4,027,700.00",0.00,"-157,648.40","13,432,500.00","3,332,500.00","10,100,000.00","10,100,000.00","10,100,000.00","967,400.00","8,697,800.00","7,418,600.00","10,100,000.00","8,697,800.00","967,400.00","254,479.05","254,479.05","2,643,500.00","-340,900.00","-1,478,000.00","6,800,100.00","476,300.00","56,300.00","-235,000.00",--,"28,300.00","-47,000.00","-1,561,300.00","2,408,500.00"
12/31/2020,"6,205,700.00","736,300.00","5,469,400.00","2,600,000.00","2,869,400.00","-36,000.00","283,500.00","3,116,900.00","405,200.00","2,711,700.00","2,711,700.00",10.44,10.29,"259,841.00","263,396.00","2,856,300.00","3,336,300.00","2,711,700.00","2,723,097.00","22,200.00","58,200.00","-36,000.00","3,175,100.00","3,284,600.00","736,300.00","109,500.00","2,711,700.00","-13,100.00","-13,100.00","3,297,700.00",0.00,"-1,703.00","11,751,800.00","3,065,000.00","8,686,800.00","8,686,800.00","8,686,800.00","931,900.00","7,284,600.00","6,255,900.00","8,686,800.00","7,284,600.00","931,900.00","259,890.00","259,890.00","3,253,500.00","99,400.00","-505,300.00","5,988,900.00","191,800.00","54,500.00","-259,800.00",--,"13,300.00","-42,300.00","-739,400.00","2,993,700.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"343,244.00",--,--,--,--
