Date,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
12/31/2023,32822000.0,23817000.0,9005000.0,22919000.0,8677000.0,391000.0,-340000.0,11889000.0,22970000.0,-340000.0,14684000.0,4278000.0,883068.39,839910.28,43158.12,2607000.0,-660000.0,4612000.0,10015000.0,942000.0,320000.0,-469000.0,5609000.0,-111000.0,-62000.0,2138000.0
12/31/2022,26086000.0,18010000.0,8076000.0,16460000.0,7758000.0,529000.0,-3561000.0,3847000.0,16600000.0,-3561000.0,9371000.0,5322000.0,876768.96,834664.97,42104.0,1743000.0,1745000.0,-2931000.0,3520000.0,833000.0,297000.0,-353000.0,432000.0,-1275000.0,-1380000.0,1390000.0
12/31/2021,26172000.0,19078000.0,7094000.0,16280000.0,6767000.0,527000.0,-3091000.0,4780000.0,16463000.0,-3091000.0,10223000.0,6709000.0,873414.75,863039.1,10375.65,2237000.0,-692000.0,-1562000.0,2987000.0,675000.0,317000.0,-344000.0,140000.0,-704000.0,-527000.0,1893000.0
12/31/2020,25093000.0,18515000.0,6578000.0,16288000.0,6252000.0,642000.0,-4924000.0,3414000.0,16479000.0,-4924000.0,10869000.0,7112000.0,867829.12,867829.12,31879.256666666664,1692000.0,1106000.0,-681000.0,3115000.0,819000.0,196000.0,-312000.0,11784000.0,-1911000.0,-656333.3333333334,1380000.0
12/31/2019,27543250.0,19855000.0,7688250.0,17986750.0,7363500.0,522250.0,-2979000.0,5982500.0,18128000.0,-2979000.0,11286750.0,5855250.0,875270.305,851360.8675,31879.256666666664,2216400.0,-1027600.0,630000.0,4544800.0,817250.0,282500.0,-403600.0,5224600.0,-1528400.0,-656333.3333333334,1812800.0
TTM,27543250.0,19855000.0,7688250.0,17986750.0,7363500.0,522250.0,-2979000.0,5982500.0,18128000.0,-2979000.0,11286750.0,5855250.0,875270.305,851360.8675,31879.256666666664,2803000.0,-6637000.0,3712000.0,3087000.0,817250.0,282500.0,-540000.0,8158000.0,-3641000.0,-656333.3333333334,2263000.0
