Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Rent Expense Supplemental,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"14,158,000.00","7,369,000.00","6,789,000.00","2,871,000.00","3,918,000.00","-532,000.00","-95,000.00","3,291,000.00","686,000.00","2,549,000.00","2,549,000.00",12.51,12.44,"203,700.00","205,000.00","3,591,000.00","304,000.00","10,240,000.00","2,549,000.00","2,628,946.82","80,000.00","612,000.00","-532,000.00","3,903,000.00","4,265,000.00","7,369,000.00","362,000.00","2,549,000.00","-101,000.00","-101,000.00","4,366,000.00",0.00,"-21,053.18",,,,,,,,,,,,,,,"3,126,000.00","-2,601,000.00","-562,000.00","8,462,000.00","832,000.00","482,000.00","-208,000.00","66,000.00","7,926,000.00","-4,678,000.00","-2,100,000.00","2,918,000.00"
12/31/2023,"13,376,000.00","6,902,000.00","6,474,000.00","2,652,000.00","3,822,000.00","-453,000.00","-200,000.00","3,169,000.00","541,000.00","2,564,000.00","2,564,000.00",12.60,12.51,"203,500.00","205,000.00","3,785,000.00","294,000.00","9,554,000.00","2,564,000.00","2,733,945.00","31,000.00","484,000.00","-453,000.00","3,653,000.00","3,909,000.00","6,902,000.00","256,000.00","2,564,000.00","-205,000.00","-205,000.00","4,114,000.00",0.00,"-35,055.00","33,959,000.00","34,701,000.00","-742,000.00","9,169,000.00","-826,000.00","833,000.00","-9,474,000.00","53,000.00","10,373,000.00","-9,474,000.00","12,032,000.00","10,421,000.00","198,587.15","198,587.15","3,435,000.00","-188,000.00","-2,865,000.00","7,722,000.00","740,000.00","446,000.00","-252,000.00","72,000.00","744,000.00","-350,000.00","-2,700,000.00","3,183,000.00"
12/31/2022,"12,479,000.00","6,477,000.00","6,002,000.00","2,512,000.00","3,490,000.00","-388,000.00","54,000.00","3,156,000.00","510,000.00","2,589,000.00","2,589,000.00",12.23,12.14,"211,700.00","213,200.00","3,669,000.00","289,000.00","8,989,000.00","2,589,000.00","2,552,128.00","18,000.00","406,000.00","-388,000.00","3,562,000.00","3,826,000.00","6,477,000.00","264,000.00","2,589,000.00","44,000.00","44,000.00","3,782,000.00",0.00,"7,128.00","32,704,000.00","33,133,000.00","-429,000.00","9,296,000.00","-529,000.00","907,000.00","-9,268,000.00","417,000.00","10,241,000.00","-9,268,000.00","11,677,000.00","10,080,000.00","205,400.00","205,400.00","3,219,000.00","-449,000.00","-1,790,000.00","7,076,000.00","546,000.00","351,000.00","-196,000.00","58,000.00","1,967,000.00","-500,000.00","-3,203,000.00","3,023,000.00"
12/31/2021,"12,193,000.00","6,738,000.00","5,455,000.00","3,344,000.00","2,111,000.00","-311,000.00","131,000.00","1,931,000.00","623,000.00","1,255,000.00","1,255,000.00",5.59,5.55,"224,700.00","226,100.00","2,090,000.00","327,000.00","10,082,000.00","1,255,000.00","1,171,683.58","11,000.00","322,000.00","-311,000.00","2,253,000.00","2,579,000.00","6,738,000.00","326,000.00","1,255,000.00","123,000.00","123,000.00","2,456,000.00",0.00,"39,683.58","31,917,000.00","30,759,000.00","1,158,000.00","9,289,000.00","1,061,000.00","1,031,000.00","-7,865,000.00","-41,000.00","10,453,000.00","-7,865,000.00","10,423,000.00","8,848,000.00","214,800.00","214,800.00","2,182,000.00","49,000.00","-1,924,000.00","6,645,000.00","412,000.00","328,000.00","-137,000.00","55,000.00","1,495,000.00","-413,000.00","-3,543,000.00","2,045,000.00"
12/31/2020,"11,066,000.00","5,905,000.00","5,161,000.00","2,367,000.00","2,794,000.00","-328,000.00","-1,000.00","2,466,000.00","448,000.00","1,969,000.00","1,969,000.00",8.49,8.45,"231,900.00","233,100.00","2,781,000.00","291,000.00","8,272,000.00","1,969,000.00","1,972,272.00","6,000.00","334,000.00","-328,000.00","2,800,000.00","3,213,000.00","5,905,000.00","413,000.00","1,969,000.00","-4,000.00","-4,000.00","3,217,000.00",0.00,-728.00,"32,114,000.00","28,531,000.00","3,583,000.00","10,776,000.00","3,495,000.00","1,196,000.00","-5,811,000.00","1,251,000.00","11,224,000.00","-5,811,000.00","8,925,000.00","6,845,000.00","225,500.00","225,500.00","2,783,000.00","-679,000.00","-1,772,000.00","6,573,000.00","455,000.00","326,000.00","-141,000.00",--,"4,153,000.00","-3,882,000.00","-1,763,000.00","2,642,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
