Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Rent Expense Supplemental,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,21354260.0,16622884.0,4731376.0,2798322.0,1933054.0,357667.0,4977696.0,7268417.0,1209991.0,3863447.0,17248.0,3880695.0,4.4,4.22,879930.84,919550.04,94495.0,19421206.0,3880695.0,401688.43,3584733.0,3227066.0,357667.0,10495483.0,10495483.0,16622884.0,3880695.0,4173835.0,4173835.0,6321648.0,0.0,694828.43,234183193.0,181011008.5,53172184.5,59258125.5,1080182.75,17282542.5,425113.25,14436324.0,12369527.25,58449307.25,13477505.75,41591878.0,28723865.0,728668.3574999999,728668.3574999999,27249.9925,7963472.0,-11939188.0,9352854.0,16125856.0,757898.0,2943841.0,-90399.0,577127.5,21542762.0,-18917479.0,-17569.0,7873073.0
12/31/2023,14322870.0,9462219.0,4860651.0,2722503.0,2138148.0,423476.0,3992985.0,6554609.0,1197523.0,3680514.0,51747.0,3732261.0,4.24,4.09,867496.81,911787.43,93391.0,12184722.0,3732261.0,519387.26,3369447.0,2945971.0,423476.0,9500580.0,9500580.0,9462219.0,3732261.0,3932526.0,3932526.0,5568054.0,0.0,719652.26,317294194.0,258915282.0,58378912.0,71491855.0,1080182.75,22858694.0,554418.0,15464918.0,20746386.0,71691855.0,15464918.0,49387579.0,28484594.0,885005.59,885005.59,27249.9925,-1493812.0,-3882936.0,12774088.0,20808120.0,981425.0,2691086.0,-108393.0,577127.5,16383154.0,-12763783.0,-289844.0,-1602205.0
12/31/2022,5565056.0,3558253.0,2006803.0,2352381.0,-345578.0,257323.0,-203966.0,-292221.0,125393.0,-590664.0,41063.25,-590664.0,-0.79,-0.79,749504.97,749504.97,77271.0,5910634.0,-521664.0,423928.87,1895282.0,1637959.0,257323.0,1345738.0,1345738.0,3558253.0,-521664.0,-1196953.0,-1196953.0,2542691.0,0.0,-251360.13,275346636.0,219975946.0,55370690.0,61939862.0,1115792.0,17691975.0,542902.0,13356440.0,14367666.0,61224070.0,12240648.0,44074997.0,30708539.0,861110.48,861110.48,22999.97,-5279259.0,-13647272.0,22055366.0,13385370.0,764966.0,1500123.0,-85056.0,577127.5,20439101.0,-13910767.0,-346651.0,-5364315.0
12/31/2021,16105827.0,9210245.0,6895582.0,1942360.0,4953222.0,353441.0,8539936.0,13846599.0,1394882.0,4626759.0,69000.0,4695759.0,7.95,7.42,582258.98,633092.87,69084.0,11152605.0,4732406.0,-1845716.35,1485470.0,1132029.0,353441.0,14978628.0,14978628.0,9210245.0,4732406.0,7317155.0,7317155.0,7661473.0,0.0,739032.66,264285440.0,206146220.0,58139220.0,56460371.0,1118379.0,16463785.0,411569.0,15290620.0,8824612.0,55341992.0,14172241.0,39289776.0,28786605.0,595663.62,595663.62,23000.0,-7176708.0,-9605548.0,20363994.0,10526304.0,658578.0,1241886.0,-102049.0,38463.0,30369415.0,-21473835.0,-769710.0,-7278757.0
12/31/2020,4230891.0,2152490.0,2078401.0,780642.0,1297759.0,433569.0,3995367.0,5726695.0,609097.0,1942887.0,26258.0,1969145.0,3.45,3.37,562812.88,583685.35,72100.0,2933132.0,2002509.0,-1265264.83,1403440.0,969871.0,433569.0,6696566.0,6696566.0,2152490.0,2002509.0,3655228.0,3655228.0,3041338.0,0.0,387454.17,79806502.0,39006586.0,40799916.0,47140414.0,1601102.0,12115716.0,191564.0,13633318.0,5539445.0,45539312.0,12032216.0,33615160.0,26915722.0,572893.74,572893.74,43000.0,-5953693.0,-153386.0,9803704.0,6993457.0,179915.0,1045297.0,-153386.0,1115792.0,16620416.0,-11293648.0,-246160.0,-6107079.0
12/31/2019,12315780.8,8201218.2,4114562.6,2119241.6,1995321.0,365095.2,4260403.6,6620819.8,907377.2,2704588.6,41063.25,2737439.2,3.85,3.662,728400.896,759524.1320000001,81268.2,10320459.8,2765241.4,-353195.324,2347674.4,1982579.2,365095.2,8603399.0,8603399.0,8201218.2,2765241.4,3576358.2,3576358.2,5027040.8,0.0,457921.478,234183193.0,181011008.5,53172184.5,59258125.5,485458.0,17282542.5,425113.25,14436324.0,12369527.25,58449307.25,13477505.75,41591878.0,28723865.0,728668.3574999999,728668.3574999999,20000.0,-2388000.0,-7845666.0,14870001.2,13567821.4,668556.4,1884446.6,-107856.6,577127.5,21070969.6,-15671902.4,-333986.8,-2495856.6
