Date,Total Revenue,Credit Losses Provision,Non Interest Expense,Special Income Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Interest Income after Provision for Loan Loss,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,"78,820,000.00","-10,132,000.00","56,107,000.00","-1,042,000.00","11,539,000.00","3,090,000.00","6,952,000.00","65,000.00","7,017,000.00",3.98,3.62,"1,913,050.00","1,944,850.00","44,520,000.00","8,295,000.00","9,057,965.42","41,007,000.00","4,524,000.00","8,295,000.00","-1,042,000.00","-1,042,000.00",0.00,"-279,034.58",,,,,,,,,,,,,,,,"-16,663,000.00","-24,063,000.00","-4,621,000.00","251,561,000.00","5,877,000.00","85,365,000.00","-6,709,000.00","3,785,000.00","81,213,000.00","-78,220,000.00","-7,446,000.00","-23,372,000.00"
12/31/2023,"78,486,000.00","-9,123,000.00","55,672,000.00","-781,000.00","12,910,000.00","3,528,000.00","7,850,000.00","57,000.00","7,907,000.00",4.07,4.04,"1,930,100.00","1,955,800.00","45,777,000.00","9,228,000.00","9,796,787.00","38,125,000.00","4,560,000.00","9,229,000.00","-781,000.00","-781,000.00",0.00,"-213,213.00","2,411,834,000.00","2,205,583,000.00","206,251,000.00","492,072,000.00","17,600,000.00","187,853,000.00","180,934,000.00","511,929,000.00","163,334,000.00","324,076,000.00","63,144,000.00","3,099,691.70","1,903,113.84","22,000.00","1,196,577.87","-73,416,000.00","-8,459,000.00","687,000.00","260,932,000.00","5,727,000.00","72,989,000.00","-6,583,000.00","2,739,000.00","65,819,000.00","-64,959,000.00","-6,122,000.00","-79,999,000.00"
12/31/2022,"75,305,000.00","-5,112,000.00","51,386,000.00",--,"18,807,000.00","3,642,000.00","13,700,000.00","41,000.00","13,741,000.00",7.04,7.00,"1,946,700.00","1,964,300.00","43,556,000.00","14,845,000.00","15,076,000.00","11,669,000.00","4,262,000.00","15,076,000.00",--,--,0.00,--,"2,416,676,000.00","2,214,838,000.00","201,838,000.00","472,795,000.00","18,995,000.00","182,194,000.00","177,070,000.00","500,896,000.00","158,075,000.00","318,702,000.00",--,"3,099,669.42","1,936,986.43","97,800.00","1,162,683.00","25,069,000.00","-79,455,000.00","137,763,000.00","342,025,000.00","3,733,000.00","22,615,000.00","-5,632,000.00",--,"104,748,000.00","-57,085,000.00","-3,250,000.00","19,437,000.00"
12/31/2021,"71,887,000.00","3,891,000.00","48,309,000.00",--,"27,469,000.00","5,451,000.00","20,758,000.00","31,000.00","20,789,000.00",10.80,10.14,"2,033,000.00","2,049,400.00","46,385,000.00","21,952,000.00","21,945,000.00","1,629,000.00","3,964,000.00","21,945,000.00",--,--,0.00,--,"2,291,413,000.00","2,088,741,000.00","202,672,000.00","456,346,000.00","18,995,000.00","182,977,000.00","176,178,000.00","465,324,000.00","157,183,000.00","282,347,000.00","20,314,000.00","3,099,651.84","1,984,355.19","97,800.00","1,115,296.64","47,090,000.00","-110,746,000.00","17,272,000.00","262,033,000.00","4,028,000.00","7,143,000.00","-4,119,000.00","3,300,000.00","70,658,000.00","-74,950,000.00","-11,386,000.00","42,971,000.00"
12/31/2020,"75,494,000.00","-17,375,000.00","44,487,000.00",--,"13,632,000.00","2,525,000.00","9,879,000.00","30,000.00","9,909,000.00",5.45,4.87,"2,085,800.00","2,099,000.00","27,376,000.00","11,047,000.00","11,067,000.00","3,211,000.00","3,937,000.00","11,067,000.00",--,--,0.00,--,"2,260,090,000.00","2,059,890,000.00","200,200,000.00","471,128,000.00","19,480,000.00","179,962,000.00","172,533,000.00","481,162,000.00","153,053,000.00","301,200,000.00",--,"3,099,763.66","2,082,089.21",--,"1,017,674.45","-23,488,000.00","-92,445,000.00","233,595,000.00","309,615,000.00","4,797,000.00","12,094,000.00","-3,446,000.00","2,995,000.00","76,458,000.00","-63,402,000.00","-4,425,000.00","-26,934,000.00"
12/31/2019,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"99,890,000.00",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
