Date,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Normalized EBITDA,Tax Rate for Calcs,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
TTM,385603000.0,208372000.0,177231000.0,56637000.0,120594000.0,199750.0,462000.0,120873000.0,18917000.0,101956000.0,101956000.0,6.6,6.57,15450643.5,15515481.0,120594000.0,265009000.0,101956000.0,101956000.0,3295250.0,3095500.0,199750.0,123962000.0,135149000.0,208372000.0,11187000.0,101956000.0,135149000.0,0.0,345057000.0,284745250.0,60311750.0,160815000.0,60311750.0,11724500.0,60311750.0,6839250.0,177389750.0,60311750.0,128802500.0,85436250.0,16224258.75,16224258.75,113041000.0,3884000.0,-120188000.0,26635000.0,30889000.0,3089250.0,-8702000.0,992500.0,11794250.0,-4414000.0,-90869000.0,104339000.0
9/30/2023,383285000.0,214137000.0,169148000.0,54847000.0,114301000.0,-183000.0,-382000.0,113736000.0,16741000.0,96995000.0,96995000.0,6.16,6.13,15744231.0,15812547.0,114301000.0,268984000.0,96995000.0,96995000.0,3750000.0,3933000.0,-183000.0,117669000.0,129188000.0,214137000.0,11519000.0,96995000.0,129188000.0,0.0,352583000.0,290437000.0,62146000.0,157427000.0,62146000.0,12842000.0,62146000.0,-1742000.0,173234000.0,62146000.0,123930000.0,81123000.0,15550061.0,15550061.0,110543000.0,3705000.0,-108488000.0,30737000.0,18679000.0,3803000.0,-10959000.0,992500.0,5228000.0,-11151000.0,-77550000.0,99584000.0
9/30/2022,394328000.0,223546000.0,170782000.0,51345000.0,119437000.0,-106000.0,-228000.0,119103000.0,19300000.0,99803000.0,99803000.0,6.15,6.11,16215963.0,16325819.0,119437000.0,274891000.0,99803000.0,99803000.0,2825000.0,2931000.0,-106000.0,122034000.0,133138000.0,223546000.0,11104000.0,99803000.0,133138000.0,0.0,352755000.0,302083000.0,50672000.0,149631000.0,50672000.0,12411000.0,50672000.0,-18577000.0,170741000.0,50672000.0,132480000.0,96423000.0,15943425.0,15943425.0,122151000.0,-22354000.0,-110749000.0,24977000.0,19573000.0,2865000.0,-10708000.0,992500.0,5465000.0,-9543000.0,-89402000.0,111443000.0
9/30/2021,365817000.0,212981000.0,152836000.0,43887000.0,108949000.0,198000.0,60000.0,109207000.0,14527000.0,94680000.0,94680000.0,5.67,5.61,16701272.0,16864919.0,108949000.0,256868000.0,94680000.0,94680000.0,2843000.0,2645000.0,198000.0,111852000.0,123136000.0,212981000.0,11284000.0,94680000.0,123136000.0,0.0,351002000.0,287912000.0,63090000.0,172196000.0,63090000.0,11803000.0,63090000.0,9355000.0,187809000.0,63090000.0,136522000.0,89779000.0,16426786.0,16426786.0,104038000.0,-14545000.0,-93353000.0,35929000.0,25385000.0,2687000.0,-11085000.0,1105000.0,20393000.0,-8750000.0,-85971000.0,92953000.0
9/30/2020,274515000.0,169559000.0,104956000.0,38668000.0,66288000.0,890000.0,-87000.0,67091000.0,9680000.0,57411000.0,57411000.0,3.31,3.28,17352119.0,17528214.0,66288000.0,208227000.0,57411000.0,57411000.0,3763000.0,2873000.0,890000.0,69964000.0,81020000.0,169559000.0,11056000.0,57411000.0,81020000.0,0.0,323888000.0,258549000.0,65339000.0,164006000.0,65339000.0,9842000.0,65339000.0,38321000.0,177775000.0,65339000.0,122278000.0,74420000.0,16976763.0,16976763.0,80674000.0,-4289000.0,-86820000.0,39789000.0,9501000.0,3002000.0,-7309000.0,880000.0,16091000.0,-12629000.0,-72358000.0,73365000.0
